finding_id,severity,category,summary,evidence,disposition,closes_in_gate
F-G2-01,INFO,configuration_authority,"SSOT defines SEVEN states, not eight: state_policy.json (V22_LAYOUT_AND_DEPLOYMENT_01_STATE_POLICY) lists STOWED / DEPLOYED_NOMINAL / DEPLOY_FAILED_BOTH / L_FAIL / R_FAIL / PARTIAL / SERVICE. The work order's default 8-item list adds SOLAR_DEPLOY_ARM_LOCKED and renames STOWED.","state_policy.json state_count=7; F3R1_G2_CONFIG_ANGLE_AUTHORITY.json naming_decision","Kept all 7 SSOT names as the spine; added SOLAR_DEPLOY_ARM_LOCKED from the B5_0 secondary matrix to reach 8; realised SSOT STOWED under the名 STOWED_ENGINEERING_CANDIDATE and recorded the alias so the SSOT link is preserved.",G2_CLOSED
F-G2-02,HIGH,no_authority_angle,"PARTIAL has NO authoritative wing angle: state_policy.json records solar_left_deg=null / solar_right_deg=null and sets diagnostic_samples_define_partial=false, i.e. the 5/15/30/60 deg samples explicitly do NOT define PARTIAL.","state_policy.json/PARTIAL; F3R1_G2_CONFIGURATION_MATRIX.csv angle_status=UNKNOWN_HOLD_NO_AUTHORITY","A first build attempted a 30 deg diagnostic sample; it did not persist because the G1 wing coincident mates hold the panels to the deck and SolidWorks re-solved them to 90 deg. Rather than suppress those mates to force an unauthorised angle, PARTIAL is left geometrically UNDIFFERENTIATED from DEPLOYED_NOMINAL and declared so in its properties (GeometricDifferentiation=NOT_DIFFERENTIATED_FROM_DEPLOYED_NOMINAL). Registered, not defined.",G3_PLUS_RATIFICATION
F-G2-03,MEDIUM,no_authority_angle,"SERVICE has no ratified wing angle or service joint vector (PENDING_RATIFICATION_HOLD).","state_policy.json/SERVICE null angles","Wing angle reuses 90/90 for viewing only; properties record AngleStatus=PROVISIONAL_HOLD and the claim limit states no access sequence or service pose is authorised.",PENDING_HUMAN_RATIFICATION
F-G2-04,HIGH,interface_gap,"D-F3R1-06 remains OPEN and is now quantified symmetrically: all four wing panels sit 30.0 mm short of the real hinge axis. Panels' hinge-side edge is at |y|=113.15 while Hinge_Pin_L/R (r=4.000, X-parallel) are at |y|=143.15. Panels have SIX planar faces and ZERO cylinders, i.e. no hinge bore.","F3R1_G2_WING_INSTANCE_AUDIT.csv interface_gap_to_hinge_mm=30.0 on all 4 rows; F3R1_MATE_ENTITY_PROBE.json wing n_cyl=0","G2 wing angle realisation is declared KINEMATIC_CONFIGURATION_CANDIDATE only; every configuration carries WingRootInterface=D_F3R1_06_OPEN_30MM_GAP_KINEMATIC_CONFIGURATION_CANDIDATE. No physical hinge connection is claimed.",G3_01_WING_ROOT_HINGE
F-G2-05,MEDIUM,geometry_source,"The donor supplies FOUR separate panel solids (a STOWED and a DEPLOYED body per side) rather than one rotatable panel per side, so 'one real wing assembly per side driven by an angle mate' is not constructible from existing geometry without authoring a new part, which this stage did not authorise.","F3R1_G2_WING_INSTANCE_AUDIT.csv 4 instances, distinct source files, identity_unique=true","User-ratified realisation: keep the four donor solids as geometry SOURCE but guarantee at most ONE live panel per side in EVERY configuration; non-live panels are component-suppressed so they leave mass, collision and BOM. Verified 1/1 per side across all 8 configs and 3 stress rounds.",G3_01_WING_ROOT_HINGE
F-G2-06,LOW,com_behaviour,"Component handles are per-configuration: handles captured before a configuration switch go stale and their Transform2 reads None, which surfaced as a bogus infinite drift and aborted the first build.","g2b first run: 'drift in STOWED_ENGINEERING_CANDIDATE: root inf/inf arm inf/inf'","Fixed by re-fetching top-level component handles after every configuration activation and after every rebuild. Recorded for reuse.",G2_CLOSED
F-G2-07,INFO,measurement_method,"A first wing audit reported a nonsensical -170.0 mm hinge gap on the right side because it measured bbox y-min on both sides; the mirrored right panels present their hinge-side edge at y-MAX.","g2a first run right-side rows","Corrected to select y-min for the left side and y-max for the right; all four panels then read a consistent 30.0 mm.",G2_CLOSED
F-G2-08,INFO,session_discipline,"D-F3R1-07 session discipline was applied to every write run: clear all SLDWORKS processes, confirm count 0, wait ~22 s for the COM server to release, start exactly one session, close and confirm 0 again.","g2_env.fresh_session / kill_sw; SW_SESSION_CLEARED and SW_SESSION_STARTED events in all G2 logs","No phantom AddMate errors and no phantom interference occurred in any G2 run (interference 0 in all 8 configurations).",G2_CLOSED
F-G2-09,INFO,non_modification,"G0 frozen original, G1 V2_MATED candidate, the V2_2 donor tree, the accepted B601 URDF and the accepted mass/inertia ledger were all unchanged across the whole of G2.","F3R1_G2_SOURCE_NON_MODIFICATION_REPORT.json; protected checks G2A/G2B/G2C/G2D PRE+POST all ALL_PROTECTED_UNCHANGED; G0 still 5F1CB650..., G1 still E752FFC4...","No action needed; recorded as acceptance evidence.",G2_CLOSED
F-G2-10,HIGH,carried_hold,"q_stow remains O13_V3_CANDIDATE_HOLD_PROVISIONAL. Configuration rebuildability does NOT upgrade it to a runtime truth.","Every configuration carries QStowAuthority=O13_V3_CANDIDATE_HOLD_PROVISIONAL, RuntimeCompliance=FALSE, Safe00ExecutionEntry=FALSE, EngineeringEvaluationOnly=TRUE","STOWED_ENGINEERING_CANDIDATE is explicitly NOT a runtime-compliant state and NOT a SAFE-00 execution entry.",NOT_IN_G2_SCOPE
