owner,instance_count,known_material_subset_kg,module_reference_kg,nonadditive_historical_budget_kg,numerically_unresolved_instances,as_built_total_mass_kg
B601_DM_COMPLETE,10,,4.5,,0,
COMMUNICATIONS_ANTENNA,1,,,,1,
COVERS_AND_GSE_FRONT_PANEL,16,0.949942232840096,,,0,
EQUIPMENT_ADCS_PROPULSION_ALLOCATION,3,,,3.0,3,
EQUIPMENT_ARM_DRIVE,2,,,0.8,2,
EQUIPMENT_BATTERY,2,,,1.6,2,
EQUIPMENT_COMPUTE_COMMUNICATIONS,2,,,0.5,2,
EQUIPMENT_DECKS_AND_ADAPTERS,15,1.6004880655595985,,,0,
EQUIPMENT_NAVIGATION_ELECTRONICS,2,,,0.3,2,
EXTERNAL_EQUIPMENT_BRACKETS,2,0.03435223383028846,,,0,
GSE_POWER_GLAND_AND_NUT,2,,,,2,
GSE_RS422_GLAND_AND_NUT,2,,,,2,
HARNESS_RESTRAINT_HARDWARE,38,0.13941394805262614,,,26,
INTERNAL_AND_ARM_EXTERNAL_HARNESS,11,,,,11,
LAUNCH_RESERVED_SPACE,1,,,,0,
NAVIGATION_CAMERA_ASSEMBLY,2,,,0.15,2,
P60_MODULE_STACK,1,,,,1,
P60_MOUNTING_KIT,25,0.0954914161893353,,,20,
PRIMARY_STRUCTURE_FASTENER_KIT,60,,,,60,
PRIMARY_STRUCTURE_METAL,31,1.4439303432320583,,,0,
PROPULSION_MOUNTING_KIT,21,0.0990993652014152,,,16,
R01_EQUIPMENT_FASTENER_KIT,128,0.05197845235692594,,,0,
R07_ROOT_AND_RETENTION_FASTENER_KIT,92,,,,92,
R07_ROOT_METAL_CAPS,4,0.010244600529989836,,,0,
RETENTION_ACTUATION_AND_SENSORS_0,8,,,,8,
RETENTION_ACTUATION_AND_SENSORS_1,8,,,,8,
RETENTION_CONTACT_PADS,6,,,,6,
RETENTION_GUIDE_FASTENER_KIT,8,,,,8,
RETENTION_GUIDE_RODS,4,,,,4,
RETENTION_LOWER_COLLARS,4,,,,4,
RETENTION_LOWER_FASTENER_KIT,16,,,,16,
RETENTION_ORIGINAL_METAL,22,0.8118603732871096,,,0,
RETENTION_REVISED_MASTS,2,,,,2,
ROOT_FRAME_FASTENER_KIT,72,,,,72,
ROOT_FRAME_METAL,37,2.455722243106461,,,0,
SOLAR_CIC_WHOLE_VENDOR_REFERENCE,84,,0.3024,,0,
SOLAR_CURRENT_FRAMES_AND_HINGES,28,0.13245620399028463,,,0,
SOLAR_CURRENT_LEAF_LAMINATES,6,,,1.08,6,
SOLAR_PANEL_BONDLINE,84,,,,84,
SOLAR_RELEASE_KITS,2,,,0.16,2,
SOLAR_WIRING_KITS,2,,,0.1,2,
THERMAL_INTERFACE_KIT,6,,,,6,
THERMAL_SPREADER,1,0.04732388922019231,,,0,
