check,relative_path,bytes,sha256,status
V1_0_NATIVE_HASH,00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT,73762,457cbfdfaa033bb7d5c34c67a20778509f2020895ce532f4e905cfccb8246159,MATCH
V1_0_NATIVE_HASH,01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM,125842,2c83165dcce099b28ad83aeade020dd73cda3191718e7518d5b7fda43e574a5e,MATCH
V1_0_NATIVE_HASH,01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT,178688,f1c0006940f69158d812fdb1710413767306d04235822cf2563777134379b316,MATCH
V1_0_NATIVE_HASH,01_Primary_Structure/parts/12U_External_Panels_Visual.SLDPRT,166247,4bb719cc230321141f3550fd3e7eea156d3f66643cbd5f3f3aedacdec95a4f93,MATCH
V1_0_NATIVE_HASH,01_Primary_Structure/parts/12U_Frame_Structure_Visual.SLDPRT,238102,cbbca70ecb8b50b0c5d4dc1f6a1a3c1aca9e425d80ca5b92f46d6ba1b93153b5,MATCH
V1_0_NATIVE_HASH,01_Primary_Structure/parts/Rail_Contact_Reference_Wire.SLDPRT,54402,15bb4e6d5debfc543cad2a394ac6a9075f8158b4353e23a21e7b8ed8fd39d203,MATCH
V1_0_NATIVE_HASH,01_Primary_Structure/parts/Task_Face_Panel_Visual.SLDPRT,83479,38b48d6f9997e675ab8766b050a5b9b48e4961b6bca3966eda478f116b7a2f70,MATCH
V1_0_NATIVE_HASH,02_Robot_Mount/B601_Mount_Adapter_Visual.SLDPRT,177624,9c72096954b9acba10e66260d82d5740f87d7b500397a2bc040428ddf2bf27e7,MATCH
V1_0_NATIVE_HASH,02_Robot_Mount/B601_Mount_Module_Visual.SLDASM,89841,2e1b75d2e8a40e97c2285059ac8534882cd96534608480885c36e5257fe838c6,MATCH
V1_0_NATIVE_HASH,03_B601_Visual/B601_Joint_Frame_Overlay.SLDPRT,48792,f26f71f53b36d2c4fc6821359506d8d84eebde9e74ccd883377fbf370177cbb7,MATCH
V1_0_NATIVE_HASH,03_B601_Visual/B601_Visual_Assembly.SLDASM,89132,12b97ab011b56633edc62ff07f645e8b7287738ffe434d3db8b28db8c9688d8c,MATCH
V1_0_NATIVE_HASH,03_B601_Visual/links/base_link_visual.SLDPRT,144996,42ca09deff05acff26b13f14d5fb9e6bbdbb8a2bc1bfadc81f1ba32247c910d9,MATCH
V1_0_NATIVE_HASH,03_B601_Visual/links/gripper_left_visual.SLDPRT,129579,ef30a703ac9713842e2e69b0b81ce3d111022771f083b26f2d2ab17ff00ec98a,MATCH
V1_0_NATIVE_HASH,03_B601_Visual/links/gripper_link_visual.SLDPRT,110471,31a870769bb32e1f0966afbe9add3865f27768bcf3bf06df37249649f2dd5cf5,MATCH
V1_0_NATIVE_HASH,03_B601_Visual/links/gripper_right_visual.SLDPRT,131187,46091817379910f90913537d847e2466f59b8978d8320262f6211bb629f37224,MATCH
