ref,pn,quantity,role,source,actual_received,build_approved
PS1,MEAN WELL RSP-500-24,1,EXTERNAL_GSE,RSP,UNCONFIRMED,False
Q1,E-T-A ESX10-105-DC24V-16A-E,1,EXTERNAL_GSE_CANDIDATE,ETA,UNCONFIRMED,False
K1,Sensata GIGAVAC GX11CAB,1,EXTERNAL_GSE_SINGLE_POSITIVE_CONTACTOR_CANDIDATE,GX11 Rev6 2015-10-23 p3-4; power/POWER_DESIGN_ZH.md,UNCONFIRMED,False
U1,ODrive Regen Clamp / screw terminals TB005-762-06BE,1,EXTERNAL_GSE_CANDIDATE,REGEN,UNCONFIRMED,False
RB1,ODrive supplied 2ohm 50W resistor; detailed pulse curve pending,1,EXTERNAL_GSE_CANDIDATE,REGEN,UNCONFIRMED,False
DM,"reBot B601 DM, public V4 BOM",1,GROUND_ROBOT,DM_PUBLIC,UNCONFIRMED,False
SEP,Seeed 100045091 XT30 2+2 splitter,1,GROUND_ROBOT,DM_PUBLIC,UNCONFIRMED,False
CAN,Seeed 100011896 USB-CAN board,1,EXTERNAL_GSE,DM_PUBLIC,UNCONFIRMED,False
PDU,P60 PDU200 8S / Dock X2 / Reg0 12V CH1/6 / Reg1 3.3V CH2 / Reg2 5V CH0/3/5,1,LOW_POWER_CANDIDATE,PDU DS2.6/OSF4.5; Dock3.1,UNCONFIRMED,False
OBC,NanoMind A3200 200284 / DS2.0,1,LOW_POWER_GROUND_CHECKOUT_CANDIDATE,A3200,UNCONFIRMED,False
PC,Existing user computer; USB model unspecified,1,EXTERNAL_GSE,HOST_REQUIREMENT,UNCONFIRMED,False
RS_A,FTDI USB-RS422-WE-1800-BT,1,EXTERNAL_RS422_ELECTRICAL_LOOP; no VACCO protocol claim,FTDI,UNCONFIRMED,False
RS_B,FTDI USB-RS422-WE-1800-BT,1,EXTERNAL_RS422_ELECTRICAL_LOOP; no VACCO protocol claim,FTDI,UNCONFIRMED,False
DOCK,NanoPower P60 Dock 8S,1,LOW_POWER_CANDIDATE,DS3.1 OSF5.2,UNCONFIRMED,False
ACU,NanoPower ACU200 8S / X1,1,LOW_POWER_CANDIDATE,DS2.3 OSF4.0,UNCONFIRMED,False
BPX,NanoPower BPX100Wh 8S1P,1,LOW_POWER_CANDIDATE,DS1076870 1.1.0,UNCONFIRMED,False
L01_L02_SRC,Samtec SFSD-15-28-G-03.00-S,1,GROUND_P1_SHORT_LEAD; total hot-loop<=180mOhm,POWER_CONTRACT / manufacturer source,UNCONFIRMED,False
L01_L02_DST,Molex510210400,1,GROUND_P1_HOUSING,A3200 DS2.0; Molex PS RevAD,UNCONFIRMED,False
L01_L02_CONTACT,Molex500798000,2,GROUND_P1_CRIMP,Molex PS51021-024 RevAD,UNCONFIRMED,False
GSE_PCB,WP09R RS422 splice R1 40x30mm,1,NEW_DERIVED_GROUND_BOARD; no manufacturing release,ecad/rs422_gse_splice.kicad_pcb,UNCONFIRMED,False
CIC_REF,AZUR81442 3G30A Advanced 4x8 CIC,84,REFERENCE_ARRAY_ONLY; not integrated/purchase authorization,AZUR DB00010891-01 2025-04-11,UNCONFIRMED,False
STOP_CONTROL,UNBOUND controller / monitored24V coil supply,1,OPEN_HARDWARE_RESPONSIBILITY,GX11 minimum contact5V0.1mA; POWER_DESIGN,UNCONFIRMED,False
FPP,UNBOUND full FPP/RBF/dearm realization,1,OPEN_GSE_RESPONSIBILITY,Dock DS3.1,UNCONFIRMED,False
PV_BLOCKING,UNBOUND 12 string blocking diodes,12,ARRAY_DESIGN_REQUIREMENT; PN not frozen,ACU2.3 input contract,UNCONFIRMED,False
