wire_id,from_endpoint,to_endpoint,signal,wire_or_mate,status,source,build_approved,physical_test,cut_length_mm
A01,PS1.TB2.4,Q1.1,ARM_RAW+,LAPP1120762 2x2.5mm2 core1,PIN_DESIGN; TERMINAL_LUG_SELECTION_OPEN,RSP;ETA,False,NOT_EXECUTED,
A02,Q1.2,K1.A2(+),ARM_Q+,LAPP1120762 core1,GX11CAB polarized main contact input,ETA; GX11 Rev6 2015-10-23 p3-4,False,NOT_EXECUTED,
A03,K1.A1(-),U1.IN+,ARM_SW+,LAPP1120762 core1,GX11CAB main output; stopping hardware remains unbound,REGEN; GX11 Rev6 2015-10-23 p3-4,False,NOT_EXECUTED,
A04,PS1.TB2.1,U1.IN-,ARM_RET,LAPP1120762 core2,CONTINUOUS_RETURN; not galvanic isolation,RSP,False,NOT_EXECUTED,
A06,PS1.TB2.1,Q1.11,ARM_RET,"separate rated reference lead, PN pending",REFERENCE_PIN_DESIGN,ETA,False,NOT_EXECUTED,
A07,U1.OUT+,SEP.PWR,ARM_BUS+,LAPP1120762 to OEM copper-lug harness; transition terminal pending,V4_SPLITTER_CAVITY_OPEN,DM_PUBLIC;REGEN,False,NOT_EXECUTED,
A08,U1.OUT-,SEP.RET,ARM_BUS_RET,LAPP1120762 to OEM copper-lug harness; transition terminal pending,V4_SPLITTER_CAVITY_OPEN,DM_PUBLIC;REGEN,False,NOT_EXECUTED,
A09,SEP.PWR,DM.VCC_REF,ARM_BUS+,OEM XT30(2+2) harness retained,V4_PIN_OPEN,DM_PUBLIC;DM_2023,False,NOT_EXECUTED,
A10,SEP.RET,DM.RET_REF,ARM_BUS_RET,OEM XT30(2+2) harness retained,V4_PIN_OPEN,DM_PUBLIC;DM_2023,False,NOT_EXECUTED,
A11,U1.R+,RB1.A,BRAKE+,supplied resistor leads; fit to terminal to verify,PIN_DESIGN_PULSE_THERMAL_OPEN,REGEN,False,NOT_EXECUTED,
