configuration,configuration_class,unique_geometry_summary,interface_acceptance,independent_activation,native_rebuild,neutral_reload,suppression_mate_readback,bounding_box,external_interference,sim13_use,qualification
DEPLOYED_NOMINAL,SYSTEM,L=DEPLOYED;R=DEPLOYED;arm=TASK_READY,ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,SIM13_PRIMARY,ONORBIT_COMPETITION_PROTOTYPE_ONLY
LEFT_PANEL_FAIL,SYSTEM,L=STOWED;R=DEPLOYED;arm=RESTRAINED,ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,OFF_NOMINAL,ONORBIT_COMPETITION_PROTOTYPE_ONLY
RIGHT_PANEL_FAIL,SYSTEM,L=DEPLOYED;R=STOWED;arm=RESTRAINED,ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,OFF_NOMINAL,ONORBIT_COMPETITION_PROTOTYPE_ONLY
BOTH_PANEL_FAIL,SYSTEM,L=STOWED;R=STOWED;arm=RESTRAINED,ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,OFF_NOMINAL,ONORBIT_COMPETITION_PROTOTYPE_ONLY
ARM_STOWED_ONORBIT,ARM,"q=[145.572,-168,-57,-41.143,-20.954,-3] deg",ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,ONORBIT_SEMANTIC,ONORBIT_COMPETITION_PROTOTYPE_ONLY
ARM_TASK_READY,ARM,"q=[0,0,0,0,0,0] deg",ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,SIM13_PRIMARY,ONORBIT_COMPETITION_PROTOTYPE_ONLY
GRIPPER_CLOSED,GRIPPER,left/right prismatic=0.0000 m,ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,SEMANTIC,ONORBIT_COMPETITION_PROTOTYPE_ONLY
GRIPPER_PARTIAL,GRIPPER,left/right prismatic=0.023833 m,ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,SEMANTIC,ONORBIT_COMPETITION_PROTOTYPE_ONLY
GRIPPER_PREGRASP,GRIPPER,left/right prismatic=0.047667 m,ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,SEMANTIC,ONORBIT_COMPETITION_PROTOTYPE_ONLY
GRIPPER_OPEN,GRIPPER,left/right prismatic=0.0715 m,ACCEPTED_FOR_NEUTRAL_SIM_STATE_ENUM,SEMANTIC_STATE_ONLY,HOLD_NATIVE_TOP_ASSEMBLY,HOLD_NO_PARAMETRIC_CONFIGURATION_READBACK,NOT_APPLICABLE_TO_SINGLE_NEUTRAL_BREP,HOLD_PER_CONFIGURATION_BBOX_NOT_MEASURED,HOLD_INDEPENDENT_CONTINUOUS_COLLISION_TEST,SEMANTIC,ONORBIT_COMPETITION_PROTOTYPE_ONLY
