"relative_path","sha256","bytes"
"30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/scen_dynamics.py","263369437FB05E3AD54B98C9A8F0D3717D77D836B0D767E32768437075D2C36E","15140"
"30_simulation/current_r2_digital_host_capture_data_v1/tests/test_scenarios_dynamics.py","94C1F993F09B173595E486220BBFB07BB20C239EFAE4D09A3F0788A65EABA982","4981"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/PROTOCOL_REVISIONS.md","F7506A6435DD5B3E76DC46883561989FF259CF8628F2A84CBF3886ECA9FEC3A2","5884"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/R4_TARGETED_TEST.log","EF64518EEB33997F508A5BE9501F9916DA22EB6BBD20C65B4BAD04F9CBC070D6","274"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/R4_FULL_TEST.log","7F828AF472C03AD387CEBD834D86798CC7F8D7FD249988362C344683B66632D2","504"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/RUN4_PREEXECUTION_GATE.json","79882DA136887F21135153E3C8868EBB35F231D94B4DDE1F1223B5DF21E11DF0","4434"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/RUN2_RUN3_RUN4_COMPARISON.csv","E7B574BC4283587C01DEC417A9F8CDB24A7D230F7B929491B87A0937D98BD9F4","2683"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/R4_NEGATIVE_CONTROL_REPORT.json","D9A985A8592C29A68D810B4D012B328F2057FE2C493CE769FD5A39381FDD9D60","2086"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/R4_CONVERGENCE_SEMANTICS_REPORT.md","4DB9CADFEF1B5248194FB90BB02618573825D7A682BD533EA7F069705B5734FF","4001"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/RUN4_GATE_CANDIDATE.json","F8BEFAC22FC5494E40E9C2BF2578BDD24126B0525340ACC2195E8D75FFE149F0","2007"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/R4_REDTEAM_REPORT.json","12BD603B2AF2248249FFB462E2DD68C6B3782EA4FD1CED5341ACEBF13394B362","1326"
"30_simulation/current_r2_digital_host_capture_data_v1/13_reports/CURRENT_DIGITAL_HOST_DELTA_R4.md","A2622E4B932E2359D6CE76D55936D627513CA33809CE006C86D71DC0C712E1F5","1487"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/_archive_run3/RUN3_ARCHIVE_MANIFEST.json","D42F4415CDB6AE21702BB61941BAE18A8F66D39655F8EC91FFF49FB2241DBF9A","2779"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/_archive_run3/RUN3_ARCHIVE_HASHES.csv","D439C990455D118CA213AECB0A70F3D2CB5D3B6EA384615DB2F66D78C73D93C1","115972"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/_archive_run3/RUN3_ARCHIVE_RECEIPT.md","20BE62B13A75DA0E153BEF6ECE1BC0451B4B6181AC7B2C7DFCAEC223EE08B761","1145"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/_handoff_snapshot_20260827_162850/HANDOFF_STATUS.json","C3F2C110EDD611B39CBC24B018E41005B6ACC16603C9375DC749691050745B19","864"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/_handoff_snapshot_20260827_162850/HANDOFF_FILE_HASHES.csv","BF36C4F7C061A653F14E1417BFDD78E738E80231E4580A1C876BE3FF5A8AB7D6","565"
"30_simulation/current_r2_digital_host_capture_data_v1/11_verification/_handoff_snapshot_20260827_162850/TARGETED_GIT_DIFF.patch","F9DF67CF0EBD6AC3E75B5E3CA6101A59262CC87006BC91BCE72DA330A105BF7C","7447"
