domain,item,current_status,verdict,authority_path,json_key_or_row_locator,sha256,last_verified,what_it_proves,what_it_does_not_prove,open_blocker,blocker_owner,internally_closable,external_input_required,competition_relevance,claim_ceiling,next_minimum_action
"compdeliv","official_2026_competition_requirements_doc","UNKNOWN","COMPETITION_REQUIREMENT_STATUS=UNKNOWN_BLOCKING_FORMAT_CONFIRMATION","NONE_FOUND_IN_REPO","Grep 参赛指南/竞赛通知/提交要求/视频要求/参赛手册/大赛章程/报告书/展架/报名/poster/submission 在 01_project,50_literature,80_third_party 零官方文件命中","NA","2026-08-27","仓内不存在 2026 正式参赛指南/项目报告模板/报名提交字段/视频格式要求官方文件","不证明官方要求不存在于仓外；用户外部线索(截止09-01,论文+视频+展架+照片)仅背景非权威","B-CD01","Owner","false","true","决定 9-01 提交物清单与格式合规，硬阻断","UNKNOWN","Owner 提供官方参赛指南 PDF/报名系统字段截图入库并登记 source_manifest"
"compdeliv","archived_format_description_20260715","SUPERSEDED","ARCHIVED_DOC_NOT_CURRENT_AUTHORITY_PER_AGENTS_MD_LINE14","01_project/competition/archive/项目现状总览_20260715.md","line 11: 作品提交硬截止2026-09-01 初赛纯网评(报告书+附件) 决赛现场答辩+可选实物","e65cf431ba0024bbb10ff4a75ab686452173dadfbdb6dc424a42c238dec0436b","2026-08-27","仓内唯一比赛格式自然语言描述的存在性与原文位置","不证明该描述对 2026 第十二届正式有效(归档文件禁作现行依据)","B-CD01","Owner","false","true","仅作背景线索，禁止静默当作正式规则","ARCHIVED_BACKGROUND_ONLY","若 Owner 确认仍有效则升级到正式引用并标注来源"
"compdeliv","competition_demo_chain_gate_20260720","VERIFIED","COMPETITION_DEMO_READY 17/17","10_research/competition_convergence/competition_gate_check.json","final_verdict=COMPETITION_DEMO_READY; checks_passed=17; checks_total=17; next_stage_authorized=false","8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200","2026-08-27","离线确定性证据回放演示链机器 PASS；本次复算 sha256 与 01_project/current/CURRENT_GATE_MATRIX_V1.csv row2 记录(8B3CDBDA...)一致","不证明任务执行授权、实时数字孪生、硬件验证、SAFE-00 已批准；next_stage_authorized=false","NONE_FOR_DEMO_ITSELF","-","true","false","决赛答辩可用的离线演示证据核心","verified-artifact-driven deterministic OFFLINE evidence replay demonstrator only","无；注意演示口径冻结于 2026-07-20"
"compdeliv","demo_video_mp4","VERIFIED","BYTE_IDENTITY_WITH_MANIFEST_CONFIRMED","40_evidence/artifacts/competition_convergence/competition_mission_intelligence_demo.mp4","evidence_asset_manifest.json assets[...demo.mp4].raw_sha256; gate VIDEO_PACKAGE: h264 1920x1080 54.97s 30fps","7043d026cef6034b3f6a86014962332a2c419c72d0b6304549effbbd218f1b41","2026-08-27","视频文件在盘且与 manifest/gate 记录逐字节一致(本次 sha256sum 复算)","不证明该格式满足官方视频要求(官方要求 UNKNOWN)；不证明含真机画面","B-CD06_FORMAT_UNKNOWN","Owner","true","true","候选演示视频交付物","offline replay explainer video","待官方格式确认后核对合规性"
"compdeliv","demo_pptx_9slides","VERIFIED","BYTE_IDENTITY_WITH_MANIFEST_CONFIRMED","40_evidence/artifacts/competition_convergence/competition_mission_intelligence_demo.pptx","gate PPTX_PACKAGE slide_count=9 bytes=177259; manifest raw_sha256 复算一致","9deff92b539cb43da53cc02c3187a9680761437beb468c10c55853846906c059","2026-08-27","9 页 PPTX 在盘且哈希一致","不证明内容覆盖官方报告模板字段；不证明可直接作为技术报告提交","B-CD02","Owner","true","true","决赛答辩演示候选材料","offline replay slide deck","待报告模板确认后决定是否扩写"
"compdeliv","competition_technical_report_manuscript","UNKNOWN","NOT_FOUND_IN_REPO","NONE","Glob **/*.tex 零命中; find docx/pdf 在 01_project 仅协作者输入与调研报告; 无报告书母稿","NA","2026-08-27","仓内不存在面向比赛提交的技术报告书/项目报告母稿(LaTeX 或 docx/pdf)","不证明无法临时编写；证明当前无可提交母稿","B-CD02","Owner+写作线","true","false","初赛网评报告书是硬交付物(按归档描述)，缺失即 P0","NO_SUBMITTABLE_REPORT_EXISTS","Owner 决定报告母题与模板来源，立即启动母稿"
"compdeliv","paper1_journal_architecture","LIMITED","JOURNAL_PAPER_ARCHITECTURE_NOT_COMPETITION_REPORT","10_research/paper1_architecture.md","title line + 写作红线段; 目标刊 Acta Astronautica","6df2bec70a723296f81b5cf801519e3d340360bbf1c287ce236bebe2a92d97f6","2026-08-27","存在期刊论文架构草稿(含摘要/贡献/证据指针)","不是比赛技术报告；不证明其数字可直接进比赛材料(多处预注册限定)","B-CD02","写作线","true","false","可作为报告书技术内容素材池","source material only","若写报告书，从 gate JSON 复核引用数字"
"compdeliv","claim_evidence_ledger_population","LIMITED","HEADER_ONLY_ZERO_DATA_ROWS","10_research/knowledge_base/papers/claim_evidence_ledger.csv","file=185B header only; controller_state.yaml counts.claim_evidence_rows=0","1cff4ab952b75e4ea4679d3947bc630c2eb2afe00932ce389a89a4e128f9e297","2026-08-27","论文级 claim-evidence 账本为空","不证明比赛 claim matrix 为空(competition_claim_evidence_matrix.csv 有 9 行数据)","B-CD09","写作线","true","false","影响报告书 claim 可追溯性声明","claims must cite gate JSON directly","填充或放弃该账本并在报告说明"
"compdeliv","poster_board_image","UNKNOWN","NOT_FOUND_IN_REPO","NONE","文件名搜索 展架/poster 零命中","NA","2026-08-27","无展架图资产","不证明官方要求展架(要求 UNKNOWN)","B-CD06","Owner","true","true","若决赛要求则为缺口","UNKNOWN","官方要求确认后再排期"
"compdeliv","artifact_photos","UNKNOWN","NOT_FOUND_IN_REPO","NONE","文件名搜索 照片/作品照片 零命中; gate hardware_component_status B601_MOTION=PROHIBITED","NA","2026-08-27","无作品照片资产；实物硬件动作被禁止","不证明官方要求实物照片(要求 UNKNOWN)","B-CD06","Owner","false","true","若要求实物照片则需外部硬件流程","UNKNOWN","官方要求确认+Owner 决定是否触碰硬件"
