task,owner_agent,owned_paths,forbidden_paths,wave,status
state_truth,PI(Fable),10_research/partner_requirement_closure/state_truth_report.md,一切 30_simulation/ 70_tools/project_visualization/src/ 20_engineering/config/,0,DONE
trajectory_plan,B,10_research/control/trajectory_control_research_plan.md,30_simulation/* 70_tools/project_visualization/src/* 20_engineering/config/*,0,DONE
attitude_plan,C,10_research/control/attitude_stabilization_research_plan.md + attitude_stab_v0.yaml(设计态),30_simulation/* src/*,0,DONE
rom_plan,D,10_research/rom/*,30_simulation/* 70_tools/project_visualization/src/* 20_engineering/config/*,0,DONE
vla_plan,E,10_research/vla/*,30_simulation/* 70_tools/project_visualization/src/* 20_engineering/config/*,0,DONE
integration_plan,F,10_research/integration/*,30_simulation/* 70_tools/project_visualization/src/* 20_engineering/config/*,0,DONE
red_team,R1+R2,10_research/partner_requirement_closure/red_team_*.md,全部其他,0,DONE
synthesis,PI(Fable),10_research/partner_requirement_closure/{master_plan.md;dependency_dag.md;*.csv;*.yaml},30_simulation/*,0,DONE
safety_00_impl,待指派,30_simulation/safety_00_runtime_gate/(新建) + 20_engineering/config/safety_gate/(新建),sim_01-12 全部冻结区,1,AWAITING_APPROVAL
control_01_impl,待指派,30_simulation/control_01_end_effector_tracking/(新建) + 20_engineering/config/control_scene/(新建),sim_01-12 冻结区;10_research/(除自身报告),1,AWAITING_APPROVAL
control_02_impl,待指派,30_simulation/control_02_base_attitude/(新建) + 20_engineering/config/attitude_stab/(新建),control_01 目录;冻结区,1,AWAITING_APPROVAL
sim12_p1b,条件触发,30_simulation/sim_12_strategy_feasibility/{results,src}/p1b_*,Phase1 既有工件,1,CONDITIONAL
tool_contract_impl,待指派,30_simulation/physics_70_tools/(新建),冻结区,2,PLANNED
rom_selector_impl,待指派,30_simulation/rom_selector/(新建) + 20_engineering/config/rom/(新建),冻结区,2,PLANNED
vla_baselines,待指派,10_research/vla/datasets/ + src/vla/(新建),物理层全部,2,PLANNED
panel_registry_v2转正,panel-param-agent,20_engineering/config/coupled_scene/ + sim_11 重跑工件,其余冻结区,2,BLOCKED_BY_EXTERNAL_INPUT
hw_H0_H1,硬件组,hardware/(新建),仿真全部,3,NOT_STARTED
