role,path,size_bytes,sha256,pre_reorg04_path,pre_reorg04_size_bytes,pre_reorg04_sha256,refreeze_reason
accepted_artifact,40_evidence/artifacts/visualization/grasp_geometry_explorer_v0.html,4862729,C0B6E8DA6F8D265B782D44FC55798906F5667E1FC13E6103091B5FBBD172C93F,artifacts/visualization/grasp_geometry_explorer_v0.html,4862111,B084732B4AE0C936AE00685174E67F653918E8FA246C4FA3D6F38617EC9D5BF5,root_namespace_path_refreeze_reorg04
accepted_artifact,40_evidence/artifacts/visualization/project_visualization_v0.html,13572328,83C67E63A90E23172C085577E2FB5EF01B2E31D0E812C9729D0A4BA281DE57C7,artifacts/visualization/project_visualization_v0.html,13571036,1F66454100AFB0A66E31E042C52C6B2A570801B72217F8709A2B50CA225B3166,root_namespace_path_refreeze_reorg04
report,40_evidence/artifacts/visualization/viz_gate0_acceptance_report.md,6391,623E8002CC9FB99A4106109828B3CC17AC26DFBE3C51F634CF8E3259B0C9E975,artifacts/visualization/viz_gate0_acceptance_report.md,6185,F59FDFA69E238555FB044F796882D3D37B5758955B0BC5AB077BBFA9B6F2205A,root_namespace_path_refreeze_reorg04
browser_evidence,40_evidence/artifacts/visualization/viz_gate0_file_offline_chrome_20260714.png,132401,A380DC364524EE748B68D9AFD8A4B38B6BD66B5147B1720334E9DBDAFEA6034A,artifacts/visualization/viz_gate0_file_offline_chrome_20260714.png,132401,A380DC364524EE748B68D9AFD8A4B38B6BD66B5147B1720334E9DBDAFEA6034A,root_namespace_path_refreeze_reorg04
accepted_artifact,40_evidence/artifacts/visualization/VIZ_GATE0_FREEZE_20260714.md,2499,AA1893B5F80CDE6A8820B920B07475EB3222FEC853AE9A42439C888ED0187D28,artifacts/visualization/VIZ_GATE0_FREEZE_20260714.md,2224,060055B219B47E0DB4F1643A0CF21AF263B2085C23890AF827C5A54395990D68,root_namespace_path_refreeze_reorg04
environment,40_evidence/artifacts/visualization/viz_gate0_python_environment_20260714.txt,1531,86D1234074DE1F3E79B061B65D40EDF79AADFFBB7E5754F40CC0B03D13F72BF6,artifacts/visualization/viz_gate0_python_environment_20260714.txt,1446,2648A26C817439BD4C92816F86BE541F5E2AD2B957C16A8B66ED63D4958827D9,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v01_system_assembly_isometric.png,274961,07EE73F09627C77D529F0547F27E2C8EBF0C9D0FF2A324FCB82F6E241D6874F0,figures/visualization/fig_v01_system_assembly_isometric.png,274961,07EE73F09627C77D529F0547F27E2C8EBF0C9D0FF2A324FCB82F6E241D6874F0,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v02_system_assembly_top.png,138251,5468D6E9E0DC36EA3A64DC6D242A6CFE49FB983CCC5AD2692E4F0366DEFA5B5C,figures/visualization/fig_v02_system_assembly_top.png,138251,5468D6E9E0DC36EA3A64DC6D242A6CFE49FB983CCC5AD2692E4F0366DEFA5B5C,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v03_system_assembly_side.png,143160,BDCC316BAFF3691E65CD94E462FB606B7CA601165BD9A2D0D72E9962331C7950,figures/visualization/fig_v03_system_assembly_side.png,143160,BDCC316BAFF3691E65CD94E462FB606B7CA601165BD9A2D0D72E9962331C7950,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v04_mount_and_frames.png,294033,17BE547815D9E3FF7735C80BF2D89FB91CA44AB8DA5A3C562AD5AAB65B6A02B9,figures/visualization/fig_v04_mount_and_frames.png,294033,17BE547815D9E3FF7735C80BF2D89FB91CA44AB8DA5A3C562AD5AAB65B6A02B9,root_namespace_path_refreeze_reorg04
