target,tumble_dps,H_Nms,t_detumble_s,lever_m,torque_Nm,thruster_force_N,total_impulse_Ns,isp_class,propellant_g
target_debris_v0,0.25,0.35503,60.0,0.05,0.005917,0.059172,7.1007,cold_gas_60s,12.0678
target_debris_v0,0.25,0.35503,60.0,0.05,0.005917,0.059172,7.1007,green_mono_220s,3.2912
target_debris_v0,0.25,0.35503,60.0,0.1,0.005917,0.029586,3.5503,cold_gas_60s,6.0339
target_debris_v0,0.25,0.35503,60.0,0.1,0.005917,0.029586,3.5503,green_mono_220s,1.6456
target_debris_v0,0.25,0.35503,60.0,0.17,0.005917,0.017404,2.0884,cold_gas_60s,3.5493
target_debris_v0,0.25,0.35503,60.0,0.17,0.005917,0.017404,2.0884,green_mono_220s,0.968
target_debris_v0,0.25,0.35503,300.0,0.05,0.001183,0.011834,7.1007,cold_gas_60s,12.0678
target_debris_v0,0.25,0.35503,300.0,0.05,0.001183,0.011834,7.1007,green_mono_220s,3.2912
target_debris_v0,0.25,0.35503,300.0,0.1,0.001183,0.005917,3.5503,cold_gas_60s,6.0339
target_debris_v0,0.25,0.35503,300.0,0.1,0.001183,0.005917,3.5503,green_mono_220s,1.6456
target_debris_v0,0.25,0.35503,300.0,0.17,0.001183,0.003481,2.0884,cold_gas_60s,3.5493
target_debris_v0,0.25,0.35503,300.0,0.17,0.001183,0.003481,2.0884,green_mono_220s,0.968
target_debris_v0,0.25,0.35503,900.0,0.05,0.000394,0.003945,7.1007,cold_gas_60s,12.0678
target_debris_v0,0.25,0.35503,900.0,0.05,0.000394,0.003945,7.1007,green_mono_220s,3.2912
target_debris_v0,0.25,0.35503,900.0,0.1,0.000394,0.001972,3.5503,cold_gas_60s,6.0339
target_debris_v0,0.25,0.35503,900.0,0.1,0.000394,0.001972,3.5503,green_mono_220s,1.6456
target_debris_v0,0.25,0.35503,900.0,0.17,0.000394,0.00116,2.0884,cold_gas_60s,3.5493
target_debris_v0,0.25,0.35503,900.0,0.17,0.000394,0.00116,2.0884,green_mono_220s,0.968
target_debris_v0,0.25,0.35503,3600.0,0.05,9.9e-05,0.000986,7.1007,cold_gas_60s,12.0678
target_debris_v0,0.25,0.35503,3600.0,0.05,9.9e-05,0.000986,7.1007,green_mono_220s,3.2912
target_debris_v0,0.25,0.35503,3600.0,0.1,9.9e-05,0.000493,3.5503,cold_gas_60s,6.0339
