"id","domain","description","verdict_or_status","authority_path","locator","sha256","retained_as","notes"
"NEG-CTRL01-A2","ctrl","闭环 C1_T1 锚差 0.15504136331859542 deg 超 0.05 门槛；C2_T1 植物保真诊断仅 0.006448 deg，残差归因于冻结增益纯反馈滞后","REPEAT_GENUINE_NEGATIVE","30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json","$.gates.GC1_A2_closed_loop_C1_T1_anchor（行19-25）","ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96","预注册负结果（CP6 方案 B 收口）","翻转须换增益=新实验；gains_tuned_on_plant=false 禁止调参"
"NEG-CTRL01-D-C2","ctrl","C2 对 C1 的 T2 位置增量 -38.26038923416019% 低于 +30% 预注册门槛（v0 -51.9137123236204% 逐字保留）","REPEAT_GENUINE_NEGATIVE","30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json","$.gates.GC1_D_incremental_effectiveness（行53-76）","ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96","预注册负结果","前馈在 station-kept T2 上增加关节运动；姿态向 +99.85% 仅作上下文"
"NEG-CTRL01-D-C3","ctrl","C3 孤立零空间效应真零：C3 vs C2_MATCH5 基率改善 +1.8387128071932317e-05%（门槛 5%）；指令削减 9.98e-06%","REPEAT_GENUINE_NEGATIVE","30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json","$.gates.GC1_D.C3_* 字段","ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96","预注册负结果","公平比较器 C2_MATCH5 下的真零；CP6 授权按真零表述"
"NEG-CTRL01-E-JOINT","ctrl","关节限位余量 -1.4728426913978847 rad（T1 锚含预注册 q2=+60deg 出 URDF 冲突 -1.0476 rad）","REPEAT_GENUINE_NEGATIVE","30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json","$.gates.GC1_E_constraints.values.joint_limit_margin_min_rad（行80）","ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96","预注册负结果","T1_anchor_joint_limit_conflict_preregistered=true"
"NEG-CTRL01-E-SIGMA","ctrl","task_sigma_min 6.639830276911244e-05 低于 1e-4 门槛（冻结 T1 从奇异伸展位形起步）","REPEAT_GENUINE_NEGATIVE","30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json","$.gates.GC1_E.values.task_sigma_min（行81）","ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96","预注册负结果","结构性归因经集成方算术复核"
"NEG-CTRL01-E-RATE","ctrl","关节速度 1.8365906028735075 rad/s、加速度 9.108554855103153 rad/s2 超冻结 PROVISIONAL 档 0.7/2.0","REPEAT_GENUINE_NEGATIVE","10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json","$.repeat_remainder_classification_per_preregistration_item_2.genuine_negative_result_preserved[4]（行82-86）","ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf","预注册负结果","T3 回撤速率需求+t=0 FOH 瞬态超冻结档"
"NEG-CTRL01-F","ctrl","C1_T3 与 C1_MATCH5_T3 位置 p95 0.1902 m 超 0.11 m 有界误差界；纯反馈在 T3 峰值 0.3125 m/s 下结构性越界，C2/C3 在 0.0024 m 内","REPEAT_GENUINE_NEGATIVE","30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json","$.gates.GC1_F_bounded_error_C1_C2_C3.violations（行271-287）","ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96","预注册负结果","界推导 0.12/1.2+0.01=0.11 m 经集成方算术验证"
"NEG-CTRL02-A1M2","ctrl","A1 两段轨迹在 M2 上峰值劣于 A0（9.2373 vs 8.7281 deg）——A1 非无反作用轨迹","PASS 内保留 honest negative","10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json","$.module_results.CTRL-02.confirmed_metrics.honest_negative_A1_vs_A0_peak_deg_M2（行195）","ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf","honest negative（claim 边界）","claim_forbidden 含「A1 是无反作用轨迹」"
"NEG-CTRL02-L0","ctrl","L0 硬件有效稳定性未评估：NOT_EVALUATED_NO_ACTUATOR_DYNAMICS（Stage-B L0 仅动量级终端可行性）","NOT_EVALUATED","30_simulation/control_02_base_attitude/results/control_02_gate_check.json","$.stage_B_scope.L0_stability_status（行1093）","240fa708b53646a024bb0fd2d67085188dd7c81685515b69c4cdc5dc50edfc5e","负结果/范围声明","执行器占位为 PROVISIONAL_L1_MOMENTUM_ACTUATOR"
"NEG-CTRL02-W1R12","ctrl","Stage-A A2 隐含轮力矩 0.033/0.021 N·m 超 R5 PROVISIONAL 0.01 N·m 档 3.3x/2.1x；A2 零峰值仅为动量级理想","OPEN_NEW 硬件触发重跑","10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json","$.integration_checks.red_team_completeness.key_findings_this_round[5]（行285）","ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf","rerun trigger 登记","轮组选型冻结后重评 Stage-A"
