path,file_type,sha256,modified_time,source_root,contains_B601,contains_M3,contains_M6,contains_M8,contains_PCD90,contains_BCD130,contains_140x140,evidence_type,authority_level,notes
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01-Rail-Bracket.step,step,0276FECC2D383DF4236D2F531F8D65FCBBEDF91834600455F0EFCDDB7EDE0DA0,2026-06-09T03:18:36.110876+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Arm_Handle.step,step,9F2F566D210F1EC7CBB8B4DFE43B4E628E964A802C71686199465B4AFEF125A9,2026-06-09T03:18:36.111872+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_BASE_Link.step,step,764CD8C24C070BC7C5280B0B5B2497DC84F04A1E0369FF3798FEBCB156E980EC,2026-06-09T03:18:36.114270+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_BASE_Plate.step,step,2C4074E19B7AE2EFF4527150BF66675916189A912C6D4CB73CC1EFC1056A41FA,2026-06-09T03:18:36.115314+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Finger.step,step,24033FB8DE371E087311134D32D74EB0242B2E3ED4DD7F2177945AEEB6777924,2026-06-09T03:18:36.116314+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Joint5_Cable Restraint_A.step,step,2DF7A1F5EB8640DF7C9349C56B80C4702BD8E04029C9AF50720996B0BAB6CAD0,2026-06-09T03:18:36.118582+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Joint6_7_Cable Restraint_A.step,step,AF8C58AE7F7D87C3B127AF91D4980216591AB9CD0AF196973B44DF0FBAEFBC59,2026-06-09T03:18:36.121285+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Joint6_7_Cable Restraint_B.step,step,E9206E04999B6F1830E0D3CDFE8D36B2F10598966DC38F34BFC0FBAD9DF0C34A,2026-06-09T03:18:36.123412+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Lower_Arm_Cover.step,step,09CA76FBB73221DD3601A9F4B024CED353C4134DE8D7EE697CAB5D81064C17DD,2026-06-09T03:18:36.126604+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Lower_Arm_Filler_L.step,step,960B53A64B79287F61B6513F62865553AB04E2A1B277841C0DEEE3CF8DE6848E,2026-06-09T03:18:36.130785+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Lower_Arm_Filler_M.step,step,4B2E5870952399AE6A90E84650012EC7F178D8A8ABE184821635486106FF7661,2026-06-09T03:18:36.131782+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Lower_Arm_Filler_R.step,step,93318BDFFFC88B06A29A3F5FE27B41AD1EB41D4028D363367C9D8031453F398E,2026-06-09T03:18:36.135923+00:00,PROJECT_ROOT,true,false,false,false,true,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Lower_Arm_Limit.step,step,542871222D98A9C4A09E0EB53567247982AE76DCE5C6000DF83D922DEB18DDB3,2026-06-09T03:18:36.137016+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Motor_Cover.step,step,0A2FEE80AB7626361FAA2E75AF5E025B9CB59F0DBA7232F239EE9DF184313CC2,2026-06-09T03:18:36.138633+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Upper_Arm_Cover.step,step,B1ECDA7880CA628D97EFA2834A75627C7BB38528E862606C4A036854336DA533,2026-06-09T03:18:36.140285+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Upper_Arm_Fuller_L.step,step,62FC70FE915CBAE2B4E2ADFD2A62C7913CA125F5C1FCE5578F79D6C259BB68DE,2026-06-09T03:18:36.141911+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
