chain_id,assembly_scope,interface_or_function,datum_frame,feature_A,feature_A_nominal,feature_A_unit,feature_A_tolerance_lower,feature_A_tolerance_upper,feature_A_standard_uncertainty,feature_B,feature_B_nominal,feature_B_unit,feature_B_tolerance_lower,feature_B_tolerance_upper,feature_B_standard_uncertainty,derived_nominal_relationship,derived_unit,source_type,source_path,source_sha256,confidence,worst_case_status,statistical_status,thermal_status,acceptance_status,blocking_evidence
TC-001,M3R_STAGE_A_TO_STAGE_B,central_spigot_radial_clearance,M3R_INTERFACE_DATUM,STAGE_A_SPIGOT_DIAMETER,99.6,mm,,,,STAGE_B_RECEIVING_BORE_DIAMETER,100.0,mm,,,,0.2,mm,CANDIDATE_SSOT_NOMINAL_DERIVATION,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,MEDIUM_CANDIDATE_SCOPE_ONLY,HOLD,HOLD,HOLD,HOLD,TOLERANCE_LIMITS;DATUM_SCHEME;SURFACE_FINISH;THERMAL_RANGE;MATERIAL_CTE;PHYSICAL_FITUP
TC-002,M3R_STAGE_A_TO_STAGE_B,annular_skirt_to_pocket_radial_clearance,M3R_INTERFACE_DATUM,STAGE_A_SKIRT_OUTER_DIAMETER,150.0,mm,,,,STAGE_B_POCKET_OUTER_DIAMETER,150.4,mm,,,,0.2,mm,CANDIDATE_SSOT_NOMINAL_DERIVATION,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,MEDIUM_CANDIDATE_SCOPE_ONLY,HOLD,HOLD,HOLD,HOLD,TOLERANCE_LIMITS;COAXIALITY;DATUM_SCHEME;THERMAL_RANGE;MATERIAL_CTE;PHYSICAL_FITUP
TC-003,M3R_STAGE_A_TO_STAGE_B,annular_pocket_axial_seating,M3R_INTERFACE_DATUM,STAGE_A_RECESS_DEPTH,5.595,mm,,,,STAGE_B_POCKET_DEPTH,5.595,mm,,,,,mm,CANDIDATE_SSOT_NOMINAL_COMPARISON,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,MEDIUM_CANDIDATE_SCOPE_ONLY,HOLD,HOLD,HOLD,HOLD,TOLERANCE_LIMITS;FACE_FLATNESS;PARALLELISM;SURFACE_FINISH;SEATING_DATUM_DEFINITION;PRELOAD
TC-004,B601_TO_M3R_STAGE_A,four_hole_pattern_and_counterbore_alignment,B601_AS_BUILT_PATTERN_DATUM,B601_FASTENER_AXIS_PATTERN,64_x_64,mm,,,,STAGE_A_CLEARANCE_HOLE_PATTERN,64_x_64_WITH_DIAMETER_4.6_AND_COUNTERBORE_7.5,mm,,,,0.0_NOMINAL_PATTERN_DELTA,mm,AS_BUILT_PATTERN_PLUS_CANDIDATE_SSOT,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,MEDIUM_CANDIDATE_SCOPE_ONLY,HOLD,HOLD,HOLD,HOLD,B601_AXIS_POSITION_UNCERTAINTY;STAGE_A_POSITION_TOLERANCE;FASTENER_SHANK_AND_HEAD_GEOMETRY;DATUM_SCHEME;PHYSICAL_FITUP
TC-005,M3R_STAGE_A_TO_STAGE_B,eight_M5_transition_pattern_alignment,M3R_INTERFACE_DATUM,STAGE_A_M5_PATTERN,RADIUS_62.5,mm,,,,STAGE_B_DIAMETER_5.5_PATTERN,RADIUS_62.5,mm,,,,0.0_NOMINAL_RADIUS_DELTA,mm,CANDIDATE_SSOT_NOMINAL_COMPARISON,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,MEDIUM_CANDIDATE_SCOPE_ONLY,HOLD,HOLD,HOLD,HOLD,STAGE_A_HOLE_DIAMETER;HOLE_POSITION_TOLERANCES;FASTENER_SPEC;CLOCKING_DATUM;PHYSICAL_FITUP
TC-006,M3R_STAGE_A_TO_STAGE_B,clocking_locator_fit,M3R_INTERFACE_DATUM,STAGE_A_DOWEL_CLEARANCE_DIAMETER,4.1,mm,,,,STAGE_B_BLIND_HOLE_DIAMETER,4.0,mm,,,,,mm,CANDIDATE_SSOT_NOMINALS_NOT_A_COMPLETE_FIT,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,LOW,HOLD,HOLD,HOLD,HOLD,LOCATOR_PART_GEOMETRY;PRESS_AND_SLIP_PAIR_ASSIGNMENT;DIAMETER_TOLERANCES;POSITION_TOLERANCES;BLIND_DEPTH_TOLERANCE;MATERIAL_AND_HARDNESS;ASSEMBLY_SEQUENCE
TC-007,M3R_STAGE_B_TO_SPACECRAFT,four_M6_primary_pattern_alignment,M_FRAME,STAGE_B_M6_CLEARANCE_PATTERN,140_x_140_WITH_DIAMETER_6.6,mm,,,,SPACECRAFT_MATING_PATTERN,,mm,,,,,mm,STAGE_B_CANDIDATE_ONLY_MATING_SIDE_UNKNOWN,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,LOW,HOLD,HOLD,HOLD,HOLD,SPACECRAFT_MATING_GEOMETRY;ICD;DATUM_SCHEME;POSITION_TOLERANCES;EDGE_MARGIN;FASTENER_SPEC;PHYSICAL_FITUP
TC-008,M_FRAME_TO_B601_PATTERN,frame_translation_and_clocking,M_FRAME,M_FRAME_TO_PATTERN_TRANSLATION,25.155_0.015994151_-0.08636607,mm,,,,PATTERN_ROTATION_ABOUT_X,25.000014,deg,,,,,mixed,AS_BUILT_BREP_MEASUREMENT_WITHOUT_TRACEABLE_UNCERTAINTY,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/03_wp2_mass_interface/MECHANICAL_INTERFACE_CONTROL_DOCUMENT_V2.yaml,B610C9DEE3599CBD498149C380580B82DB6BC113CC826956E0BB10D9DDFFB07D,MEDIUM_CANDIDATE_SCOPE_ONLY,HOLD,HOLD,HOLD,HOLD,MEASUREMENT_UNCERTAINTY;DATUM_REALIZATION;ROOT_TO_M_FRAME_RELATION;AS_BUILT_REPEATABILITY
TC-009,WING_HINGE_LEFT_RIGHT,pin_lug_bushing_radial_and_axial_fit,WING_HINGE_DATUM,HINGE_PIN_DIAMETER,,mm,,,,LUG_OR_BUSHING_BORE_DIAMETER,,mm,,,,,mm,NO_ACCEPTABLE_NUMERIC_AUTHORITY,,,NONE,HOLD,HOLD,HOLD,HOLD,PIN_AND_BORE_NOMINALS;LIMITS_AND_FITS;AXIAL_STACK;MATERIAL_PAIR;COATING;LUBRICATION;TEMPERATURE_RANGE;LOADS;WEAR_LIFE
TC-010,WING_HARD_STOP_LEFT_RIGHT,deployed_stop_angle_and_contact_gap,WING_HINGE_DATUM,HARD_STOP_CONTACT_LOCATION,,mm,,,,MATING_STOP_CONTACT_LOCATION,,mm,,,,,mm,NO_ACCEPTABLE_NUMERIC_AUTHORITY,,,NONE,HOLD,HOLD,HOLD,HOLD,DEPLOYED_ANGLE_REQUIREMENT;CONTACT_GEOMETRY;FLATNESS;COMPLIANCE;THERMAL_RANGE;STOP_LOAD;TEST_METHOD
