object_id,description,collision_asset_now,collision_class,operational,motion_certificate,notes
A::base_link,B601 基座 link,B51_REF_base_link_LINKLOCAL.stl + ODR60 OPTION_A proxy,NARROW_CANDIDATE+PROXY,true,ZERO_MOTION_CERT_APPEND_ONLY,唯一 operational 资产（1/150）
A::link1,B601 link1,B51_REF_link1_LINKLOCAL.stl(authoritative=False),TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,ODR60 九候选之一
A::link2,B601 link2,B51_REF_link2_LINKLOCAL.stl,TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,
A::link3,B601 link3,B51_REF_link3_LINKLOCAL.stl,TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,M01 负见证对偶方(vendor:link3)
A::link4,B601 link4,B51_REF_link4_LINKLOCAL.stl,TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,M01 负见证方(下游导管段)
A::link5,B601 link5,B51_REF_link5_LINKLOCAL.stl,TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,
A::link6,B601 link6,B51_REF_link6_LINKLOCAL.stl,TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,
A::gripper_link,夹爪本体,STL+派生 pad 包络 JSON,TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,pad 包络为派生非实测
A::gripper_left,左指,gripper_left.STL,TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,行程 0-0.0715 m 计入包络
A::gripper_right,右指,gripper_right.STL,TESSELLATION_CANDIDATE,false,UPPER_BOUND_CANDIDATE_ONLY,
S::bus,12U 母体,URDF box 0.4405x0.6263x0.2763 + 静态部件清单,PRIMITIVE_PROXY,false,NONE,
S::solar_left,左帆板,MISSING,ABSENT,false,NONE,
S::solar_right,右帆板,MISSING,ABSENT,false,NONE,
S::saddle_hdrm,支撑/HDRM 静件,F3R2 静件清单,TESSELLATION_CANDIDATE,false,NONE,C05 需要
SCENE::broadphase,全景网格,SEI_MECH_B601_V5R_COLLISION_MESH.stl (sha 7dbd3f2b…),BROAD_PHASE_ONLY,false,NONE,禁止充当窄相
T::satellite_22kg,目标星,URDF primitives,PRIMITIVE_PROXY,false,NONE,frame T 未 authority-bound
D::debris_150kg,碎片,URDF primitives,PRIMITIVE_PROXY,false,NONE,frame D 未 authority-bound
ROUTE_C::dress_pack,线缆 dress pack,EXCLUDED,EXCLUDED,false,NONE,V9F REJECTED
REGISTRY::total,150 active objects(权威注册表),1 operational / 149 absent,,,,"来源 ODR60 batch：asset_level_operational_count=1, 剩余 149"
