case_id,scenario_hash,grasp_point_id,capture_phase_s,closure_speed_mps,task_mode,alpha,capture_mode,line_A_geometry_group_key,line_A_roll_angle_deg,line_A_realized_roll_angle_deg,geometry_status,ik_feasible,collision_feasible,condition_feasible,joint_limit_feasible,terminal_tracking_feasible,manipulability,condition_number,joint_limit_margin_rad,collision_margin_m,geometry_source_hash,case_terminal_status,dynamics_status,xi_G_I_json,xi_closure_I_json,xi_EE_des_I_json,terminal_qdot_json,terminal_base_velocity_B_json,terminal_joint_speed_max_radps,terminal_base_rate_dps,joint_velocity_limit_radps,joint_velocity_limit_status,joint_torque_limit_status,terminal_generalized_condition,terminal_twist_residual_inf,terminal_momentum_residual_inf,base_attitude_change_deg,base_rate_peak_approach_dps,base_momentum_residual_inf,capture_impulse_linear_I_json,capture_impulse_angular_I_json,capture_impulse_linear_norm_Ns,capture_impulse_angular_norm_Nms,capture_impulse_6d_norm,lock_impulse_linear_norm_Ns,lock_impulse_angular_norm_Nms,net_target_wrench_6d_norm,relative_twist_pre_norm,post_capture_omega_I_json,post_capture_omega_dps,wheel_momentum_required_Nms,thruster_impulse_required_Ns,propellant_required_g,base_capture_dv_norm_mps,base_capture_dw_norm_radps,contact_position_error_m,contact_twist_residual_inf,contact_P_residual_inf,contact_H_residual_inf,two_stage_P_residual_inf,two_stage_H_residual_inf,wrench_closure_inf,energy_closure_J,dT_contact_J,dT_lock_J,contact_delassus_condition,post_capture_rate_margin,wheel_momentum_margin,thruster_impulse_margin,core_margin,post_capture_rate_pass,wheel_momentum_pass,thruster_impulse_pass,actuator_limit_status,flex_status,flex_value,evidence_status,classification,binding_constraint,safe_claim_permitted,pareto_layer,normalized_initial_impulse_objective,core_margin_tie_group,overall_rank,top20_included
P1_tc00_v05mm_pose_6d_a0p0,ab1fc2aba1b95466,P1,0.0,0.005,pose_6d,0.0,rigid_6dof,P1|tc=0|pose_6d,0.0,1.5293801237166763e-14,FEASIBLE,True,True,True,True,True,0.006559590148938912,27.247243887585434,0.6499899320561242,0.05465000000000002,8159b01064fa4c69,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.005,-0.0,-0.0,0.0,0.0,0.0]","[-0.005,-0.0,-0.0,0.0,0.0,0.0]","[-1.689993798508167e-05,-0.013330923823920458,-0.03028807152810185,0.01799524905390974,1.4854146169448933e-06,1.0452177510080803e-05]","[-0.0004064698991718479,-1.110293554014124e-07,6.154402424421386e-05,6.451579090391621e-06,-0.0010381013222834333,1.500698160220192e-06]",0.03028807152810185,0.059480035253912544,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.27230168027798,6.071532165918825e-18,1.2468324983583301e-18,1.6293558036945828,0.767591137390891,1.3877787807814457e-16,"[-0.0222661750962149,0.05451706590376721,0.010449686721391942]","[-1.910463111373975e-05,-0.002284160261741186,0.008731857400804593]",0.059808770098926406,0.009025690375601941,0.060485965872278724,0.18936546900663573,0.16183755461898713,0.2971126218327502,0.06515094065874408,"[0.045179669356058404,0.003267347012585002,0.028274040529266117]",3.0594548422803376,3.6776839106821124,21.633434768718306,36.76660696010412,0.006586201066854384,0.053348772900743364,1.3005243177733473e-10,9.107298248878237e-17,2.775645155199734e-17,7.087996856114387e-12,2.775645155199733e-17,7.087441744602074e-12,4.529709940470639e-12,1.8798851364465463e-13,0.001080345848269021,0.003061025744657539,7303.110603391029,-0.5297274211401688,0.3282769112909383,0.3282769112909384,-0.5297274211401688,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,1,0.9739330916505067,0,3,True
P1_tc00_v05mm_pose_6d_a0p8,0f784b6cefe286da,P1,0.0,0.005,pose_6d,0.8,rigid_6dof,P1|tc=0|pose_6d,0.0,1.5293801237166763e-14,FEASIBLE,True,True,True,True,True,0.006559590148938912,27.247243887585434,0.6499899320561242,0.05465000000000002,8159b01064fa4c69,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.005,-0.0,-0.0,0.0,0.0,0.0]","[0.0008967039642963264,-0.029146198817468435,-0.00381193535419015,0.03852015576261147,0.00577802336439172,0.015408062305044587]","[0.37984034184850524,-0.049503436600371466,-0.006611839249879202,-0.03169074364102903,-0.026798145990498807,-0.38520474272577415]","[-0.00011379167546053795,0.0003516714119599763,6.445524414987354e-05,-0.03315581217708198,-0.016979370046209617,-0.011389918770613315]",0.38520474272577415,2.2318431825223297,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.27230168027798,3.469446951953614e-17,1.3010426069826053e-17,1.6293558036945828,0.767591137390891,1.3877787807814457e-16,"[-0.012519644684860215,0.010910838905590655,0.0003072544684528139]","[-3.819430699321761e-06,-0.00011412343900138862,0.001747658598357877]",0.0166097054148255,0.0017513849730412185,0.016701786230552653,0.23105661433082797,0.1680511852566553,0.29711262183295734,0.014338033710288257,"[0.04517966935608962,0.003267347012576842,0.02827404052934751]",3.0594548422842913,3.6776839106825676,21.633434768720985,36.766606960108675,0.0065912912018348735,0.04365572567813984,1.3005243177733473e-10,1.4224732503009818e-16,3.686287386450715e-18,1.4185319585635625e-12,3.686287386450715e-18,1.4184209362611e-12,9.067330219991732e-13,3.8316572137375715e-14,7.715959333894074e-05,0.005635819988433613,7303.110603391029,-0.5297274211421457,0.32827691129085523,0.32827691129085523,-0.5297274211421457,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,1,0.2301923401544852,0,2,True
P1_tc00_v05mm_pose_6d_a1p0,3405ea45f81b7b3c,P1,0.0,0.005,pose_6d,1.0,rigid_6dof,P1|tc=0|pose_6d,0.0,1.5293801237166763e-14,FEASIBLE,True,True,True,True,True,0.006559590148938912,27.247243887585434,0.6499899320561242,0.05465000000000002,8159b01064fa4c69,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.005,-0.0,-0.0,0.0,0.0,0.0]","[0.002370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[0.47480465229512797,-0.058546564794484196,-0.0006927811803235422,-0.04411224181476371,-0.03349805384177775,-0.48150854145159533]","[-4.062211953271044e-05,0.00043961702228882026,6.518304912628903e-05,-0.041446378116125095,-0.020964687227191144,-0.014237773637806699]",0.48150854145159533,2.783439682280978,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.27230168027798,9.020562075079397e-17,6.938893903907228e-18,1.6293558036945828,0.767591137390891,1.3877787807814457e-16,"[-0.010083012082021545,9.282156046499927e-06,-0.002228353594781949]","[1.8694042827391563e-09,0.00042838576668355674,1.6088977461947077e-06]",0.010326314858069695,0.00042838878796312013,0.010335196926118216,0.2417130130975932,0.16961829990732183,0.2971126218330091,0.005000000000000001,"[0.045179669356097435,0.0032673470125748013,0.028274040529367866]",3.0594548422852808,3.6776839106826817,21.633434768721656,36.76660696010982,0.006596885241242342,0.046199433524002374,1.3005243177733473e-10,6.245004513516506e-17,8.673617379884035e-18,2.5779378631796135e-13,8.673617379884035e-18,2.5790480862042386e-13,2.0003443346183758e-13,8.743006318923108e-16,2.5207530205045847e-05,0.006586436868922865,7303.110603391029,-0.5297274211426404,0.32827691129083436,0.32827691129083436,-0.5297274211426404,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,1,0.1191462118857515,0,1,True
P1_tc00_v05mm_approach_5d_a0p0,3c6abf2c2668ef5f,P1,0.0,0.005,approach_5d,0.0,rigid_6dof,P1|tc=0|approach_5d,0.0,-95.5970959322615,FEASIBLE,True,True,True,True,True,0.006559590148781816,19.24490442302627,0.6499899325214797,0.05465000000000002,6e4489b38a64b480,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.005,-0.0,-0.0,0.0,0.0,0.0]","[-0.005,-0.0,-0.0,0.0,0.0,0.0]","[-1.624544608338576e-05,-0.01333047348728563,-0.03028800723144234,0.017995401858641034,1.3966476934160835e-06,9.840075592305147e-06]","[-0.0004064686027429555,-1.0424596140453242e-07,6.154977580708905e-05,6.409187923708779e-06,-0.0010378680886723704,1.411927802915246e-06]",0.03028800723144234,0.05946665003961436,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.269772809213347,3.2526065174565133e-18,8.673617379884035e-19,1.6291258509881998,0.7666982731944002,1.1102230246251565e-16,"[-0.022265510737713247,0.054515805772897365,0.010448558325819689]","[-1.8190462919173968e-05,-0.0022849919929113617,0.0087351338361757]",0.05980717698209429,0.009029068746914705,0.060484894816838865,0.18936498862469248,0.16183757100538212,0.29711219542896844,0.06515094065874408,"[0.04517970943781029,0.0032673500337305587,0.028274104497914822]",3.0594587366443884,3.677683910682719,21.633434768721877,36.766606960110195,0.006586184510182959,0.05334886176261221,2.6513151172049642e-14,2.42861286636753e-16,3.469418083350236e-17,1.3322676295501878e-15,3.469418083350236e-17,1.1102230246251565e-15,9.298117831235686e-16,6.938893903907228e-17,0.0010802655382598225,0.0030610165792687716,7303.130876755916,-0.5297293683221942,0.3282769112908275,0.3282769112908275,-0.5297293683221942,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,1,0.9741175123481091,1948,8,True
P1_tc00_v05mm_approach_5d_a0p8,44aac615988ae7f2,P1,0.0,0.005,approach_5d,0.8,rigid_6dof,P1|tc=0|approach_5d,0.0,-95.5970959322615,FEASIBLE,True,True,True,True,True,0.006559590148781816,19.24490442302627,0.6499899325214797,0.05465000000000002,6e4489b38a64b480,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.005,-0.0,-0.0,0.0,0.0,0.0]","[0.0008967039642963264,-0.029146198817468435,-0.00381193535419015,0.03852015576261147,0.00577802336439172,0.015408062305044587]","[0.3798266112583489,-0.04949687711991312,-0.006610973653724143,-0.03168841096379177,-0.026795930901438027,-0.38518914943781946]","[-0.00011379116917683694,0.00035153381810182273,6.45047795318408e-05,-0.033157674879404415,-0.01697600879839406,-0.01138770373555481]",0.38518914943781946,2.2318129823569843,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.269772809213347,1.5265566588595902e-16,1.3877787807814457e-17,1.6291258509881998,0.7666982731944002,1.1102230246251565e-16,"[-0.012519516473574271,0.010910582021047272,0.000307031390645753]","[-3.6381145555162394e-06,-0.0001141792314596044,0.0017484086445771511]",0.016609435903875223,0.001752136673095548,0.016701597048370726,0.23105460899598168,0.16805332866115244,0.2971121954289684,0.014338033710288285,"[0.04517970943781031,0.003267350033730557,0.02827410449791484]",3.0594587366443893,3.67768391068272,21.63343476872188,36.7666069601102,0.0065913696243427595,0.043652212686163025,2.6513151172049642e-14,2.0816681711721685e-16,6.830473686658678e-18,1.1102230246251565e-16,6.830473686658679e-18,8.881784197001252e-16,1.942890293094024e-16,0.0,7.715585877263176e-05,0.005635549733874201,7303.130876755916,-0.5297293683221946,0.32827691129082737,0.32827691129082737,-0.5297293683221946,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,1,0.23022583802719684,1948,7,True
P1_tc00_v05mm_approach_5d_a1p0,c0810f16deda5094,P1,0.0,0.005,approach_5d,1.0,rigid_6dof,P1|tc=0|approach_5d,0.0,-95.5970959322615,FEASIBLE,True,True,True,True,True,0.006559590148781816,19.24490442302627,0.6499899325214797,0.05465000000000002,6e4489b38a64b480,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.005,-0.0,-0.0,0.0,0.0,0.0]","[0.002370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[0.4747873254344569,-0.05853847802806997,-0.000691715259294591,-0.04410936416939996,-0.03349526278872089,-0.48148889681617235]","[-4.062181078530723e-05,0.0004394433341176293,6.524353046302936e-05,-0.04144869589623644,-0.020960543975824468,-0.014234982651394243]",0.48148889681617235,2.7834036858045588,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.269772809213347,8.326672684688674e-17,6.938893903907228e-18,1.6291258509881998,0.7666982731944002,1.1102230246251565e-16,"[-0.010083017907539528,9.276083084774184e-06,-0.00222835034314773]","[-2.746460177846082e-11,0.0004285239589033346,1.7273466775183882e-06]",0.010326319839191831,0.00042852744028910433,0.010335207650955424,0.24171063584047553,0.16962098609285015,0.29711219542896844,0.004999999999999999,"[0.04517970943781031,0.003267350033730557,0.028274104497914843]",3.0594587366443897,3.67768391068272,21.63343476872188,36.7666069601102,0.006596985564815168,0.04619515195545428,2.6513151172049642e-14,6.245004513516506e-17,8.239936510889834e-18,1.1102230246251565e-16,8.239936510889834e-18,4.440892098500626e-16,1.8388068845354155e-16,0.0,2.5207544768840462e-05,0.006586057686741212,7303.130876755916,-0.5297293683221949,0.32827691129082737,0.32827691129082737,-0.5297293683221949,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,1,0.11914939196325193,1948,6,True
P1_tc00_v10mm_pose_6d_a0p0,cbc204977fb52217,P1,0.0,0.01,pose_6d,0.0,rigid_6dof,P1|tc=0|pose_6d,0.0,1.5293801237166763e-14,FEASIBLE,True,True,True,True,True,0.006559590148938912,27.247243887585434,0.6499899320561242,0.05465000000000002,8159b01064fa4c69,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.01,-0.0,-0.0,0.0,0.0,0.0]","[-0.01,-0.0,-0.0,0.0,0.0,0.0]","[-3.379987597016334e-05,-0.026661847647840915,-0.0605761430562037,0.03599049810781948,2.9708292338897866e-06,2.0904355020161606e-05]","[-0.0008129397983436958,-2.220587108028248e-07,0.00012308804848842772,1.2903158180783242e-05,-0.0020762026445668665,3.001396320440384e-06]",0.0605761430562037,0.11896007050782509,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.27230168027798,1.214306433183765e-17,2.4936649967166602e-18,1.6293558036945828,0.767591137390891,1.3877787807814457e-16,"[-0.03234918717823644,0.05452634805981369,0.008221333126609965]","[-1.9102761709456964e-05,-0.001855774495057624,0.008733466298550785]",0.06393107900083668,0.008928476772660253,0.06455153413894324,0.18729306582773012,0.16215163563282323,0.2971126218327939,0.0662823797722509,"[0.045179669356058404,0.003267347012583443,0.0282740405292661]",3.0594548422803314,3.6776839106820747,21.633434768718086,36.76660696010374,0.006480608065878911,0.05332015649842722,1.3005243177733473e-10,3.122502256758253e-16,4.163511529618022e-17,7.0892181014414746e-12,4.163511529618022e-17,7.0892181014414746e-12,4.530639752253762e-12,1.8883505870093131e-13,0.00121688425395515,0.0030096007995937535,7303.110603391029,-0.5297274211401657,0.3282769112909453,0.3282769112909453,-0.5297274211401657,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,1,1.0,0,4,True
P1_tc00_v10mm_pose_6d_a0p8,45deabc2c876463c,P1,0.0,0.01,pose_6d,0.8,rigid_6dof,P1|tc=0|pose_6d,0.0,1.5293801237166763e-14,FEASIBLE,True,True,True,True,True,0.006559590148938912,27.247243887585434,0.6499899320561242,0.05465000000000002,8159b01064fa4c69,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.01,-0.0,-0.0,0.0,0.0,0.0]","[-0.004103296035703674,-0.029146198817468435,-0.00381193535419015,0.03852015576261147,0.00577802336439172,0.015408062305044587]","[0.37982344191052025,-0.06283436042429193,-0.03689991077798105,-0.013695494587119285,-0.026796660575881866,-0.38519429054826415]","[-0.0005202615746323858,0.0003515603826045748,0.00012599926839408743,-0.0331493605979916,-0.018017471368493052,-0.011388418072453096]",0.38519429054826415,2.258068358148711,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.27230168027798,6.245004513516506e-17,1.6046192152785466e-17,1.6293558036945828,0.767591137390891,1.3877787807814457e-16,"[-0.022602656766881758,0.010920121061637127,-0.001921099126329126]","[-3.817561295038949e-06,0.0003142623276821662,0.001749267496104067]",0.025175777222867603,0.0017772766124890763,0.025238432418293332,0.22902928687051538,0.1683591294573134,0.2971126218330011,0.017184905312165735,"[0.04517966935608963,0.003267347012575283,0.028274040529347497]",3.059454842284286,3.6776839106825308,21.633434768720768,36.766606960108305,0.00646890384017576,0.043993239476875924,1.3005243177733473e-10,2.498001805406602e-16,2.42861286636753e-17,1.4198642261931127e-12,2.42861286636753e-17,1.4201972931005002e-12,9.075795670554498e-13,3.914923940584458e-14,0.00016496534696829046,0.005586294659961882,7303.110603391029,-0.529727421142143,0.3282769112908619,0.3282769112908619,-0.529727421142143,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,2,0.31200856975338664,0,12,True
P1_tc00_v10mm_pose_6d_a1p0,d15dbd8182df5e5a,P1,0.0,0.01,pose_6d,1.0,rigid_6dof,P1|tc=0|pose_6d,0.0,1.5293801237166763e-14,FEASIBLE,True,True,True,True,True,0.006559590148938912,27.247243887585434,0.6499899320561242,0.05465000000000002,8159b01064fa4c69,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.01,-0.0,-0.0,0.0,0.0,0.0]","[-0.002629120044629593,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[0.4747877523571428,-0.07187748861840465,-0.030980852708425387,-0.02611699276085397,-0.033496568427160804,-0.4814980892740852]","[-0.0004470920187045582,0.00043950599293341873,0.00012672707337050223,-0.041439926537034696,-0.022002788549474586,-0.014236272939646475]",0.4814980892740852,2.8092826410539997,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.27230168027798,2.7755575615628914e-17,1.0408340855860843e-17,1.6293558036945828,0.767591137390891,1.3877787807814457e-16,"[-0.020166024164043096,1.856431209297722e-05,-0.0044567071895639365]","[3.7388085655949e-09,0.0008567715333671213,3.21779549238577e-06]",0.020652629716139407,0.0008567775759262481,0.02067039385223645,0.2396964680798303,0.16992475527990578,0.29711262183305276,0.010000000000000004,"[0.04517966935609743,0.0032673470125732422,0.028274040529367845]",3.0594548422852745,3.677683910682644,21.633434768721433,36.766606960109435,0.006470381153074701,0.046606106865616226,1.3005243177733473e-10,1.3877787807814457e-16,9.540979117872439e-18,5.156985949383852e-13,9.540979117872439e-18,5.156985949383852e-13,4.000272335602517e-13,1.762479051592436e-15,0.00010083012082022502,0.006537386444599169,7303.110603391029,-0.5297274211426373,0.32827691129084124,0.32827691129084136,-0.5297274211426373,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,2,0.2382924237715034,0,11,True
P1_tc00_v10mm_approach_5d_a0p0,113b1f2d85195f99,P1,0.0,0.01,approach_5d,0.0,rigid_6dof,P1|tc=0|approach_5d,0.0,-95.5970959322615,FEASIBLE,True,True,True,True,True,0.006559590148781816,19.24490442302627,0.6499899325214797,0.05465000000000002,6e4489b38a64b480,COMPLETE_DYNAMIC_EVALUATED,EVALUATED,"[0.007370879955370407,-0.03643274852183554,-0.004764919192737687,0.04815019470326433,0.00722252920548965,0.019260077881305734]","[-0.01,-0.0,-0.0,0.0,0.0,0.0]","[-0.01,-0.0,-0.0,0.0,0.0,0.0]","[-3.249089216677152e-05,-0.02666094697457126,-0.06057601446288468,0.03599080371728207,2.793295386832167e-06,1.9680151184610293e-05]","[-0.000812937205485911,-2.0849192280906485e-07,0.0001230995516141781,1.2818375847417559e-05,-0.002075736177344741,2.823855605830492e-06]",0.06057601446288468,0.11893330007922873,UNKNOWN_NOT_FROZEN,UNKNOWN_NO_FROZEN_LIMIT,UNKNOWN_NOT_MODELED_IN_TERMINAL_KINEMATICS,28.269772809213347,6.5052130349130266e-18,1.734723475976807e-18,1.6291258509881998,0.7666982731944002,1.1102230246251565e-16,"[-0.03234852864525277,0.05452508185598215,0.008220207982671974]","[-1.81904903837757e-05,-0.0018564680340080293,0.00873686118285322]",0.06392952116348657,0.00893193975481706,0.06455047036216204,0.18729257901809682,0.1621516761713617,0.29711219542896833,0.0662823797722509,"[0.04517970943781029,0.0032673500337305596,0.028274104497914822]",3.0594587366443884,3.677683910682719,21.633434768721877,36.766606960110195,0.0064805905304014194,0.0533202571536105,2.6513151172049642e-14,2.5673907444456745e-16,3.469389214746858e-17,1.2212453270876722e-15,3.469389214746858e-17,1.1102230246251565e-15,9.575673587391975e-16,6.938893903907228e-17,0.0012168006367172385,0.003009594580142466,7303.130876755916,-0.5297293683221942,0.3282769112908275,0.3282769112908275,-0.5297293683221942,False,True,True,PARTIAL_PASS_WHEEL_THRUSTER_JOINT_LIMITS_UNKNOWN,UNKNOWN_NOT_RUN,UNKNOWN,COMPLETE_RIGID_FLEX_UNKNOWN,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,False,1,1.0001817665692554,1948,9,True
