instance_or_member,role,volume_mm3,al_candidate_mass_kg,status
e1_anchor_bolt_G01_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G01_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G01_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G01_1,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G01_1,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G01_1,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G02_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G02_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G02_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G02_1,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G02_1,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G02_1,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G03_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
