pair_id,group,A_part,B_part,hole_diameter_mm,datum,stack_grip_mm,fastener_candidate,material,preload,locking,thread_engagement,load,anti_rotation,verification_level
E1P-G01-0,G01,RB_longeron_1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER),RB_upper_beam_20,3.4,纵梁内腹面 y=+101.150 与 RB_upper_beam_20 端面 y=+101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),TWO_BOLT_POSITIVE,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G01-1,G01,RB_longeron_1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER),RB_upper_beam_20,3.4,纵梁内腹面 y=+101.150 与 RB_upper_beam_20 端面 y=+101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),TWO_BOLT_POSITIVE,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G02-0,G02,RB_longeron_-1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER),RB_upper_beam_20,3.4,纵梁内腹面 y=-101.150 与 RB_upper_beam_20 端面 y=-101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),TWO_BOLT_POSITIVE,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G02-1,G02,RB_longeron_-1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER),RB_upper_beam_20,3.4,纵梁内腹面 y=-101.150 与 RB_upper_beam_20 端面 y=-101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),TWO_BOLT_POSITIVE,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G03-0,G03,RB_longeron_1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER),RB_upper_beam_160,3.4,纵梁内腹面 y=+101.150 与 RB_upper_beam_160 端面 y=+101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),"SINGLE_BOLT_PLUS_REGISTERED_SECONDARY; secondary=既有 M6 夹接@(160,±70)+桥 x=40/146 双栓锚固(同板载荷路径)；滑移与残余转角 UNKNOWN",DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G04-0,G04,RB_longeron_-1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER),RB_upper_beam_160,3.4,纵梁内腹面 y=-101.150 与 RB_upper_beam_160 端面 y=-101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),"SINGLE_BOLT_PLUS_REGISTERED_SECONDARY; secondary=既有 M6 夹接@(160,±70)+桥 x=40/146 双栓锚固(同板载荷路径)；滑移与残余转角 UNKNOWN",DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G05-0,G05,RB_longeron_1_-1 (pn WP01-RB-LONGERON-R2_WP03_LOWER),RB_lower_beam_20,3.4,纵梁内腹面 y=+101.150 与 RB_lower_beam_20 端面 y=+101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),TWO_BOLT_POSITIVE,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G05-1,G05,RB_longeron_1_-1 (pn WP01-RB-LONGERON-R2_WP03_LOWER),RB_lower_beam_20,3.4,纵梁内腹面 y=+101.150 与 RB_lower_beam_20 端面 y=+101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),TWO_BOLT_POSITIVE,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G06-0,G06,RB_longeron_-1_-1 (pn WP01-RB-LONGERON-R2_WP03_LOWER),RB_lower_beam_20,3.4,纵梁内腹面 y=-101.150 与 RB_lower_beam_20 端面 y=-101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),TWO_BOLT_POSITIVE,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
E1P-G06-1,G06,RB_longeron_-1_-1 (pn WP01-RB-LONGERON-R2_WP03_LOWER),RB_lower_beam_20,3.4,纵梁内腹面 y=-101.150 与 RB_lower_beam_20 端面 y=-101.150 贴合为装配基准,12,M3_UNSELECTED threadless envelope; underhead 22 candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (nominal 8 mm candidate),UNKNOWN (design loads pending; 本登记不代表承载通过),TWO_BOLT_POSITIVE,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度 NOT_RUN
