asset,role,urdf_link,path,triangles,deflection_mm,frame,posed_by,authoritative,authority_note
B51_REF_base_link_LINKLOCAL,ARM_LINK_COLLISION,base_link,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_base_link_LINKLOCAL.stl,265028,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link1_LINKLOCAL,ARM_LINK_COLLISION,link1,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link1_LINKLOCAL.stl,81368,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link2_LINKLOCAL,ARM_LINK_COLLISION,link2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link2_LINKLOCAL.stl,419132,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link3_LINKLOCAL,ARM_LINK_COLLISION,link3,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link3_LINKLOCAL.stl,331392,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link4_LINKLOCAL,ARM_LINK_COLLISION,link4,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link4_LINKLOCAL.stl,201592,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link5_LINKLOCAL,ARM_LINK_COLLISION,link5,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link5_LINKLOCAL.stl,176832,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link6_LINKLOCAL,ARM_LINK_COLLISION,link6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link6_LINKLOCAL.stl,216564,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_gripper_detail_LINKLOCAL,ARM_LINK_COLLISION,gripper_link,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_gripper_detail_LINKLOCAL.stl,149156,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
Adapter_Plate,ARM_MOUNT_INTERFACE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Adapter_Plate.stl,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Aft_Saddle,SADDLE_PLACEHOLDER,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Aft_Saddle.stl,28,0.5,spacecraft_assembly_frame,static,False,"placeholder block, not a real support"
