item,path,sha256_short,frame_role,owning_authority,current_consumer,notes
odr01_t_sm_dynamics_frame,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml",F5B1572C0CFC,DYNAMICS,"ODR-01 owner ruling (2026-08-22; supersedes M_DYNAMICS_VS_PHYSICAL_ARM_BASE_FRAME_ALIAS_RECONCILIATION_HOLD)","wp10 MECH_DYNAMICS_INTERFACE_V5_R2; sim_05 b601_model.py; sim_11 lineage; e21 ODR01 lane; wp7 FEA1 decks","T_SM=[185.25,0,0]mm + Ry(+90deg); 198.0/208.0/210.405mm ruled a geometric feature stack, must not become a second dynamics frame"
t_sm_original_numeric_freeze,"20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/coordinate_frame_definition_v0.md",6AFCB4FB6F1C,DYNAMICS,"decision D-2 nominal_frozen_v1 (2026-07-10)","all Stage-2 dynamics via frame_tree_v1.yaml","sec3.1: t_SM=[185.25,0,0]mm, R_SM=Ry(+90deg), columns=M axes in S (+Z_M=+X_S,+Y_M=+Y_S,+X_M=-Z_S); design nominal NOT measured; p_S=R_SM*p_M+t_SM convention"
m_frame_geometry_ssot,"20_engineering/config/geometry/frame_tree_v1.yaml",958BFF23BF83,DYNAMICS,"geometry SSOT v1 (D-1/D-2 adopted)","M4 frame tree rank-1 precedence source; scene_manifest_v1; frame_registry_v1.csv","frame M: translation_mm [185.25,0,0], rotation Ry +90deg, quat_wxyz [0.70710678,0,0.70710678,0]; status nominal_frozen_v1"
wp11_physical_mount_context,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp11_cad_urdf_registration/B601_CAD_URDF_GEOMETRY_CALIBRATION_V1.yaml",7463C1309C35,PHYSICAL,"WP11 (ODR-09/ODR-10 option O2-A); mount T_S_B601_ARM_BASE","e21 WP11 lane; D_i per-link calibration consumers","frame_context.mount_rows: x=208.0mm + 25deg clocking at full precision sin/cos 0.422618483193/0.906307683772 (=25.000014deg); dynamics_M_frame_is_separate note explicitly preserves ODR-01 T_SM as single dynamics mounting reference"
f3r2_arm_initial_pose_mount,"20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/04_configurations/F3R2_ARM_INITIAL_POSE.yaml",D6E33CB5993B,PHYSICAL,"F3R2 terminal closure (pose SSOT, frozen 2026-08-07)","B601_NAMED_POSE_REVALIDATION_V1 base_transform_source -> M6 transform candidates -> WP2 V2/V3_R2 arm rows C01..C06","mount.transform_mm_rows: 208.0mm + clock spelled 0.422618/0.906308 (=24.999981252deg, 6dp rounded); CONFLICT_CANDIDATE vs full-precision 25.000014deg (WP11-F-03 duplicate spelling, sub-arcsec; ~1.1e-4mm on arm CG at C01)"
m4_tree_m_dynamics,"20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/01_system_architecture/DIGITAL_PROTOTYPE_FRAME_TREE_V1.yaml",67293323A452,DYNAMICS,"M4 digital prototype release (status FROZEN_V1)","M6 transform candidates frame precedence; prototype consumers","M_DYNAMICS rows [0,0,1,185.25; 0,1,0,0; -1,0,0,0]; role accepted_dynamics_origin_no_physical_entity; consumer rule: never substitute M_DYNAMICS for B601_ARM_BASE_PHYSICAL"
m4_tree_arm_base_physical,"20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/01_system_architecture/DIGITAL_PROTOTYPE_FRAME_TREE_V1.yaml",67293323A452,PHYSICAL,"M4 (status FROZEN_F3R2_MAPPING)","prototype consumers; e21 hypothesis WP11_PHYSICAL_GEOMETRY_CONTEXT identical matrix","B601_ARM_BASE_PHYSICAL rows [0,0,1,208.0; 0.422618483193,0.906307683772,0,0; -0.906307683772,0.422618483193,0,0]; clocking_about_positive_X_S_deg 25.000014; semantic ruling: consumer-side aliasing remains HOLD"
m4_tree_m3r_local,"20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/01_system_architecture/DIGITAL_PROTOTYPE_FRAME_TREE_V1.yaml",67293323A452,GEOMETRY,"M4 + M3R as-built pattern applied","M3R adapter design; WP4 fastener design","M3R_LOCAL: x=208.0mm + yz offsets (0.015994151,-0.086366070)mm + 25.000014deg clocking; local +z toward B601; distinct from B601_ARM_BASE_PHYSICAL by the measured yz pattern-center offsets"
m4_tree_fastener_end_plane,"20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/01_system_architecture/DIGITAL_PROTOTYPE_FRAME_TREE_V1.yaml",67293323A452,GEOMETRY,"M4/M3R measured competition datum (NOT OEM)","WP4 fastener design; M3R adapter closure","B601_FASTENER_END_PLANE origin_S_mm [210.405,0.015994151,-0.086366070], orientation same as M3R_LOCAL; four screw end faces, not a continuous flange"
m3r_physical_station_stack,"20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_PHYSICAL_STACK.yaml",172F3603E458,GEOMETRY,"M3R_INTERFACE_AUTHORITY_GATE (AS_BUILT_MEASURED_COMPETITION_INTERFACE)","WP2 M3R member placement; WP4; WP11 mount context","stations: 185.25(M_FRAME_DYNAMICS_ORIGIN, immutable) / 198.0(adapter plate outer face) / 208.0(central boss physical installation face) / 210.405(as-built fastener end plane); offsets 12.75/10.0/22.75/2.405/25.155mm; ruling: one rigid stack, different semantics, not competing values for one plane"
