interface_id,assembly,feature_type,feature_description,frame,unit,x_mm,y_mm,z_reference_mm,axis_direction,z_min_mm,z_max_mm,hole_or_bore_d_mm,outer_d_mm,nominal_rod_d_mm,bbox_min_xyz_mm,bbox_max_xyz_mm,bbox_size_xyz_mm,source_json,source_pointer,source_sha256,derivation,nominal_scope,material,torque_nm,thread_effective_engagement_mm,tolerance,locking_method,open_issue
MIPS_CRADLE_B_BOUNDS,MIPS,BOUNDING_BOX,推进外部非承压载架,S_WORLD_MM,mm,,,,,,,,,,"[136.0, -57.0, -98.15]","[170.0, 57.0, -2.1500000000000057]","[34.0, 114.0, 96.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/MIPS_CRADLE_B/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,厂家侧向螺纹有效啮合深度/材料/扭矩/防松未知
MIPS_OEM_MAX_ENVELOPE_BOUNDS,MIPS,BOUNDING_BOX,旧MiPS最大包络参考体,S_WORLD_MM,mm,,,,,,,,,,"[140.0, -44.5008, -94.15]","[170.0, 44.5008, -5.148400000000009]","[30.0, 89.0016, 89.0016]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/MIPS_OEM_MAX_ENVELOPE/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,非压力容器或推进整机详细实体；非实际选型
P60_TRAY_B_BOUNDS,EPS,BOUNDING_BOX,抬高托盘名义外形,S_WORLD_MM,mm,,,,,,,,,,"[-158.0, -13.0, 53.0]","[-44.0, 98.0, 55.0]","[114.0, 111.0, 2.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/P60_TRAY_B/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,只有宿主连接；无真实PCB固定孔
P60_REFERENCE_B_BOUNDS,EPS,BOUNDING_BOX,P60参考占舱盒,S_WORLD_MM,mm,,,,,,,,,,"[-151.0, -2.0, 57.5]","[-55.0, 94.0, 86.5]","[96.0, 96.0, 29.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/P60_REFERENCE_B/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,与托盘上表面存在名义间隔；非板卡装配
CLAMP_PWR_BASE_BOUNDS,PWR_CLAMP,BOUNDING_BOX,电源分体线夹下半,S_WORLD_MM,mm,,,,,,,,,,"[-46.0, 55.0, 38.0]","[-34.0, 83.0, 45.0]","[12.0, 28.0, 7.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/CLAMP_PWR_BASE/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,材料/衬垫/夹紧力待定
CLAMP_PWR_LID_BOUNDS,PWR_CLAMP,BOUNDING_BOX,电源分体线夹上半,S_WORLD_MM,mm,,,,,,,,,,"[-46.0, 55.0, 45.0]","[-34.0, 83.0, 52.0]","[12.0, 28.0, 7.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/CLAMP_PWR_LID/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,材料/衬垫/夹紧力待定
CLAMP_DUAL_BASE_BOUNDS,DUAL_CLAMP,BOUNDING_BOX,双通道分体线夹下半,S_WORLD_MM,mm,,,,,,,,,,"[94.0, 42.0, 38.0]","[106.0, 83.0, 45.0]","[12.0, 41.0, 7.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/CLAMP_DUAL_BASE/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,材料/衬垫/夹紧力待定
CLAMP_DUAL_LID_BOUNDS,DUAL_CLAMP,BOUNDING_BOX,双通道分体线夹上半,S_WORLD_MM,mm,,,,,,,,,,"[94.0, 42.0, 45.0]","[106.0, 83.0, 52.0]","[12.0, 41.0, 7.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/CLAMP_DUAL_LID/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,材料/衬垫/夹紧力待定
MIPS_FOOT_AXIS_0,MIPS,HOST_ATTACHMENT_AXIS,推进载架四点宿主连接名义轴,S_WORLD_MM,mm,141,-53,-98.15,S+Z,-101.15,-98.15,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/mips_floor_holes_xy/0,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,Z区间取EMISSION_V6 lower_equipment_deck_B边界；轴XY取合同,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,孔径未作为该合同显式字段；不由M3名义直径或包络体积反推；扭矩/预紧/防松待定
MIPS_FOOT_AXIS_1,MIPS,HOST_ATTACHMENT_AXIS,推进载架四点宿主连接名义轴,S_WORLD_MM,mm,141,53,-98.15,S+Z,-101.15,-98.15,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/mips_floor_holes_xy/1,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,Z区间取EMISSION_V6 lower_equipment_deck_B边界；轴XY取合同,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,孔径未作为该合同显式字段；不由M3名义直径或包络体积反推；扭矩/预紧/防松待定
MIPS_FOOT_AXIS_2,MIPS,HOST_ATTACHMENT_AXIS,推进载架四点宿主连接名义轴,S_WORLD_MM,mm,149,-53,-98.15,S+Z,-101.15,-98.15,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/mips_floor_holes_xy/2,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,Z区间取EMISSION_V6 lower_equipment_deck_B边界；轴XY取合同,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,孔径未作为该合同显式字段；不由M3名义直径或包络体积反推；扭矩/预紧/防松待定
MIPS_FOOT_AXIS_3,MIPS,HOST_ATTACHMENT_AXIS,推进载架四点宿主连接名义轴,S_WORLD_MM,mm,149,53,-98.15,S+Z,-101.15,-98.15,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/mips_floor_holes_xy/3,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,Z区间取EMISSION_V6 lower_equipment_deck_B边界；轴XY取合同,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,孔径未作为该合同显式字段；不由M3名义直径或包络体积反推；扭矩/预紧/防松待定
EPS_TRAY_AXIS_0,EPS,HOST_ATTACHMENT_AXIS,托盘/上甲板连接名义轴,S_WORLD_MM,mm,-154,-8,53,S+Z,53,55,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/eps_mount_xy/0,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,不是PCB固定孔；托盘通孔直径未在本合同显式字段给出
EPS_POST_0,EPS,TUBULAR_SUPPORT,抬高支柱名义外径/内径/标高,S_WORLD_MM,mm,-154,-8,,S+Z,-8.5,53,3.4,8,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/eps_support,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,XY来自eps_mount_xy同序项；Z/OD/ID来自eps_support,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,材料/端面公差/预紧力待定
EPS_ROD_0,EPS,SMOOTH_ROD_PROXY,M3名义自定义拉杆光杆代理,S_WORLD_MM,mm,-154,-8,,S+Z,-17.5,61.5,,,3.0,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/P60_HOST_0_ROD/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,Z范围与横向尺寸由杆体bbox读取；不代表螺纹几何,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,M3 nominal smooth custom tie-rod; thread class/material/locking not released
EPS_TRAY_AXIS_1,EPS,HOST_ATTACHMENT_AXIS,托盘/上甲板连接名义轴,S_WORLD_MM,mm,-49,-8,53,S+Z,53,55,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/eps_mount_xy/1,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,不是PCB固定孔；托盘通孔直径未在本合同显式字段给出
