Endpoint,Net
C101.1,/Actual watchdog and contactor driver/CWD
C101.2,WP10_ARM_RETURN
C102.1,/Actual watchdog and contactor driver/RESET_RC
C102.2,WP10_ARM_RETURN
C103.1,/Actual watchdog and contactor driver/START_RC
C103.2,WP10_ARM_RETURN
C110.1,WP10_BRAKE_STOP_3V3
C110.2,WP10_ARM_RETURN
C111.1,/Actual watchdog and contactor driver/STOP_5V
C111.2,WP10_ARM_RETURN
C112.1,WP10_BRAKE_STOP_3V3
C112.2,WP10_ARM_RETURN
C113.1,WP10_BRAKE_STOP_3V3
C113.2,WP10_ARM_RETURN
C114.1,WP10_BRAKE_STOP_3V3
C114.2,WP10_ARM_RETURN
C115.1,WP10_BRAKE_STOP_3V3
C115.2,WP10_ARM_RETURN
C116.1,WP10_BRAKE_STOP_3V3
C116.2,WP10_ARM_RETURN
C117.1,WP10_BRAKE_STOP_3V3
C117.2,WP10_ARM_RETURN
C118.1,WP10_BRAKE_STOP_3V3
C118.2,WP10_ARM_RETURN
C119.1,WP10_BRAKE_STOP_3V3
C119.2,WP10_ARM_RETURN
C120.1,WP10_BRAKE_STOP_3V3
C120.2,WP10_ARM_RETURN
C121.1,/Actual watchdog and contactor driver/STOP_5V
C121.2,WP10_ARM_RETURN
C122.1,/Actual watchdog and contactor driver/STOP_5V
C122.2,WP10_ARM_RETURN
C123.1,WP10_BRAKE_STOP_3V3
C123.2,WP10_ARM_RETURN
C124.1,WP10_BRAKE_STOP_3V3
C124.2,WP10_ARM_RETURN
C125.1,WP10_BRAKE_STOP_3V3
C125.2,WP10_ARM_RETURN
C126.1,WP10_BRAKE_STOP_3V3
C126.2,WP10_ARM_RETURN
C127.1,WP10_BRAKE_STOP_3V3
C127.2,WP10_ARM_RETURN
C128.1,WP10_BRAKE_STOP_3V3
C128.2,WP10_ARM_RETURN
C129.1,/Actual watchdog and contactor driver/STOP_5V
C129.2,WP10_ARM_RETURN
C201.1,WP10_HS_TIMER
C201.2,WP10_INPUT_RETURN
C202.1,WP10_MAIN_FUSED
C202.2,WP10_INPUT_RETURN
C203.1,WP10_PRECHARGED_PLUS
C203.2,WP10_INPUT_RETURN
C204.1,WP10_CHB_LOCAL_PLUS
C204.2,WP10_ARM_RETURN
C205.1,WP10_CHB_LOCAL_PLUS
C205.2,WP10_ARM_RETURN
C206.1,WP10_RB_COMMON_DRAIN
C206.2,WP10_ARM_RETURN
C207.1,WP10_RB_CAP
C207.2,WP10_RB_COMMON_DRAIN
C208.1,WP10_CHB_LOCAL_PLUS
C208.2,WP10_ARM_RETURN
C209.1,WP10_STOP_24V
C209.2,WP10_ARM_RETURN
C210.1,WP10_STOP_24V
C210.2,WP10_ARM_RETURN
C211.1,WP10_PRECHARGED_PLUS
C211.2,WP10_INPUT_RETURN
C212.1,WP10_STARTUP_BIAS
C212.2,WP10_INPUT_RETURN
C213.1,WP10_STARTUP_BIAS
C213.2,WP10_INPUT_RETURN
C214.1,WP10_AUX_FUSED
C214.2,WP10_INPUT_RETURN
C215.1,WP10_AUX_LIMITED
C215.2,WP10_INPUT_RETURN
C216.1,WP10_AUX_DVDT
C216.2,WP10_AUX_PROTECT_RTN
C217.1,WP10_AUX_SEQ_VDD
C217.2,WP10_INPUT_RETURN
C218.1,WP10_AUX_CTR
C218.2,WP10_INPUT_RETURN
C219.1,WP10_AUX_LIMITED
C219.2,WP10_INPUT_RETURN
C220.1,WP10_AUX_REMOTE_BIAS
C220.2,WP10_INPUT_RETURN
C301.1,WP10_ARM_BUS_PLUS
C301.2,WP10_ARM_RETURN
C302.1,WP10_BRAKE_12V
C302.2,WP10_ARM_RETURN
C303.1,WP10_BRAKE_BIAS_CT
C303.2,WP10_ARM_RETURN
C304.1,WP10_BRAKE_12V
C304.2,WP10_ARM_RETURN
C305.1,WP10_BRAKE_12V
C305.2,WP10_ARM_RETURN
C306.1,WP10_BRAKE_OV_DIV
C306.2,WP10_ARM_RETURN
C307.1,WP10_BRAKE_READY_DELAY
C307.2,WP10_ARM_RETURN
C308.1,WP10_BRAKE_12V
C308.2,WP10_ARM_RETURN
C311.1,WP10_BRAKE_STOP_3V3
C311.2,WP10_ARM_RETURN
C312.1,WP10_BRAKE_STOP_3V3
C312.2,WP10_ARM_RETURN
C313.1,WP10_BRAKE_STOP_3V3
C313.2,WP10_ARM_RETURN
D201.1,WP10_INPUT_RETURN
D201.2,WP10_MAIN_FUSED
D202.1,WP10_INPUT_RETURN
D202.2,WP10_PRECHARGED_PLUS
D207.1,WP10_INPUT_RETURN
D207.2,WP10_AUX_FUSED
D208.1,WP10_AUX_LIMITED
D208.2,WP10_INPUT_RETURN
D209.1,WP10_AUX_SEQ_VDD
D209.2,WP10_AUX_LIMITED
D210.1,WP10_AUX_SEQ_VDD
D210.2,WP10_AUX_REMOTE_BIAS
D311.1,WP10_BRAKE_BRANCH_1
D311.2,WP10_ARM_BUS_PLUS
D311.3,WP10_BRAKE_BRANCH_1
D312.1,WP10_BRAKE_BRANCH_2
D312.2,WP10_ARM_BUS_PLUS
D312.3,WP10_BRAKE_BRANCH_2
D313.1,WP10_BRAKE_BRANCH_3
D313.2,WP10_ARM_BUS_PLUS
D313.3,WP10_BRAKE_BRANCH_3
F201.1,WP10_BAT_PROTECTED_PLUS
F201.2,WP10_MAIN_FUSED
F202.1,WP10_BAT_PROTECTED_PLUS
F202.2,WP10_AUX_FUSED
J101.1,WP10_BRAKE_STOP_3V3
J101.2,/Actual watchdog and contactor driver/STOP_5V
J101.3,WP10_STOP_24V
J101.4,WP10_ARM_RETURN
J102.1,/Actual watchdog and contactor driver/HEARTBEAT_IN
J102.2,/Actual watchdog and contactor driver/HW_PERMIT_IN
J102.3,WP10_ARM_RETURN
J102.4,/Actual watchdog and contactor driver/RUN_STATUS_MCU
J102.5,/Actual watchdog and contactor driver/SAFE_STATUS_MCU
J102.6,/Actual watchdog and contactor driver/AUX_STATUS_MCU
J102.7,/Actual watchdog and contactor driver/BUS_MONITOR_OK
J102.8,/Actual watchdog and contactor driver/MCU_VIO
J103.1,WP10_BRAKE_STOP_3V3
J103.2,/Actual watchdog and contactor driver/RESET_CONTACT
J103.3,WP10_BRAKE_STOP_3V3
J103.4,/Actual watchdog and contactor driver/START_CONTACT
J103.5,/Actual watchdog and contactor driver/PERMIT_BEFORE_STOP
J103.6,/Actual watchdog and contactor driver/EN_STOP
J104.1,WP10_STOP_24V
J104.2,WP10_LEGACY_080
J105.1,WP10_STOP_24V
J105.2,WP10_LEGACY_079
J200.1,WP10_BAT_PROTECTED_PLUS
J200.2,WP10_INPUT_RETURN
J201.1,WP10_CHB_ENABLE
J201.2,WP10_INPUT_RETURN
J202.1,WP10_HS_UVLO
J202.2,WP10_INPUT_RETURN
J203.1,WP10_ARM_BUS_PLUS
J203.2,WP10_ARM_RETURN
J204.1,WP10_BAT_PROTECTED_PLUS
J205.1,WP10_INPUT_RETURN
J206.1,WP10_PRECHARGED_PLUS
J207.1,WP10_INPUT_RETURN
J208.1,WP10_AUX_FUSED
J208.2,WP10_INPUT_RETURN
J209.1,WP10_AUX_LIMITED
J209.2,WP10_INPUT_RETURN
J210.1,WP10_AUX_RESET
J210.2,WP10_AUX_PROTECT_RTN
J211.1,WP10_THN_REMOTE
J211.2,WP10_INPUT_RETURN
Q101.1,/Actual watchdog and contactor driver/K1_GATE
Q101.2,WP10_LEGACY_080
Q101.3,WP10_ARM_RETURN
Q201.1,WP10_MAIN_GATE
Q201.2,WP10_MAIN_SENSE
Q201.3,WP10_PRECHARGED_PLUS
Q202.1,WP10_RB_DGATE
Q202.2,WP10_RB_COMMON_DRAIN
Q202.3,WP10_CHB_LOCAL_PLUS
Q203.1,WP10_RB_HGATE
Q203.2,WP10_RB_COMMON_DRAIN
Q203.3,WP10_RB_OUTPUT_PLUS
Q204.1,WP10_CHB_ENABLE_GATE
Q204.2,WP10_INPUT_RETURN
Q204.3,WP10_CHB_ENABLE
Q301.1,WP10_BRAKE_GATE_1
Q301.2,WP10_BRAKE_BRANCH_1
Q301.3,WP10_ARM_RETURN
Q302.1,WP10_BRAKE_GATE_2
Q302.2,WP10_BRAKE_BRANCH_2
Q302.3,WP10_ARM_RETURN
