pair_id,object_a,object_b,in_required_universe,exclusion_rule,relative_motion_class
A::base_link||A::gripper_left,A::base_link,A::gripper_left,true,,RELATIVE_MOVING
A::base_link||A::gripper_link,A::base_link,A::gripper_link,true,,RELATIVE_MOVING
A::base_link||A::gripper_right,A::base_link,A::gripper_right,true,,RELATIVE_MOVING
A::base_link||A::link1,A::base_link,A::link1,false,ADJACENT_JOINT,RELATIVE_MOVING
A::base_link||A::link2,A::base_link,A::link2,true,,RELATIVE_MOVING
A::base_link||A::link3,A::base_link,A::link3,true,,RELATIVE_MOVING
A::base_link||A::link4,A::base_link,A::link4,true,,RELATIVE_MOVING
A::base_link||A::link5,A::base_link,A::link5,true,,RELATIVE_MOVING
A::base_link||A::link6,A::base_link,A::link6,true,,RELATIVE_MOVING
A::base_link||C::SEG-00_BUS_FEEDTHROUGH_AND_RISER,A::base_link,C::SEG-00_BUS_FEEDTHROUGH_AND_RISER,true,,RELATIVE_MOVING
A::base_link||C::SEG-01_J1_ANNULAR_SERVICE_LOOP,A::base_link,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,true,,RELATIVE_MOVING
A::base_link||C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,A::base_link,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,true,,RELATIVE_MOVING
A::base_link||C::SEG-03_J3_CARRIER_HYBRID_WRAP,A::base_link,C::SEG-03_J3_CARRIER_HYBRID_WRAP,true,,RELATIVE_MOVING
A::base_link||C::SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER,A::base_link,C::SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER,true,,RELATIVE_MOVING
A::base_link||C::SEG-05_J5_WRIST_WRAP,A::base_link,C::SEG-05_J5_WRIST_WRAP,true,,RELATIVE_MOVING
A::base_link||C::SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN,A::base_link,C::SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN,true,,RELATIVE_MOVING
A::base_link||C::SEG-07A_WRIST_TAIL_DATA,A::base_link,C::SEG-07A_WRIST_TAIL_DATA,true,,RELATIVE_MOVING
A::base_link||C::SEG-07B_WRIST_TAIL_POWER,A::base_link,C::SEG-07B_WRIST_TAIL_POWER,true,,RELATIVE_MOVING
A::base_link||F::BUS,A::base_link,F::BUS,true,,RELATIVE_STATIC
A::base_link||F::LOAD_BRIDGE,A::base_link,F::LOAD_BRIDGE,true,,RELATIVE_STATIC
A::base_link||F::M3R_STAGE_A,A::base_link,F::M3R_STAGE_A,true,,RELATIVE_STATIC
A::base_link||F::M3R_STAGE_B,A::base_link,F::M3R_STAGE_B,true,,RELATIVE_STATIC
A::base_link||R::RC-BRK-BASE-COLLAR,A::base_link,R::RC-BRK-BASE-COLLAR,true,,RELATIVE_STATIC
A::base_link||R::RC-BRK-BUS-FLANGE,A::base_link,R::RC-BRK-BUS-FLANGE,true,,RELATIVE_STATIC
A::base_link||R::RC-BRK-J1-RISER,A::base_link,R::RC-BRK-J1-RISER,true,,RELATIVE_STATIC
A::base_link||R::RC-BRK-J4-ANN-MAIN-SPINE,A::base_link,R::RC-BRK-J4-ANN-MAIN-SPINE,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-ROOT-NECK,A::base_link,R::RC-BRK-J4-ANN-ROOT-NECK,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SPINE-HUB,A::base_link,R::RC-BRK-J4-ANN-SPINE-HUB,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-LOWER-ARM,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-LOWER-ARM,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-LOWER-POST,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-LOWER-POST,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-LOWER-SADDLE,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-LOWER-SADDLE,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-MID-ARM,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-MID-ARM,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-MID-POST,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-MID-POST,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-MID-SADDLE,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-MID-SADDLE,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-UPPER-ARM,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-UPPER-ARM,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-UPPER-POST,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-UPPER-POST,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-ANN-SUPPORT-UPPER-SADDLE,A::base_link,R::RC-BRK-J4-ANN-SUPPORT-UPPER-SADDLE,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-RAIL-PAD-1,A::base_link,R::RC-BRK-J4-RAIL-PAD-1,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-RAIL-PAD-2,A::base_link,R::RC-BRK-J4-RAIL-PAD-2,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-RAIL-PAD-3,A::base_link,R::RC-BRK-J4-RAIL-PAD-3,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J4-RAIL-SPINE,A::base_link,R::RC-BRK-J4-RAIL-SPINE,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J6-GUIDE-A,A::base_link,R::RC-BRK-J6-GUIDE-A,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-J6-GUIDE-B,A::base_link,R::RC-BRK-J6-GUIDE-B,true,,RELATIVE_MOVING
A::base_link||R::RC-BRK-L1-01,A::base_link,R::RC-BRK-L1-01,true,,RELATIVE_MOVING
A::base_link||R::RC-CAR-J3-CARRIAGE,A::base_link,R::RC-CAR-J3-CARRIAGE,true,,RELATIVE_MOVING
