pair_id,sub_stack,layer,interval_S_mm,od_or_thickness,bearing_face_or_note
E3P-J01-0,out(+y 星外),head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E3P-J01-0,out(+y 星外),washer,"[113.15, 113.65]",6,纵梁外腹面 y=113.15（承压环 OD6）
E3P-J01-0,out(+y 星外),outer_wall,"[111.15, 113.15]",2,纵梁管外壁（Ø3.4 本 run 新增孔）
E3P-J01-0,out(+y 星外),inner_wall,"[101.15, 103.15]",2,纵梁管内壁（Ø3.4 本 run 新增孔）
E3P-J01-0,out(+y 星外),beam_engagement,"[96.15, 101.15]",,横梁端面盲孔内承压；v2 贯入 8→5 SHORT_ENGAGEMENT_REGISTERED
E3P-J01-1,out(+y 星外),head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E3P-J01-1,out(+y 星外),washer,"[113.15, 113.65]",6,纵梁外腹面 y=113.15（承压环 OD6）
E3P-J01-1,out(+y 星外),outer_wall,"[111.15, 113.15]",2,纵梁管外壁（Ø3.4 本 run 新增孔）
E3P-J01-1,out(+y 星外),inner_wall,"[101.15, 103.15]",2,纵梁管内壁（Ø3.4 本 run 新增孔）
E3P-J01-1,out(+y 星外),beam_engagement,"[96.15, 101.15]",,横梁端面盲孔内承压；v2 贯入 8→5 SHORT_ENGAGEMENT_REGISTERED
E3P-J02-0,out(-y 星外),head,"[-116.65, -113.65]",5.5,头下面 → 垫圈
E3P-J02-0,out(-y 星外),washer,"[-113.65, -113.15]",6,纵梁外腹面 y=-113.15（承压环 OD6）
E3P-J02-0,out(-y 星外),outer_wall,"[-113.15, -111.15]",2,纵梁管外壁（Ø3.4 本 run 新增孔）
E3P-J02-0,out(-y 星外),inner_wall,"[-103.15, -101.15]",2,纵梁管内壁（Ø3.4 本 run 新增孔）
E3P-J02-0,out(-y 星外),beam_engagement,"[-101.15, -96.15]",,横梁端面盲孔内承压；v2 贯入 8→5 SHORT_ENGAGEMENT_REGISTERED
E3P-J02-1,out(-y 星外),head,"[-116.65, -113.65]",5.5,头下面 → 垫圈
E3P-J02-1,out(-y 星外),washer,"[-113.65, -113.15]",6,纵梁外腹面 y=-113.15（承压环 OD6）
E3P-J02-1,out(-y 星外),outer_wall,"[-113.15, -111.15]",2,纵梁管外壁（Ø3.4 本 run 新增孔）
E3P-J02-1,out(-y 星外),inner_wall,"[-103.15, -101.15]",2,纵梁管内壁（Ø3.4 本 run 新增孔）
E3P-J02-1,out(-y 星外),beam_engagement,"[-101.15, -96.15]",,横梁端面盲孔内承压；v2 贯入 8→5 SHORT_ENGAGEMENT_REGISTERED
E3P-J03-0,out(+y 星外),head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E3P-J03-0,out(+y 星外),washer,"[113.15, 113.65]",6,纵梁外腹面 y=113.15（承压环 OD6）
E3P-J03-0,out(+y 星外),outer_wall,"[111.15, 113.15]",2,纵梁管外壁（Ø3.4 本 run 新增孔）
E3P-J03-0,out(+y 星外),inner_wall,"[101.15, 103.15]",2,纵梁管内壁（Ø3.4 本 run 新增孔）
E3P-J03-0,out(+y 星外),beam_engagement,"[96.15, 101.15]",,横梁端面盲孔内承压；v2 贯入 8→5 SHORT_ENGAGEMENT_REGISTERED
E3P-J03-1,out(+y 星外),head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E3P-J03-1,out(+y 星外),washer,"[113.15, 113.65]",6,纵梁外腹面 y=113.15（承压环 OD6）
E3P-J03-1,out(+y 星外),outer_wall,"[111.15, 113.15]",2,纵梁管外壁（Ø3.4 本 run 新增孔）
E3P-J03-1,out(+y 星外),inner_wall,"[101.15, 103.15]",2,纵梁管内壁（Ø3.4 本 run 新增孔）
E3P-J03-1,out(+y 星外),beam_engagement,"[96.15, 101.15]",,横梁端面盲孔内承压；v2 贯入 8→5 SHORT_ENGAGEMENT_REGISTERED
E3P-J04-0,out(-y 星外),head,"[-116.65, -113.65]",5.5,头下面 → 垫圈
E3P-J04-0,out(-y 星外),washer,"[-113.65, -113.15]",6,纵梁外腹面 y=-113.15（承压环 OD6）
E3P-J04-0,out(-y 星外),outer_wall,"[-113.15, -111.15]",2,纵梁管外壁（Ø3.4 本 run 新增孔）
E3P-J04-0,out(-y 星外),inner_wall,"[-103.15, -101.15]",2,纵梁管内壁（Ø3.4 本 run 新增孔）
E3P-J04-0,out(-y 星外),beam_engagement,"[-101.15, -96.15]",,横梁端面盲孔内承压；v2 贯入 8→5 SHORT_ENGAGEMENT_REGISTERED
E3P-J04-1,out(-y 星外),head,"[-116.65, -113.65]",5.5,头下面 → 垫圈
E3P-J04-1,out(-y 星外),washer,"[-113.65, -113.15]",6,纵梁外腹面 y=-113.15（承压环 OD6）
E3P-J04-1,out(-y 星外),outer_wall,"[-113.15, -111.15]",2,纵梁管外壁（Ø3.4 本 run 新增孔）
E3P-J04-1,out(-y 星外),inner_wall,"[-103.15, -101.15]",2,纵梁管内壁（Ø3.4 本 run 新增孔）
E3P-J04-1,out(-y 星外),beam_engagement,"[-101.15, -96.15]",,横梁端面盲孔内承压；v2 贯入 8→5 SHORT_ENGAGEMENT_REGISTERED
E3P-C01-0,"bay(-z 舱内,自下而上)",head,"[91.15, 95.15]",7,头上面 → 垫圈
E3P-C01-0,"bay(-z 舱内,自下而上)",washer,"[95.15, 96.15]",9,横梁底面 z=96.15（承压环 OD9）
E3P-C01-0,"bay(-z 舱内,自下而上)",crossbeam,"[96.15, 106.15]",10,保持横梁（Ø4.5 本 run 新增竖孔）
E3P-C01-0,"bay(-z 舱内,自下而上)",roof_lug,"[106.15, 118.15]",12,屋顶耳座（Ø4.5 本 run 新增竖孔；孔缘距座外面 1.25）
E3P-C01-0,"bay(-z 舱内,自下而上)",foot_engagement,"[118.15, 123.15]",,脚座盲孔内承压；打通至槽底，尖距槽底 2；SHORT_ENGAGEMENT_REGISTERED
E3P-C01-1,"bay(-z 舱内,自下而上)",head,"[91.15, 95.15]",7,头上面 → 垫圈
E3P-C01-1,"bay(-z 舱内,自下而上)",washer,"[95.15, 96.15]",9,横梁底面 z=96.15（承压环 OD9）
E3P-C01-1,"bay(-z 舱内,自下而上)",crossbeam,"[96.15, 106.15]",10,保持横梁（Ø4.5 本 run 新增竖孔）
E3P-C01-1,"bay(-z 舱内,自下而上)",roof_lug,"[106.15, 118.15]",12,屋顶耳座（Ø4.5 本 run 新增竖孔；孔缘距座外面 1.25）
E3P-C01-1,"bay(-z 舱内,自下而上)",foot_engagement,"[118.15, 123.15]",,脚座盲孔内承压；打通至槽底，尖距槽底 2；SHORT_ENGAGEMENT_REGISTERED
E3P-C02-0,"bay(-z 舱内,自下而上)",head,"[91.15, 95.15]",7,头上面 → 垫圈
E3P-C02-0,"bay(-z 舱内,自下而上)",washer,"[95.15, 96.15]",9,横梁底面 z=96.15（承压环 OD9）
E3P-C02-0,"bay(-z 舱内,自下而上)",crossbeam,"[96.15, 106.15]",10,保持横梁（Ø4.5 本 run 新增竖孔）
E3P-C02-0,"bay(-z 舱内,自下而上)",roof_lug,"[106.15, 118.15]",12,屋顶耳座（Ø4.5 本 run 新增竖孔；孔缘距座外面 1.25）
E3P-C02-0,"bay(-z 舱内,自下而上)",foot_engagement,"[118.15, 123.15]",,脚座盲孔内承压；打通至槽底，尖距槽底 2；SHORT_ENGAGEMENT_REGISTERED
E3P-C02-1,"bay(-z 舱内,自下而上)",head,"[91.15, 95.15]",7,头上面 → 垫圈
E3P-C02-1,"bay(-z 舱内,自下而上)",washer,"[95.15, 96.15]",9,横梁底面 z=96.15（承压环 OD9）
E3P-C02-1,"bay(-z 舱内,自下而上)",crossbeam,"[96.15, 106.15]",10,保持横梁（Ø4.5 本 run 新增竖孔）
E3P-C02-1,"bay(-z 舱内,自下而上)",roof_lug,"[106.15, 118.15]",12,屋顶耳座（Ø4.5 本 run 新增竖孔；孔缘距座外面 1.25）
E3P-C02-1,"bay(-z 舱内,自下而上)",foot_engagement,"[118.15, 123.15]",,脚座盲孔内承压；打通至槽底，尖距槽底 2；SHORT_ENGAGEMENT_REGISTERED
