vcd_id,requirement_id,verification_methods,verification_level,configuration,article_or_model,procedure_or_input,acceptance_criterion_reference,required_evidence,owner,current_status,closure_authority,flight_credit,prototype_credit
VCD-001,MSR-GOV-001,I|R,DOCUMENT,ALL,WP0_DOCUMENT_SET,WP0_CLAIM_BOUNDARY_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-GOV-001.acceptance_criterion,"claim flags and authorized-review labels",SYSTEMS_ENGINEERING_OWNER,CANDIDATE_PASS_DOCUMENT_BOUNDARY,SYSTEMS_ENGINEERING_OWNER,NO,YES
VCD-002,MSR-GOV-002,I|R,DOCUMENT,ALL,STANDARDS_BASELINE,CONTROLLED_COPY_AND_TAILORING_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-GOV-002.acceptance_criterion,"source ledger controlled copies authorized tailoring record",STANDARDS_AND_CONFIGURATION_OWNER,HOLD_CONTROLLED_COPIES_AND_CLAUSE_MAPPING,OWNER,NO,LIMITED
VCD-003,MSR-GOV-003,I|R,DOCUMENT,ALL,OWNER_TASK_LIST,OWNER_TASK_LIST_INTEGRITY_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-GOV-003.acceptance_criterion,"14-item exact reproduction and derived-group exclusion check",OWNER,PASS_OWNER_TASK_LIST_REPRODUCED,OWNER,NO,YES
VCD-004,MSR-GOV-004,I|R,SYSTEM,ALL,DIGITAL_THREAD,CONFIGURATION_MANAGEMENT_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-GOV-004.acceptance_criterion,"versioned or hashed evidence and claim classes",CONFIGURATION_MANAGER,HOLD_APPROVED_CONFIGURATION_MANAGEMENT_PLAN,CONFIGURATION_MANAGER,NO,YES
VCD-005,MSR-GOV-005,I|R,SYSTEM,ALL,HOLD_REGISTER,NAMED_HOLD_CLOSURE_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-GOV-005.acceptance_criterion,"authorized closure record for each HOLD",PRODUCT_ASSURANCE_OWNER,OPEN_HOLDS_TRACED_NOT_CLOSED,PRODUCT_ASSURANCE_OWNER,NO,LIMITED
VCD-006,MSR-GOV-006,I|R,DOCUMENT,ALL,REQUIREMENTS_AND_VCD,SCHEMA_AND_CROSS_REFERENCE_CHECK,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-GOV-006.acceptance_criterion,"automated mapping validation receipt",VERIFICATION_LEAD,CANDIDATE_PASS_WP0_STRUCTURE_ONLY,VERIFICATION_LEAD,NO,YES
VCD-007,MSR-OPS-001,A|I|T|R,SYSTEM,LAUNCH_STOWED,FLIGHT_REPRESENTATIVE_CONFIGURATION,APPROVED_LAUNCH_STOWED_VERIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-001.acceptance_criterion,"launcher ICD envelope measurement load and restraint evidence 132.72 mm disposition",MECHANICAL_LEAD,HOLD_HISTORICAL_ENVELOPE_EXCEEDANCE_132P72_MM,OWNER,NO,NO
VCD-008,MSR-OPS-002,A|I|T|R,SYSTEM,SEPARATION,FLIGHT_REPRESENTATIVE_CONFIGURATION,APPROVED_SEPARATION_VERIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-002.acceptance_criterion,"approved ICD separation loads and released-body clearance evidence",SYSTEM_INTERFACE_OWNER,HOLD_UNKNOWN_NO_ICD,OWNER,NO,NO
VCD-009,MSR-OPS-003,A|D|R,SYSTEM,POST_SEPARATION_SAFE,INTEGRATED_MODEL_OR_ARTICLE,APPROVED_SAFE_STATE_DEMONSTRATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-003.acceptance_criterion,"authorized state constraints and keep-out results",SYSTEMS_ENGINEERING_OWNER,HOLD_REQUIREMENTS_NOT_AUTHORIZED,OWNER,NO,NO
VCD-010,MSR-OPS-004,A|T|D|R,SYSTEM,SOLAR_ARRAY_DEPLOYMENT|DEPLOYED_NOMINAL,QUALIFICATION_REPRESENTATIVE_MECHANISM,APPROVED_DEPLOYMENT_QUALIFICATION_PROCEDURE,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-004.acceptance_criterion,"deployment loads life environment collision and end-state evidence",MECHANISMS_LEAD,HOLD_MECHANISM_QUALIFICATION,QUALIFICATION_LEAD,NO,NO
VCD-011,MSR-OPS-005,A|T|D|R,SYSTEM,ARM_RELEASE,QUALIFICATION_REPRESENTATIVE_HDRM,APPROVED_HDRM_RELEASE_PROCEDURE,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-005.acceptance_criterion,"HDRM selection reliability shock clearance and release results",MECHANISMS_LEAD,HOLD_HDRM_RELIABILITY,QUALIFICATION_LEAD,NO,NO
VCD-012,MSR-OPS-006,I|D|R,SYSTEM,ARM_TASK_READY,AUTHORITATIVE_CONFIGURABLE_GEOMETRY,CONFIGURATION_ACTIVATION_AND_READBACK,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-006.acceptance_criterion,"native state readback bounding box and interference report",CAD_CONFIGURATION_OWNER,ACCEPTED_SEMANTIC_ENUM_ONLY_GEOMETRIC_READBACK_HOLD,CAD_CONFIGURATION_OWNER,NO,LIMITED
VCD-013,MSR-OPS-007,A|T|D|R,SYSTEM,ARM_MANEUVER,VALIDATED_MODEL_AND_REPRESENTATIVE_HARDWARE,APPROVED_ARM_MOTION_VERIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-007.acceptance_criterion,"trajectory loads cable sweep collision and joint-limit evidence",ROBOTICS_MECHANICAL_OWNER,DERIVED_SIMULATION_EXISTS_MECHANICAL_LOAD_AUTHORITY_HOLD,OWNER,NO,NO
VCD-014,MSR-OPS-008,A|I|D|R,SYSTEM,PREGRASP|GRIPPER_PREGRASP,GRIPPER_R1_AND_TARGET_REPRESENTATION,APPROVED_PREGRASP_VERIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-008.acceptance_criterion,"R1 validation contact datum metrology approach corridor and native integration",GRIPPER_OWNER,ACCEPTED_SEMANTIC_ENUM_AND_NEUTRAL_R1_GEOMETRY_PASS_HARDWARE_CONTACT_HOLD,GRIPPER_OWNER,NO,LIMITED
VCD-015,MSR-OPS-009,A|T|D|R,SYSTEM,CAPTURE|GRIPPER_PARTIAL|GRIPPER_CLOSED,REPRESENTATIVE_GRIPPER_AND_TARGET,APPROVED_CAPTURE_LOAD_AND_RETENTION_TEST,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-009.acceptance_criterion,"capture loads strength stiffness retention slip and clearance evidence",GRIPPER_OWNER,DERIVED_SIMULATION_ONLY_STRUCTURAL_CONTACT_LOAD_HOLD,QUALIFICATION_LEAD,NO,NO
VCD-016,MSR-OPS-010,A|T|D|R,SYSTEM,POST_CAPTURE_STABILIZATION,REPRESENTATIVE_CAPTURED_SYSTEM,APPROVED_STABILIZATION_VERIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-010.acceptance_criterion,"stability loads displacement retention and duration evidence",ROBOTICS_MECHANICAL_OWNER,DERIVED_SIMULATION_ONLY_QUALIFICATION_HOLD,QUALIFICATION_LEAD,NO,NO
VCD-017,MSR-OPS-011,A|D|R,SYSTEM,SAFE_MODE,INTEGRATED_MODEL_OR_ARTICLE,APPROVED_SAFE_MODE_MECHANICAL_DEMONSTRATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-011.acceptance_criterion,"authorized constraints fail-closed and no-false-allow evidence",SYSTEM_SAFETY_OWNER,SIM13_UNKNOWN_FAIL_CLOSED_MECHANICAL_REQUIREMENTS_HOLD,SYSTEM_SAFETY_OWNER,NO,LIMITED
VCD-018,MSR-OPS-012,A|I|D|R,SYSTEM,LEFT_PANEL_FAIL,AUTHORITATIVE_CONFIGURABLE_GEOMETRY,OFF_NOMINAL_CONFIGURATION_VERIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-012.acceptance_criterion,"activation geometry box loads and interference report",MECHANICAL_LEAD,ACCEPTED_SEMANTIC_ENUM_ONLY_PER_CONFIG_GEOMETRY_AND_LOAD_HOLD,OWNER,NO,LIMITED
VCD-019,MSR-OPS-013,A|I|D|R,SYSTEM,RIGHT_PANEL_FAIL,AUTHORITATIVE_CONFIGURABLE_GEOMETRY,OFF_NOMINAL_CONFIGURATION_VERIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-013.acceptance_criterion,"activation geometry box loads and interference report",MECHANICAL_LEAD,ACCEPTED_SEMANTIC_ENUM_ONLY_PER_CONFIG_GEOMETRY_AND_LOAD_HOLD,OWNER,NO,LIMITED
