matrix_id,standard_id,document_kind,project_application,tailoring_or_use_disposition,controlled_copy_status,clause_mapping_status,required_project_inputs,owner,status,compliance_claim,official_url,retrieved_date,notes
STM-001,ECSS-S-ST-00C_Rev2,STANDARD,TOP_LEVEL_SYSTEM_REFERENCE,"HOLD until authorized ECSS-S-ST-00-02 tailoring document and project applicability decision are controlled",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"authorized tailoring document; customer-supplier applicability decision; project standardization plan",SYSTEMS_ENGINEERING_OWNER,HOLD_CONTROLLED_COPY_AND_TAILORING_AUTHORITY,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-s-st-00c-rev-2-description-implementation-and-general-requirements-21-november-2025/,2026-08-21,"Rev.2 dated 2025-11-21; tailoring was extracted to separate ECSS-S-ST-00-02"
STM-002,ECSS-E-ST-32C_Rev1,STANDARD,CANDIDATE_STRUCTURAL_ENGINEERING_BASELINE,"Tailor only after mission launcher load environment product category and verification model inputs are authorized",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"launcher ICD; load environment; mission life; product classification; material allowables; factors and margins authority",MECHANICAL_LEAD,HOLD_INPUTS_AND_CLAUSE_MAPPING,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-e-st-32c-rev-1-structural-general-requirements/,2026-08-21,"No launcher loads material allowables or factors are created in WP0"
STM-003,ECSS-E-ST-10-02C_Rev1,STANDARD,VERIFICATION_PROGRAM_AND_VCD_REFERENCE,"Use document structure now; clause-level applicability and verification credit require authorized controlled copy",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"verification levels; model philosophy; closure authority; approved procedures",VERIFICATION_LEAD,HOLD_CONTROLLED_COPY_AND_VERIFICATION_PLAN,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-e-st-10-02c-rev-1-verification-1-february-2018/,2026-08-21,"A-I-T-D-R codes are project shorthand and require method approval per requirement"
STM-004,ECSS-E-ST-10-03C_Rev1,STANDARD,TEST_PROGRAM_REFERENCE,"Do not assign test levels durations margins sequence or facilities until Owner authorization",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"qualification/acceptance/protoflight model philosophy; environmental inputs; test levels; durations; tolerances; facility capability",TEST_AND_VERIFICATION_LEAD,HOLD_TEST_INPUTS_AND_CLAUSE_MAPPING,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-e-st-10-03c-rev-1-testing-31-may-2022/,2026-08-21,"Existing simulation and neutral geometry are not qualification tests"
STM-005,ECSS-E-ST-33-01C_Rev2,STANDARD,MECHANISM_ENGINEERING_REFERENCE,"Candidate applicability to solar deployment HDRM arm release and gripper; detailed tailoring pending mechanism specifications",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"mechanism functions; duty cycles; life; environments; release reliability; loads; lubrication; test philosophy",MECHANISMS_LEAD,HOLD_MECHANISM_INPUTS_AND_CLAUSE_MAPPING,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-e-st-33-01c-rev-2-1-march-2019-space-engineering-mechanisms/,2026-08-21,"No launcher mechanism applicability is assumed"
STM-006,ECSS-E-ST-10-06C,STANDARD,REQUIREMENTS_SPECIFICATION_STRUCTURE_REFERENCE,"Adopt attribute structure for this draft; authorized reviewer must approve requirement baseline",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"Owner approval; requirement allocation; interface authority; configuration baseline",SYSTEMS_ENGINEERING_OWNER,CANDIDATE_PASS_STRUCTURE_ONLY_DESIGN_HOLD,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-e-st-10-06c-technical-requirements-specification/,2026-08-21,"Document structure is candidate PASS only"
STM-007,ECSS-Q-ST-70C_Rev2,STANDARD,MATERIALS_PARTS_AND_PROCESS_REFERENCE,"Tailor after materials process parts and supplier lists are frozen",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"approved materials/process list; supplier data; lot traceability; allowables; qualification evidence",MATERIALS_AND_PROCESSES_OWNER,HOLD_MATERIAL_AND_PROCESS_AUTHORITY,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-q-st-70c-rev-2-materials-mechanical-parts-and-processes-15-october-2019/,2026-08-21,"TBD BOM fields are not approvals"
STM-008,ECSS-Q-ST-70-01C_Rev1,STANDARD,CLEANLINESS_AND_CONTAMINATION_REFERENCE,"Tailor after contamination-sensitive items mission limits and facilities are defined",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"contamination-sensitive item list; mission performance limits; cleanliness levels; facilities; verification approach",PRODUCT_ASSURANCE_OWNER,HOLD_CLEANLINESS_INPUTS_AND_CLAUSE_MAPPING,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-q-st-70-01c-cleanliness-and-contamination-control-15-october-2025/,2026-08-21,"No cleanliness class or level is invented"
STM-009,ECSS-Q-ST-70-04C,STANDARD,CONDITIONAL_THERMAL_VACUUM_CYCLING_REFERENCE,"Applicable only if authorized verification strategy selects this test method for identified articles",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"article definition; material/process scope; test temperatures; cycles; vacuum level; facility; pass/fail criteria",TEST_AND_VERIFICATION_LEAD,HOLD_TEST_INPUTS_AND_CLAUSE_MAPPING,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-q-st-70-04c-thermal-testing-for-the-evaluation-of-space-materials-processes-mechanical-parts-and-assemblies/,2026-08-21,"No test level cycle count or duration is invented"
STM-010,ECSS-Q-ST-30-02C,STANDARD,FMEA_FMECA_REFERENCE,"Use critical-item register as an input only; formal FMEA/FMECA scope and criticality scheme pending authorization",MISSING_PROJECT_CONTROLLED_COPY,NOT_STARTED,"mission functions; failure severity criteria; risk policy; architecture baseline; analysis depth",DEPENDABILITY_OWNER,HOLD_FMEA_SCOPE_AND_CLAUSE_MAPPING,NO_ECSS_COMPLIANCE_CLAIM,https://ecss.nl/standard/ecss-q-st-30-02c-failure-modes-effects-and-criticality-analysis-fmeafmeca/,2026-08-21,"Register completeness is not an FMEA/FMECA completion claim"
