trace_id,named_hold,source_authority,linked_requirement_ids,closure_inputs,closure_evidence,owner,current_status,flight_impact,prototype_impact,notes
HTR-001,NATIVE_TOP_ASSEMBLY_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-INT-005|MSR-MEC-002,"validated native top; dependency manifest; cold-open rebuild acceptance","native validation receipt; exact hashes; occurrence report",CAD_CONFIGURATION_OWNER,OPEN,FLIGHT_RELEASE_BLOCKED,NATIVE_CREDIT_BLOCKED,"Neutral package remains separately usable within its limits"
HTR-002,LIGHTWEIGHT_SLDASM_NATIVE_VALIDATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-INT-006,"lightweight validation environment; accepted occurrence list","cold-open hash suppression missing-reference and occurrence receipt",CAD_CONFIGURATION_OWNER,OPEN,FLIGHT_RELEASE_BLOCKED,NATIVE_LIGHTWEIGHT_CREDIT_BLOCKED,"Byte-identical candidate does not establish validation"
HTR-003,MONOLITHIC_NEUTRAL_INTEGRATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-INT-004,"integrated authoritative B-rep or native assembly; occurrence manifest","integrated-model validation with missing=0 duplicate=0 unresolved_transform=0",CAD_CONFIGURATION_OWNER,OPEN,COMPOSITE_FLIGHT_CREDIT_BLOCKED,PACKAGE_COMPOSITE_LABEL_REQUIRED,"Main neutral addenda and R1 are not one model"
HTR-004,COMPOSITE_ADDENDA_PLACEMENT_AND_NARROW_PHASE_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-INT-003|MSR-INT-009,"approved addenda transforms; authoritative composite; rule set; configuration cases","placed-composite narrow-phase and sweep report with zero prohibited contacts or signed dispositions",MECHANICAL_INTEGRATION_OWNER,OPEN,COMPOSITE_CLEARANCE_CREDIT_BLOCKED,COMPOSITE_CLEARANCE_CREDIT_BLOCKED,"Main-neutral historical zero does not extend to addenda"
HTR-005,NATIVE_V5_GRIPPER_R1_REINTEGRATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MEC-002,"validated native top; R1 native occurrence; legacy palm removal","native occurrence report and full-stroke positive-overlap rows=0",CAD_CONFIGURATION_OWNER,OPEN,GRIPPER_NATIVE_CREDIT_BLOCKED,NATIVE_CREDIT_BLOCKED,"Neutral R1 internal sweep pass remains valid only in its scope"
HTR-006,GRIPPER_MANUFACTURING_CLEARANCE_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MEC-003,"minimum clearance; dimensional tolerances; finish; thermal wear contamination inputs","approved worst-case tolerance and clearance report",GRIPPER_OWNER,OPEN,MANUFACTURING_AND_FLIGHT_RELEASE_BLOCKED,PROTOTYPE_HARDWARE_USE_HOLD,"Provisional clearance is not manufacturing acceptance"
HTR-007,GRIPPER_MINIMUM_WALL_THICKNESS_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MEC-004,"minimum wall requirement; wall datum; tolerances; R1 metrology","sectioned dimensional inspection and acceptance record",GRIPPER_OWNER,OPEN,STRUCTURAL_RELEASE_BLOCKED,PROTOTYPE_LOAD_USE_HOLD,"Current value is unknown"
HTR-008,GRIPPER_STRUCTURAL_STRENGTH_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MEC-005|MSR-OPS-009,"gripper load cases; material allowables; contact loads; margins; life","approved analysis and representative structural test evidence",GRIPPER_OWNER,OPEN,FLIGHT_AND_CAPTURE_RELEASE_BLOCKED,CAPTURE_LOAD_DEMO_BLOCKED,"No FEA or test evidence is generated in WP0"
HTR-009,GRIPPER_EXTERNAL_OBJECT_CONTACT_VALIDATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MEC-006|MSR-OPS-008|MSR-OPS-009,"target geometry; contact datum metrology; normals; friction; compliance","validated contact model and representative contact test",GRIPPER_OWNER,OPEN,FLIGHT_CAPTURE_BLOCKED,HARDWARE_CAPTURE_BLOCKED,"Internal rail-palm zero does not cover target contact"
HTR-010,M3R_MASS_RECONCILIATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-STR-005|MSR-STR-002,"released M3R configuration; material/density authority; as-built or approved CAD mass; Owner ruling","single approved mass record reconciling 761.9 761.904197 and 782.327248 g",M3R_OWNER,OPEN,MASS_AND_LOAD_CREDIT_BLOCKED,MASS_BUDGET_HOLD,"No controlled source for historical 1.2 kg was located"
