inspection_id,route_id,item,method_or_review,acceptance_basis,required_input,reference_clause,execution_status,input_state,measured_value,unit,test_voltage_v,test_time_s,pass_limit,result,inspector,date,record_path
PROP_DATA-01,PROP_DATA,版本与端点,核对实际设备修订、原厂ICD、两端连接器/配对件、端口视向及针号；截面坐标不得代替插头。,端点资料齐全且每条导体两端唯一；无来源针号不得制作,actual_device_icd_and_connector_drawings,PROJECT_ENDPOINT_RULE,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-02,PROP_DATA,线材与触点配套,绑定导体截面、绞合、绝缘、温度等级、线端触点、密封及工具组合。,供应商允许该线材与触点组合，批次及工具可追溯,wire_contact_tool_and_process_pn,NASA_8739_4A_CH4_7_2_26,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-03,PROP_DATA,预制板和长度,以本轮中心线构造检验用布局；补端接/插拔/松弛/绞合增量后另出裁线长度。,不得直接把ICD中心线数值作为裁线值；尺寸公差已批准,termination_allowances_and_cut_length,PROJECT_V6_GEOMETRY_ONLY,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-04,PROP_DATA,弯曲半径,核对实际线束外径、线种最低弯曲半径和制造公差。,R21及OD6仅名义值；所选电缆和项目要求满足才可签署,actual_cable_od_and_minimum_radius_and_tolerance,NASA_8739_4A_CH4_TABLE_7_1;ECSS_20_30C_6_14_3_2,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-05,PROP_DATA,压接及端接,记录剥线长度、无伤线芯/绝缘、工具校准和工艺样件结果；按对应程序检查端子保持。,有选定触点工艺依据和记录；不得给未知触点统一拉力值,crimp_process_and_qualification_record,NASA_8739_4A_CH4_CH12_CH13;ECSS_20_30C_SCOPE,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-06,PROP_DATA,防磨与固定,检查穿舱保护、夹具接触、接头出口应力释放、拆装工具和余量。,无切边/受拉/夹扁；实际线束截面与夹具闭合尺寸相容,actual_grommet_clamp_cable_and_plug_envelope,NASA_8739_4A_CH4_7_2_20;PROJECT_MECHANICAL_INTERFACE,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-07,PROP_DATA,标识与外观,核对线号、端口标签、方向、护套、清洁和异物。,与已批准from-to一致；线束身份与图纸版本可追溯,released_drawing_and_serial_record,NASA_8739_4A_CH4_CH21,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-08,PROP_DATA,导通与错线,在脱离设备的线束上使用配对测试适配器做逐点导通/短路检查。,阈值和测试适配器待选；所有有意导通路径含屏蔽按端接方案检查,continuity_short_matrix_and_contact_adapters,NASA_8739_4A_CH4_18_3;ECSS_20_30C_6_19_5_1,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-09,PROP_DATA,耐压和绝缘,工程确定被测范围、接头/线材额定与试验参数，隔离有源电子后按批准程序执行。,本单不提供现场高压设置；试验电压/时间/限值目前为空,approved_DWV_IR_procedure_and_equipment_rating,NASA_8739_4A_CH4_18_2_18_3;ECSS_20_30C_6_19_5_3_6_19_5_4,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-10,PROP_DATA,安装后复查,穿舱和夹紧安装后、插接设备前按已批准方案复核导通/绝缘和针位。,安装未损坏线束，记录可追溯，实际测值齐全,post_installation_record,NASA_8739_4A_CH4_18_2_4,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-11,PROP_DATA,记录交接,记录批次、操作者、工具/测试仪、实测值、不符合项及照片。,未执行项不得签PASS；缺项关闭后由工程验收,signed_inspection_record,NASA_8739_4A_CH4_18_2_5;PROJECT_RECORD_RULE,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
PROP_DATA-12,PROP_DATA,RS422专属,按原厂ICD绑定收发方向、差分触点、参考回流、终端及屏蔽；不能接入CAN针脚。,差分对及实际极性唯一；屏蔽不作为默认功率回流；电气参数按真实收发器,RS422_ICD_NOT_CAN,DEVICE_INTERFACE_DELTA;POWER_CONDITIONS_RESULTS,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,
