path,action,role,sha256,evidence_mutation
CLAUDE.md,MODIFIED,PROJECT_ENTRYPOINT,58d8ac8ed55e0a7f1f6ae5179c0d9460145cd48742d1da5f849d66b259408b9d,false
PROJECT_MAP.md,MODIFIED,PROJECT_ENTRYPOINT,e065fa9cce8d3459943713222390b21741f4ae6e429f4f8c6a78b2de05197618,false
docs/95_inbox/README.md,MODIFIED,INBOX_POLICY,4ce74548a53aa90f177020c39eac2cdc17a69189814ca2cf95d39ab138dc0228,false
sim/asm_00_interface_preflight/README.md,CREATED,RESPONSIBILITY_POINTER,55fe791d0fc37ab1a75adcea1ebc1ee9cd5b611081bd619bf83ad9f6318f765f,false
knowledge_base/aerospace/embodied_robotics.md,CREATED,DOMAIN_NAVIGATION,270c6b0780bdbe3978160c88634eb270d73614ff8fcf762aad9545bffeefc8a7,false
knowledge_base/aerospace/flexible_dynamics.md,CREATED,DOMAIN_NAVIGATION,52d00136c19abedea1c71b0ac84d93b2df5d31e588f9a10a46c68d7bb1757f11,false
knowledge_base/aerospace/orbital_capture.md,CREATED,DOMAIN_NAVIGATION,35027414d95dd5d0db8968579bc1fc39345b58257e407d57896b8a39c2c0a6d1,false
knowledge_base/decisions/architecture_decisions.md,CREATED,DECISION_INDEX,1edd3aa461e66c51db76db8f2ddf9fca0c7e95c1cc943ec3596d56f9537e3fe1,false
knowledge_base/decisions/rejected_options.md,CREATED,DECISION_INDEX,2286f57556931abc48c1add7ecebb7eb8325fd664105e4c04e203f3c5b77bab7,false
knowledge_base/papers/paper_cards/README.md,CREATED,LITERATURE_DERIVED_INDEX,7f3213b25ab874b81af3d6674d82ea733c2f0736045e0c873fce55fce8db2ddb,false
knowledge_base/papers/paper_index.csv,CREATED,LITERATURE_DERIVED_INDEX,d4910d590b4819fba9ce0a69fbd7b24a8ad02c12510b32a0c6625ead82c1c5dc,false
knowledge_base/project_context/current_state.md,CREATED,PROJECT_CONTEXT_NAVIGATION,44dbe9f764692a98153db5b32626142e56dd46becec25d94674ace7e25054b85,false
knowledge_base/project_context/mission.md,CREATED,PROJECT_CONTEXT_NAVIGATION,47e6a4451709fb6e8665d5c457a996386608881fd5ba9c1570c5f82fa0d1b0de,false
knowledge_base/project_context/research_questions.md,CREATED,PROJECT_CONTEXT_NAVIGATION,09976cf82929447819671704e92c550aae8b57908519b93b1a2283533b414bfa,false
knowledge_base/README.md,CREATED,AGENT_ENTRYPOINT,2c99a77c66aeb634ec25b98701c47102515c8fbb02d2b9cf179c04e4195bd49b,false
knowledge_base/simulation/gate_logic.md,CREATED,SIMULATION_NAVIGATION,906c32382ef3cba3d261ecd5ffa44a1a7c1c57bdcf95b7bf63dc81f4eebdb29f,false
knowledge_base/simulation/sim_modules_index.md,CREATED,SIMULATION_NAVIGATION,69b1f26a6c7e93965dfe53a7a9c0c441156bb3c4f7b2bc91d2d15e3b1f460b47,false
