entry,type,business_root,role
.agents,directory,false,root_entry_or_metadata
.claude,directory,false,root_entry_or_metadata
.codex,directory,false,root_entry_or_metadata
.git,directory,false,root_entry_or_metadata
.gitattributes,file,false,root_entry_or_metadata
.gitignore,file,false,root_entry_or_metadata
.playwright-cli,directory,false,root_entry_or_metadata
01_project,directory,true,project_governance_and_competition
10_research,directory,true,research_governance
20_engineering,directory,true,engineering_definition
30_simulation,directory,true,simulation_and_machine_gates
40_evidence,directory,true,evidence_and_visualization
50_literature,directory,true,literature_library
70_tools,directory,true,offline_tools
80_third_party,directory,true,third_party_dependencies
CLAUDE.md,file,false,root_entry_or_metadata
PROJECT_MAP.md,file,false,root_entry_or_metadata
