old_path,new_path,action,content_sha256_preserved,reason
research/project_architecture_final/agent_management_plan.md,research/00_project_architecture/agent_management_plan.md,MOVE_AND_UPDATE_PATH_REFERENCES,false,remove_final_and_update_internal_path_list
research/project_architecture_final/competition_storyline.md,research/00_project_architecture/competition_storyline.md,MOVE,true,canonical_architecture_namespace
research/project_architecture_final/digital_twin_plan.md,research/00_project_architecture/digital_twin_plan.md,MOVE,true,canonical_architecture_namespace
research/project_architecture_final/experiment_roadmap.md,research/00_project_architecture/experiment_roadmap.md,MOVE,true,canonical_architecture_namespace
research/project_architecture_final/paper_structure_plan.md,research/00_project_architecture/paper_structure_plan.md,MOVE,true,canonical_architecture_namespace
research/project_architecture_final/simulation_scenario_map.md,research/00_project_architecture/simulation_scenario_map.md,MOVE,true,canonical_architecture_namespace
research/project_architecture_final/system_architecture.md,research/00_project_architecture/system_architecture.md,MOVE,true,canonical_architecture_namespace
space_manipulator_refs_and_oss.md,docs/00_references/source_notes/space_manipulator_refs_and_oss.md,MOVE,true,literature_seed_belongs_to_reference_domain
建议.docx,docs/95_inbox/source_documents/建议.docx,MOVE,true,controlled_external_source_inbox
sim/free_floating_servicer/README_stage1.md,docs/stage1_spacecraft_layout/07_next_actions/free_floating_servicer_stage1.md,MOVE,true,planning_placeholder_not_executable_simulation
docs/geometry/geometry_audit_decisions_v1.md,docs/stage1_spacecraft_layout/06_reviews/geometry_audit_decisions_v1.md,MOVE,true,merge_geometry_review_into_stage1_design_domain
空间机械臂.docx,空间机械臂.docx,KEEP_PATH_LOCKED,true,competition_contract_fingerprint
30_simulation/asm_00_interface_preflight/,30_simulation/asm_00_interface_preflight/,KEEP_PATH_LOCKED,n/a,local_gate_and_manifest_path_binding
research/competition_convergence/,research/competition_convergence/,KEEP_PATH_LOCKED,n/a,local_gate_and_replay_contract_path_binding
research_integration/,research_integration/,KEEP_PATH_LOCKED,n/a,frozen_negative_result_manifest_path_binding
e15_core_coverage/,e15_core_coverage/,KEEP_PATH_LOCKED,n/a,scientific_gate_and_hash_binding
e15_ancf_certification/,e15_ancf_certification/,KEEP_PATH_LOCKED,n/a,scientific_gate_and_hash_binding
e16_sync_capture/,e16_sync_capture/,KEEP_PATH_LOCKED,n/a,scientific_gate_and_hash_binding
