old_path,new_path,operation,reason
docs/00_project_governance/,01_project/governance/,MOVE_DIR,project_governance_domain
docs/90_competition/,01_project/competition/,MOVE_DIR,competition_delivery_domain
docs/95_inbox/,01_project/inbox/,MOVE_DIR,controlled_inbox_domain
空间机械臂.docx,01_project/inbox/source_documents/空间机械臂.docx,MOVE_FILE,path_locked_input_rehomed_with_hash_preserved
research/,10_research/,MOVE_DIR,research_governance_domain
knowledge_base/,10_research/knowledge_base/,MOVE_DIR,agent_knowledge_subdomain
cad/,20_engineering/cad/,MOVE_DIR,engineering_cad_domain
config/,20_engineering/config/,MOVE_DIR,engineering_configuration_domain
docs/20_system_design/,20_engineering/system_design/,MOVE_DIR,engineering_design_docs
docs/stage1_spacecraft_layout/,20_engineering/stage1_spacecraft_layout/,MOVE_DIR,engineering_layout_docs
sim/,30_simulation/,MOVE_DIR,simulation_domain
e15_core_coverage/,30_simulation/e15_core_coverage/,MOVE_DIR,certification_capsule
e15_ancf_certification/,30_simulation/e15_ancf_certification/,MOVE_DIR,certification_capsule
e16_sync_capture/,30_simulation/e16_sync_capture/,MOVE_DIR,certification_capsule
sim/asm_00_interface_preflight/README.md,30_simulation/asm_00_interface_preflight/MIGRATION_NOTICE.md,MOVE_FILE,preserve_preflight_pointer
assembly_research/ASM-00_interface_ssot/,30_simulation/asm_00_interface_preflight/,MERGE_DIR,canonicalize_assembly_preflight
src/sim_09_grasp_evaluator/,30_simulation/sim_09_grasp_evaluator/src/,MOVE_DIR,capsule_sim09_source
tests/sim_09_grasp_evaluator/,30_simulation/sim_09_grasp_evaluator/tests/,MOVE_DIR,capsule_sim09_tests
results/sim_09_grasp_evaluator/,30_simulation/sim_09_grasp_evaluator/results/,MOVE_DIR,capsule_sim09_results
figures/sim_09_grasp_evaluator/,30_simulation/sim_09_grasp_evaluator/figures/,MOVE_DIR,capsule_sim09_figures
tables/sim_09_grasp_evaluator/,30_simulation/sim_09_grasp_evaluator/tables/,MOVE_DIR,capsule_sim09_tables
artifacts/,40_evidence/artifacts/,MOVE_DIR,generated_evidence_domain
figures/visualization/,40_evidence/artifacts/visualization/figures/,MOVE_DIR,visualization_media_domain
tables/visualization/,40_evidence/artifacts/visualization/tables/,MOVE_DIR,visualization_table_domain
videos/visualization/,40_evidence/artifacts/visualization/videos/,MOVE_DIR,visualization_video_domain
tables/*.csv,40_evidence/tables/*.csv,MOVE_FILES,global_evidence_tables
docs/00_references/,50_literature/references/,MOVE_DIR,literature_metadata_domain
pdf/,50_literature/pdf/,MOVE_DIR,literature_fulltext_domain
补充论文/README.md,50_literature/legacy_supplemental/README.md,MOVE_FILE,legacy_supplement_pointer
tools/,70_tools/,MOVE_DIR,offline_tool_domain
src/visualization/,70_tools/project_visualization/src/,MOVE_DIR,visualization_tool_source
tests/visualization/,70_tools/project_visualization/tests/,MOVE_DIR,visualization_tool_tests
external/,80_third_party/external/,MOVE_DIR,external_reference_domain
vendor/,80_third_party/vendor/,MOVE_DIR,vendored_dependency_domain
