old_path,new_path,bytes_before,bytes_after,sha256_before,sha256_after,byte_identical
pdf/01_survey/alizadeh2024comprehensive.pdf,50_literature/pdf/01_survey/alizadeh2024comprehensive.pdf,84515215,84515215,176c85af31115383f3e9b8a3a37699c45eb59ed74a40ae2d61f0b5b62a0eac7f,176c85af31115383f3e9b8a3a37699c45eb59ed74a40ae2d61f0b5b62a0eac7f,true
pdf/01_survey/ellery2019tutorial.pdf,50_literature/pdf/01_survey/ellery2019tutorial.pdf,1465511,1465511,e08a68903de91f740a67547ec6278c0a8ab75191b73720cc6e2b894c7037f16d,e08a68903de91f740a67547ec6278c0a8ab75191b73720cc6e2b894c7037f16d,true
pdf/01_survey/papadopoulos2021survey.pdf,50_literature/pdf/01_survey/papadopoulos2021survey.pdf,3545537,3545537,85e2a7bb0d217132a6daac7c0a5da7c8d4027b73a1de9a56340685fdc94f8d91,85e2a7bb0d217132a6daac7c0a5da7c8d4027b73a1de9a56340685fdc94f8d91,true
pdf/01_survey/rybus2024manipulators.pdf,50_literature/pdf/01_survey/rybus2024manipulators.pdf,38799430,38799430,628d70e347e74ebf56b1d0b5e263bfc1be1cc6a0be2eadcca9f319d295c7761b,628d70e347e74ebf56b1d0b5e263bfc1be1cc6a0be2eadcca9f319d295c7761b,true
pdf/01_survey/sst2024autonomous.pdf,50_literature/pdf/01_survey/sst2024autonomous.pdf,7286590,7286590,df14530433630446d54a365841c9bba739deb05bd63a8d8dffeac4dd530e00be,df14530433630446d54a365841c9bba739deb05bd63a8d8dffeac4dd530e00be,true
pdf/01_survey/zhang2022adcr.pdf,50_literature/pdf/01_survey/zhang2022adcr.pdf,4656919,4656919,bf55fadf562ae224721cb0fcb548187450cd8bea99f7a0eee981427d27b44d88,bf55fadf562ae224721cb0fcb548187450cd8bea99f7a0eee981427d27b44d88,true
pdf/02_gjm_rns/nenchev1999flexiblerns.pdf,50_literature/pdf/02_gjm_rns/nenchev1999flexiblerns.pdf,35417646,35417646,61e387a6ad51b521d50100431f98eed2a3d004018584068489bb011f1ee15cfb,61e387a6ad51b521d50100431f98eed2a3d004018584068489bb011f1ee15cfb,true
pdf/02_gjm_rns/nenchev1999impact.pdf,50_literature/pdf/02_gjm_rns/nenchev1999impact.pdf,221830,221830,015b02c37fa174228372e34ea037779737130bf53c64202e06649355f63e8cfd,015b02c37fa174228372e34ea037779737130bf53c64202e06649355f63e8cfd,true
pdf/02_gjm_rns/wilde2018tutorial.pdf,50_literature/pdf/02_gjm_rns/wilde2018tutorial.pdf,4279702,4279702,8d7d36f825f40e9be87d668dcd1cd363a92de4400766f9bfbc95119af3d205a6,8d7d36f825f40e9be87d668dcd1cd363a92de4400766f9bfbc95119af3d205a6,true
pdf/02_gjm_rns/xu2017reactiontorque.pdf,50_literature/pdf/02_gjm_rns/xu2017reactiontorque.pdf,12586446,12586446,e224c8088a11fae42611bf33ae821e0e37f40a13c1312129be701bff3ed49eeb,e224c8088a11fae42611bf33ae821e0e37f40a13c1312129be701bff3ed49eeb,true
pdf/02_gjm_rns/yoshida1999vibrationsuppression.pdf,50_literature/pdf/02_gjm_rns/yoshida1999vibrationsuppression.pdf,6348680,6348680,07098e04f42ac1849a205b69dcc5c08846c41fa1d2b926b43813cac5550f086f,07098e04f42ac1849a205b69dcc5c08846c41fa1d2b926b43813cac5550f086f,true
pdf/02_gjm_rns/yoshida2001zrm.pdf,50_literature/pdf/02_gjm_rns/yoshida2001zrm.pdf,1210366,1210366,8bf22a1088ddeafc35941cbd3765fe9bd4f97ceaeb916b6d5482dd051854c3e8,8bf22a1088ddeafc35941cbd3765fe9bd4f97ceaeb916b6d5482dd051854c3e8,true
pdf/03_contact_capture/fujii2024gripping.pdf,50_literature/pdf/03_contact_capture/fujii2024gripping.pdf,8772213,8772213,262e384edecf44c1491d750d4a6dab7ff1da54d1f39d3955839b000661ef19ed,262e384edecf44c1491d750d4a6dab7ff1da54d1f39d3955839b000661ef19ed,true
pdf/03_contact_capture/lampariello2018tracking.pdf,50_literature/pdf/03_contact_capture/lampariello2018tracking.pdf,4314201,4314201,1c9e91b39d94fdb3a74431dfdc4c270ef2c5bdd5e8bd8553750114fd5219928a,1c9e91b39d94fdb3a74431dfdc4c270ef2c5bdd5e8bd8553750114fd5219928a,true
pdf/03_contact_capture/liu2022flexiblecapture.pdf,50_literature/pdf/03_contact_capture/liu2022flexiblecapture.pdf,8822901,8822901,bf7b220aee57a410e0ad74ff25e4f575eca69959b3c3214764a4f67a88e3343e,bf7b220aee57a410e0ad74ff25e4f575eca69959b3c3214764a4f67a88e3343e,true
