old_path,new_path,bytes_before,bytes_after,sha256_before,sha256_after,path_only_verified,non_path_difference_count
artifacts/visualization/e15_gate_evidence_snapshot_20260714/results__sim_09_grasp_evaluator__e15_gate_check.json,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/results__sim_09_grasp_evaluator__e15_gate_check.json,17838,18306,14791c2937eead5a93406c02eeb66b20d96f4fbb149df0e5f367b26c94436e2a,e98272bb347ca647125baa3d25b541e94477f854c30cfdcc4f0559e0c08c1f15,true,0
assembly_research/ASM-00_interface_ssot/results/asm_00_gate_check.json,30_simulation/asm_00_interface_preflight/results/asm_00_gate_check.json,11328,11375,c98639b03bd63b9bb279c6c3d846ac2b7fafa482661618e0f650cfb2e79224b9,8eb4645aa5cfd7df5d155c97f3a117f20fd10eff3d4a102f66ce0b5daa0db186,true,0
e15_ancf_certification/results/gate_summary.json,30_simulation/e15_ancf_certification/results/gate_summary.json,1585,1585,aab4d609e219279c2563c8a38743ac1784bbf16de399d5b8798439b0ac2dca80,aab4d609e219279c2563c8a38743ac1784bbf16de399d5b8798439b0ac2dca80,true,0
e15_core_coverage/results/core_gate_check.json,30_simulation/e15_core_coverage/results/core_gate_check.json,1068,1068,761798e52ead35f8bf6200034af088e85f7bb9085c71d0883bf1e70c1cffe3a7,761798e52ead35f8bf6200034af088e85f7bb9085c71d0883bf1e70c1cffe3a7,true,0
e16_sync_capture/results/gate_check.json,30_simulation/e16_sync_capture/results/gate_check.json,5923,6017,387256770de351d4d2d9170e984b434e20c360254e6dba37a939837a16fb5860,5538b054805781f7717d316bfc81c9f79cbc6b3b4d6cc9fdc72905d80984cc6f,true,0
research/competition_convergence/competition_gate_check.json,10_research/competition_convergence/competition_gate_check.json,7654,7672,fd3fa0f1a5c4ec64331ca93e7845f554e9572a0fad67b5eac6d2d725525fb860,8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200,true,0
research/partner_requirement_closure/wave1_results/wave1_gate_check.json,10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json,22447,22560,c8d631d68537c9edd9c3e55ec9456c5ac61474ef850e4ca6f280595de4429dae,ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf,true,0
results/sim_09_grasp_evaluator/e1_gate_check.json,30_simulation/sim_09_grasp_evaluator/results/e1_gate_check.json,18369,18454,d5847be9c419d351fe37f1b1978828237466f9de674379fe95bf4fde43c7efa0,67c43bfd7788c4012b4f6ca28de6fede70d74e71cb849cfbbb56d21636face47,true,0
sim/control_01_end_effector_tracking/results/control_01_gate_check.json,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,16745,16768,3d32f78a7cc4bf57718efb1e4ddf70cab843c4b67173833ab4aa4971735baa8a,ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96,true,0
sim/control_02_base_attitude/results/control_02_gate_check.json,30_simulation/control_02_base_attitude/results/control_02_gate_check.json,50420,50527,8d072eaeacbbdbb1bb7637434a0b5db77b6d37c42f706dc075950aa9b123a341,240fa708b53646a024bb0fd2d67085188dd7c81685515b69c4cdc5dc50edfc5e,true,0
sim/safety_00_runtime_gate/results/safety_00_gate_check.json,30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json,8384,8384,ff56929dd8352e447afdb8b7d17c5ef0b248883c66bc4f00c16c50c6f4c46eee,ff56929dd8352e447afdb8b7d17c5ef0b248883c66bc4f00c16c50c6f4c46eee,true,0
sim/sim_10_mission_feasibility/results/sim_10_gate_check.json,30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json,6062,6106,2a9024bb0f57f837e58161a0fa96660e2e237ec96ef096eba458cb0dcc4a19d4,367078aa79853591b8da276f047c8c4fdbc4017e5136680fe90ad3432cc14265,true,0
sim/sim_11_coupled_dynamics/results/gates_inline_partial.json,30_simulation/sim_11_coupled_dynamics/results/gates_inline_partial.json,3681,3681,67de2251fb686f7bb13284f0b1a48ff9ccbac7ebd332e6c49c77e8c74b2c7772,67de2251fb686f7bb13284f0b1a48ff9ccbac7ebd332e6c49c77e8c74b2c7772,true,0
sim/sim_11_coupled_dynamics/results/sim_11_gate_check.json,30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json,26604,26619,5bba3112a704583fecb315419c1d73848bf72fe82f89b7a8fb104abb1ea0aa47,287aa84824ced51fb4480dfc3d39e9dafc8ee41b37c9de0f73e2d927263fec10,true,0
sim/sim_12_strategy_feasibility/results/sim_12_gate_check.json,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json,1304,1307,e92ae9c2287149ff00234760cf0d3a53524fd59b71b7e93b2785e578aae91f5f,a416c13481119bbdc61764d518a1abebc159a78bbd78fac132803069713dacd8,true,0
