item_id,native_path,native_sha256,source_class,mass_g,basis,accepted_urdf_excluded,status,note
Stage_A,,,CAD_VOLUME_DENSITY_V4,345.018961,AL6061-T6 handbook density from V4 neutral volume,true,PROVISIONAL,"replace with native material mass after Loop1A"
Stage_B,,,CAD_VOLUME_DENSITY_V4,437.308287,AL6061-T6 handbook density from V4 neutral volume,true,PROVISIONAL,"replace with native material mass after Loop1A"
wing_root_left,,,CAD_VOLUME_DENSITY_V4,30.577191,AL6061-T6 handbook density from V4 neutral volume,true,PROVISIONAL,"replace after native wing-root closure"
wing_root_right,,,CAD_VOLUME_DENSITY_V4,30.577191,AL6061-T6 handbook density from V4 neutral volume,true,PROVISIONAL,"replace after native wing-root closure"
G07,,,CAD_VOLUME_DENSITY_V4,169.244727,AL7075-T6 handbook density from V4 neutral volume,true,PROVISIONAL,"replace after native support assembly"
G08,,,CAD_VOLUME_DENSITY_V4,97.826,AL7075-T6 handbook density from V4 neutral volume,true,PROVISIONAL,"replace after native support assembly"
Mid,,,CAD_VOLUME_DENSITY_V4,100.988186,AL7075-T6 handbook density from V4 neutral volume,true,PROVISIONAL,"replace after native support assembly"
pads,,,CAD_VOLUME_DENSITY_V4,22.611,PTFE25GF 16.5 + VMQ60A 2.25 + VespelSP1 3.861,true,PROVISIONAL,"replace with native pad materials"
springs,,,,,PENDING_NATIVE_ESTIMATE,true,PENDING,"four torsion-spring donors isolated in Loop1B; mass requires native material assignment"
HDRM,,,CLASS_ESTIMATE,81.862,F3R2 HDRM cup/rod/base/switch budget,true,PROVISIONAL,"functional envelope only; actuator procurement TBD"
camera_bracket,,,CLASS_ESTIMATE,26.732,F3R2 camera bracket class estimate,true,PROVISIONAL,"native bracket pending Loop1D"
camera_or_envelope,,,CLASS_ESTIMATE,62.0,unselected camera class estimate,true,HOLD,"CAMERA_MODEL_SELECTION_HOLD"
harness,,,CLASS_ESTIMATE,134.062,OD9 bundle 125.962 + clamps 8.1 class estimate,true,PROVISIONAL,"native static route exists; moving sweep pending"
gripper,,,,,PENDING_NATIVE,true,PENDING,"native split and prismatic assembly pending Loop1C0/1C1"
fasteners,,,HANDBOOK_ESTIMATE,20.26,F3R2 M3 fastener budget only,true,PROVISIONAL,"M4/M5/M6 fastener mass to be added from V5_FASTENER_REGISTER"
pins,,,HANDBOOK_ESTIMATE,1.86,F3R2 dowel pin budget,true,PROVISIONAL,"hinge pins are donor spacecraft parts; V5 isolated copies retain donor identity"
