component_id,assembly_role,source_geometry_class,default_state,frame_or_placement,physical_fidelity,release_status,primary_hold
INST_BUS_12U_CORE,spacecraft_bus,source_bound_analytic_primitives,INSTALLED,S,block_proxy,WORKING_DIGITAL_PROTOTYPE,internal_structure_and_load_bridge_unknown
INST_SOLAR_ARRAY_LEFT_DEPLOYED,left_solar_array,source_bound_box_proxy,INSTALLED,S_deployed_source_pose,deployed_visual_proxy,WORKING_DIGITAL_PROTOTYPE,stowed_geometry_and_hinge_kinematics_unknown
INST_SOLAR_ARRAY_RIGHT_DEPLOYED,right_solar_array,source_bound_box_proxy,INSTALLED,S_deployed_source_pose,deployed_visual_proxy,WORKING_DIGITAL_PROTOTYPE,stowed_geometry_and_hinge_kinematics_unknown
INST_B601_ARM_CORE_Q0,arm_kinematic_witness,STEP_frame_axis_witness,INSTALLED,B601_ARM_BASE_PHYSICAL,q0_frame_axis_witness_only,NON_PHYSICAL_WITNESS,physical_arm_BRep_unknown
INST_M3R_INTERFACE_ASSEMBLY,arm_mount_interface,M3_parameterized_working_BRep,INSTALLED,M3R_LOCAL,working_detailed_design,WORKING_NOT_RELEASED,load_bridge_fitup_fasteners_tolerance_unknown
INST_GRIPPER_R1_PALM,end_effector_palm,corrected_neutral_derivative_BRep,INSTALLED,LINK6_Q0,palm_only,WORKING_NOT_RELEASED,separated_fingers_contact_and_clearance_unknown
SLOT_SPACECRAFT_LOAD_BRIDGE__UNRESOLVED,bus_to_M3R_load_path,no_geometry,HOLD,null,absent,HARD_HOLD,structural_load_path_discontinuous
SLOT_SENSOR_PACKAGE__UNRESOLVED,camera_or_sensor,analytic_candidate_source,HOLD,null,candidate_rejected,HARD_HOLD,M3R_positive_penetration_at_source_pose
SLOT_ARM_HDRM__UNRESOLVED,arm_hold_down_release,no_physical_geometry,HOLD,null,skeleton_only,HARD_HOLD,global_transform_and_function_unknown
SLOT_GRIPPER_R1_FINGERS__UNRESOLVED,end_effector_fingers,no_valid_separated_BRep,HOLD,null,absent,HARD_HOLD,contact_geometry_unknown
TARGET_SATELLITE_22KG,scenario_target,analytic_proxy,NOT_INSTALLED,T_independent,scenario_proxy,HARD_HOLD,T_S_target_unknown
TARGET_DEBRIS_150KG,scenario_target,exact_primitive_compound,NOT_INSTALLED,D_independent,scenario_proxy,HARD_HOLD,T_S_target_and_boolean_contact_geometry_unknown

