role,path,exists,size_bytes,sha256,authority_or_status
accepted_urdf,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,True,11321,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,READ_ONLY_DYNAMICS_AUTHORITY
v2_neutral_step,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.step,True,125946155,A7549D0E913584FA4AF894A710F5CE9DF363722FD7F4F863B1C3B3FF2B4653C2,FALLBACK_B_SOURCE
v2_neutral_fcstd,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.FCStd,True,53841402,7D423A2F19E34A04238AF82629875FDB320D841EE89F78051B454E737B9AF53A,FALLBACK_B_SOURCE
v2_native_top,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.SLDASM,True,29594924,19D85E9C703BEC107396AE84DAB7B12DE5722434FC7D5474B3A5A144A1B590D0,FROZEN_SOURCE_NOT_MODIFIED
v2_frame_mapping,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/10_digital_thread/F3R2_FRAME_MAPPING.yaml,True,2070,E2395D5356D015303D266935A3608D9EFFCC1D8C7F05049DD1264137A63D46D4,FRAME_SOURCE
v2_m3r_transform,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_FRAME_TO_FLANGE_TRANSFORM.json,True,694,29303BA65DFD7473F2E0DBB7BFD16CF269C87EF1A336575AE054594B57BBD6CA,M3R_TRANSFORM_SOURCE
v4_delta_manifest,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/10_validation/MFINAL_NEUTRAL_CAD_MANIFEST_SHA256.txt,True,9392,0FED659F16B61D0B8B769DBB7986425BBFF8EB16748E01D1E8F30489EFA2016B,DELTA_SOURCE_REGISTER
v4_stage_a,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_A_INTERFACE_RING_REVB.step,True,35879,DD37083EE41F714B25CAA08FFF456B4291606B557EEA1F11CD2504491A4636DF,DELTA_GEOMETRY
v4_stage_b,20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/adapter/V4_B601_STAGE_B_LOAD_ADAPTER_REVB2.step,True,37779,AA042A883803682FC6799D29F6330C486BE28E579E94CDD4535CAF8F62038DDB,DELTA_GEOMETRY
v5_link_map,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/09_digital_thread/V5_LINK_COMPONENT_MAPPING.csv,True,37096,112EDDA4595928B24EF435A26C29EC93A2EB1CD155815FBA843F3290EB840D28,MAPPING_SOURCE
v5_mass_boundary,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/09_digital_thread/V5_MASS_BOUNDARY.yaml,True,763,23570C102A0F1072FB1EF528AEF3B5E66B16547C8112D56DDBA1E3C71CD4373A,MASS_BOUNDARY_SOURCE
v5_bom,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,True,21797,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,CAD_COMPARISON_SOURCE
v5_interference_register,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/04_configurations/V5_LOOP1C1_INTERFERENCE_FINGERPRINT_REGISTER.csv,True,91485,1C0D38F986827BFA093A508717AC96CBBD8DD6039508AD01A2E5322A9484AA30,INTERFERENCE_SOURCE
v5_loop1c1_acceptance,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/00_authority/V5_LOOP1C1_INTERFERENCE_FINGERPRINT_ACCEPTANCE.json,True,42538,D2EABC78806B1F4D5D932B0808CAFE937E2147142DF406E625D19CC1E875141D,OPTION_A_EXCEPTION_SOURCE
fallback_lightweight_candidate,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_LIGHTWEIGHT_OPERATIONAL_BASELINE.SLDASM,True,27121219,9F14C3A5363697298532C27A752B953BA0DAE3AF853BD764475ADFCADA52BD7F,UNVALIDATED_HOLD
neutral_step,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.step,True,125946155,A7549D0E913584FA4AF894A710F5CE9DF363722FD7F4F863B1C3B3FF2B4653C2,DERIVED_FALLBACK_B
neutral_fcstd,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.FCStd,True,53841402,7D423A2F19E34A04238AF82629875FDB320D841EE89F78051B454E737B9AF53A,DERIVED_FALLBACK_B
visual_mesh,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_VISUAL_MESH.stl,True,46236784,3147B19B669639EF3915CEB8B577BA0E331EA812FDDB508C3E76DF5C3A253208,DERIVED_FALLBACK_B
collision_mesh,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_COLLISION_MESH.stl,True,23352384,7DBD3F2BA19B033243F898C64025CCFD1A7C41BBD5410285188CE0DE7F3F7D80,DERIVED_FALLBACK_B
fallback_b_receipt,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/V5R_FALLBACK_B_NEUTRAL_FORMATION_RECEIPT.json,True,3868,0C39B29389251F77647CE77F2ABA53636311FA16BDAE05A221D84D2042D403A9,FALLBACK_B_FORMATION_EVIDENCE
gripper_r1_receipt,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json,True,117402,7BC0DF784B36159624A8A89B67207C54C5C9C780B103CB38658DE2D6BA845F47,NEUTRAL_R1_PASS_NATIVE_REINTEGRATION_HOLD
gripper_r1_palm_step,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/gripper_r1/B601_GRIPPER_PALM_RAIL_SLOT_R1.step,True,2762511,97E2FE07FE24673DEAE473D0518FD30E3345ED85A82F8811265482B0215811BC,PACKAGE_ADDENDUM
gripper_r1_left_sweep_step,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/gripper_r1/LEFT_RAIL_FULL_STROKE_SWEPT_VOLUME.step,True,435905,0E8B4C4CFB8F08F503D59F731E6018ED1C3E6C5CC072B61F197136617D9D5E59,PACKAGE_ADDENDUM
gripper_r1_right_sweep_step,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/gripper_r1/RIGHT_RAIL_FULL_STROKE_SWEPT_VOLUME.step,True,435747,BDD72584487A70781B63C80D24075B262648436D68B84B2DAB3905C726FBE8F8,PACKAGE_ADDENDUM
