id,domain,gap,category,evidence_path,impact,next_minimum_action,external_input_required
"BLK-MECH-01","route_c","Route-C P01-P13全部仅闭环于DESIGN_CANDIDATE/PROVISIONAL_DERIVED/BOUNDED_DATASHEET_RANGE权威,无MEASURED/AS_BUILT/FLIGHT_QUALIFIED值","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_PHYSICAL_CAPABILITY_REGISTRY_V2.yaml (authority_rules; counts)","正式机械Release的物理输入权威等级不足;初赛提交不依赖该Release","供应商RFI/试验闭环后按受控值升级并复审","yes"
"BLK-MECH-02","route_c","P08线束扭转恢复力矩物理量UNKNOWN(仅deg/m分配,未零填)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_PHYSICAL_CAPABILITY_REGISTRY_V2.yaml (P08); ROUTE_C_MISSION_COVERAGE_GATE_V1.json declared_holds","关节阻力矩预算含UNKNOWN分量(worst_fraction 0.192不含该项),Release级验证不完整","C5供应商扭转测试后登记受控曲线","yes"
"BLK-MECH-03","route_c","MPI-01..04电气/Owner输入未闭合(载荷图/协议EMC/导体图/确切连接器件号)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_PHYSICAL_CAPABILITY_REGISTRY_V2.yaml (mpi_mapping.by_mpi)","线束电气定义缺失,正式设计Release与装配电测无法闭合","Owner电气权威提供四类输入","yes"
"BLK-MECH-04","route_c","C6空间环境适用性(TVAC/出气/辐照)与供应商动态弯折寿命未建立(igus/iglidur/护套)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_PHYSICAL_CAPABILITY_REGISTRY_V2.yaml (declared_downstream_holds)","资格级证据缺失","供应商试验与空间环境评定","yes"
"BLK-MECH-05","route_c","M01轨迹权威MISSING;ODR-60 Option A预搜索绑定未闭合(0/9场景绑定、0/11166 clearance策略行、0/150运动证书、0/11166对oracle、内存准入未过)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_EXECUTION_CLOSURE_V1/results/ODR60_OPTION_A_EXECUTION_CLOSURE_GATE_V1.json (blockers 8项); _work/odr/ODR-60_DECISION_REQUEST.json (current_pre_search_blockers 12项)","TMG-4无法重评;线束任务包络证据链停在V9F负见证","按12项清单完成绑定并通过运行时内存准入后执行路径搜索","no"
"BLK-MECH-06","route_c","RC5/TMG-2重开数值符合性规则缺失(ODR-59 owner_rule_present=false);九构型绑定C05 FAIL/C06-C09 HOLD未处置","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-59_DECISION_REQUEST.json (legal_current_state; owner_decisions_required 8项)","V9F质量回灌(+3.040 kg)无法判定接受/拒绝;TMG-2保持NOT_EVALUATED","Owner定义比较量/覆盖因子/guard band/风险政策后重评","yes"
"BLK-MECH-07","mech","handoff G12 HARNESS_RATED_OPERATIONAL_ENVELOPE失败(11/12),统一接口重跑仍失败","P2_FORMAL_RELEASE_BLOCKER","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json (checks_failed=[G12]); 20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/17_MECH_TO_EMBODIED_HANDOFF_GATE.json","机械→具身交接无12/12信用;下游Sim13/RL系统接口无法正式消费","TMG-4闭合后按统一合同重跑handoff V2","no"
"BLK-MECH-08","mech","完整TMG-6未重签:父Gate冻结15/20,后端负控20/20为append-only子域(FULL_TMG6 NOT_REISSUED)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/sim13_post_terminal_handoff_addendum_v1/SIM13_POST_TERMINAL_HANDOFF_ADDENDUM_GATE_V1.json (lineage.full_tmg6_reissue_executed=false; remaining_holds)","15/20与20/20两版本并存,综合裁决必须按CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED处理","G12/Owner接受/系统绑定Gate闭合后重发完整TMG-6","no"
"BLK-MECH-09","mech","窄相碰撞资产ABSENT(SIM13 NC19接触抓取Gate所需)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/14_COLLISION_ASSET_MANIFEST.json (narrow_phase.status=ABSENT)","接触抓取验证缺几何输入","构建窄相资产并挂接NC19","no"
"BLK-MECH-10","mech","as-built质量/质心/惯量计量HOLD(EXTERNAL)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/19_OPEN_QUALIFICATION_HOLDS.csv (HOLD-04)","31.022864807342987 kg仅为设计/URDF账本值,无实物相关","硬件计量后建立as-built相关","yes"
"BLK-MECH-11","mech","硬件接触标定(CT01-CT05)+夹爪闭合时间+F/T传感器标定HOLD(EXTERNAL);T4接触合同AS_BUILT=null","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/19_OPEN_QUALIFICATION_HOLDS.csv (HOLD-05/06/07); 20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/10_GRIPPER_INTERFACE.yaml (as_built_contact_model null)","接触模型仅有界临时,真实抓取接触结论不可用","硬件测试后替换null并升级T4","yes"
"BLK-MECH-12","mech","SolidWorks原生重集成HOLD;夹爪原生V5 36行pose-induced干涉复测未完成(中性R1修正已PASS)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json (open_holds[0]); 19_OPEN_QUALIFICATION_HOLDS.csv (HOLD-12)","原生CAD链断点保留;36行原生账未重测","原生工具链重集成后复测36行","yes"
