git_status,path,size_bytes,sha256,category,recommended_action,reason
 M,.claude/settings.json,2014,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,.gitignore,440,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,01_project/competition/sim12_literature_closure.md,19247,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,10_research/knowledge_base/papers/README.md,2257,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,10_research/knowledge_base/papers/controller_validation.json,603,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,10_research/knowledge_base/simulation/sim_modules_index.md,3950,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,20_engineering/README.md,1013,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,20_engineering/system_design/README.md,1291,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,30_simulation/README.md,1428,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,PROJECT_MAP.md,7421,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
 M,PROJECT_START_HERE.md,7077,NOT_COMPUTED_FULL_INVENTORY,TRACKED_MODIFICATION,KEEP_REVIEW,Existing tracked user change; never auto-delete
??,.codex/agents/paper-knowledge-orchestrator.toml,782,31C611F9CFA2186CFD90251E8714A3B5251317123274DD8C1CB6047F782FB860,UNRESOLVED_UNTRACKED,REVIEW_BEFORE_DELETE,Untracked scope not proven regenerable
