link,package_name,package_path,package_sha256,object_count,source_donor_sha256,authority_role,dynamics_mass_authority,joint_authority,manufacturing_authority,status
base_link,B601_HIFI_VISUAL_BASE_LINK,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_BASE_LINK.FCStd,DF07591CFCD6A1C659EB733566F3E04391B611DCA350BE89E83B259C3415073F,3,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
link1,B601_HIFI_VISUAL_LINK1,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_LINK1.FCStd,29A0ADDDDCAFADC60BF31F69B885EF7972422A6A7223E6532B2378D00E75D683,12,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
link2,B601_HIFI_VISUAL_LINK2,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_LINK2.FCStd,D55FCC44EB52A9AFC14CB216958FB5BCDCF9224A09FE44A49377E41C6175691D,15,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
link3,B601_HIFI_VISUAL_LINK3,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_LINK3.FCStd,73941883458AF23F2713D777303FE9C5DA388F0B68C436B12A843D8414C51821,6,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
link4,B601_HIFI_VISUAL_LINK4,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_LINK4.FCStd,E9ADFD58939A3D14A9FB5FBEDB29F71308DF5B700497ED9B618641125ACC1E7B,9,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
link5,B601_HIFI_VISUAL_LINK5,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_LINK5.FCStd,035AB76CF9C58BB83C5A5CFC9FED2CA62B5DC3A5911271FA07131A16E5292B4A,2,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
link6,B601_HIFI_VISUAL_LINK6,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_LINK6.FCStd,740FFA03E395ADF1ADEA5F390ED1F5081103B9D6C7801B6BC7A8AEDE8E0970AE,5,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
gripper_link,B601_HIFI_VISUAL_GRIPPER_LINK,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_GRIPPER_LINK.FCStd,5042993A6E68FE33E8EAE17D7EEDA076336B694B489DB872D1A80C911555912C,79,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
gripper_left,B601_HIFI_VISUAL_GRIPPER_LEFT,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_GRIPPER_LEFT.FCStd,6C6EEF499E026671EBE541CE1775DDA2352989FEEC1DA10617AE12FF65A2A261,1,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
gripper_right,B601_HIFI_VISUAL_GRIPPER_RIGHT,F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\01_visual_packages\B601_HIFI_VISUAL_GRIPPER_RIGHT.FCStd,F901F625EFD171461C42A5DB17138C60B6B2B7EF8456C8881AD52554DF4AECE6,1,09C24124750B3FEF541850B722EF9ACC81B7F7AA055C34E460B061AF0D21BDB3,HIFI_VISUAL_GEOMETRY,EXCLUDED,EXCLUDED,DONOR_REFERENCE_ONLY,CREATED
