path_id,category,nominal_clearance_mm,structural_deflection,thermal_distortion,manufacturing_tolerance,assembly_error,joint_backlash,harness_sweep_margin,robust_clearance_mm,status
DEPLOYED_TO_SERVICE,CL-01_ARM_TO_SPACECRAFT,15.56,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
DEPLOYED_TO_SERVICE,CL-02_ARM_TO_SOLAR_BOX,12.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
DEPLOYED_TO_SERVICE,CL-03_ARM_TO_DEPLOYING_WING,0.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
DEPLOYED_TO_SERVICE,CL-04_ARM_TO_G07,10.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
DEPLOYED_TO_SERVICE,CL-05_ARM_TO_G08,20.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
DEPLOYED_TO_SERVICE,CL-06_ARM_TO_MID,20.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
DEPLOYED_TO_SERVICE,CL-07_GRIPPER_TO_SADDLE_HDRM,5.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
DEPLOYED_TO_SERVICE,CL-08_HARNESS_TO_STRUCTURE,8.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
Q0_TO_STOW,CL-01_ARM_TO_SPACECRAFT,15.56,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
Q0_TO_STOW,CL-02_ARM_TO_SOLAR_BOX,12.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
Q0_TO_STOW,CL-03_ARM_TO_DEPLOYING_WING,0.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
Q0_TO_STOW,CL-04_ARM_TO_G07,10.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
Q0_TO_STOW,CL-05_ARM_TO_G08,20.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
Q0_TO_STOW,CL-06_ARM_TO_MID,20.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
Q0_TO_STOW,CL-07_GRIPPER_TO_SADDLE_HDRM,5.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
Q0_TO_STOW,CL-08_HARNESS_TO_STRUCTURE,8.0,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,PROVISIONAL_TBD,UNKNOWN_MARGIN_INCOMPLETE
