path_id,category,min_clearance_mm,min_t,status
DEPLOYED_TO_SERVICE,CL-01_ARM_TO_SPACECRAFT,0.08465004183640785,0.0,PASS
DEPLOYED_TO_SERVICE,CL-02_ARM_TO_SOLAR_BOX,inf,0,PASS
DEPLOYED_TO_SERVICE,CL-03_ARM_TO_DEPLOYING_WING,inf,0,PASS
DEPLOYED_TO_SERVICE,CL-04_ARM_TO_G07,260.8839164097605,0.85,PASS
DEPLOYED_TO_SERVICE,CL-05_ARM_TO_G08,269.4172810264383,0.08000000000000002,PASS
DEPLOYED_TO_SERVICE,CL-06_ARM_TO_MID,232.60102560384527,1.0,PASS
DEPLOYED_TO_SERVICE,CL-07_GRIPPER_TO_SADDLE_HDRM,inf,0,PASS
DEPLOYED_TO_SERVICE,CL-08_HARNESS_TO_STRUCTURE,inf,0,PASS
Q0_TO_STOW,CL-01_ARM_TO_SPACECRAFT,0.08465004183640785,0.0,PASS
Q0_TO_STOW,CL-02_ARM_TO_SOLAR_BOX,inf,0,PASS
Q0_TO_STOW,CL-03_ARM_TO_DEPLOYING_WING,inf,0,PASS
Q0_TO_STOW,CL-04_ARM_TO_G07,260.57311150672905,1.0,PASS
Q0_TO_STOW,CL-05_ARM_TO_G08,269.4213892118395,0.010000000000000009,PASS
Q0_TO_STOW,CL-06_ARM_TO_MID,232.79798042883434,0.16,PASS
Q0_TO_STOW,CL-07_GRIPPER_TO_SADDLE_HDRM,inf,0,PASS
Q0_TO_STOW,CL-08_HARNESS_TO_STRUCTURE,inf,0,PASS
GRIPPER_OPEN_TO_CLOSE,CL-01_ARM_TO_SPACECRAFT,0.08465004183640785,0.0,PASS
GRIPPER_OPEN_TO_CLOSE,CL-02_ARM_TO_SOLAR_BOX,inf,0,PASS
GRIPPER_OPEN_TO_CLOSE,CL-03_ARM_TO_DEPLOYING_WING,inf,0,PASS
GRIPPER_OPEN_TO_CLOSE,CL-04_ARM_TO_G07,261.0837550162884,0.0,PASS
GRIPPER_OPEN_TO_CLOSE,CL-05_ARM_TO_G08,269.4216836900964,0.0,PASS
GRIPPER_OPEN_TO_CLOSE,CL-06_ARM_TO_MID,232.82487434518058,0.0,PASS
GRIPPER_OPEN_TO_CLOSE,CL-07_GRIPPER_TO_SADDLE_HDRM,inf,0,PASS
GRIPPER_OPEN_TO_CLOSE,CL-08_HARNESS_TO_STRUCTURE,inf,0,PASS
