feature_id,description,nominal_value,unit,tolerance_or_fit_class,classification,source
LB-001,outline square width,160.0,mm,null (HOLD_ALL_MANUFACTURING_TOLERANCES),CANDIDATE,matches Stage B B-001 footprint
LB-002,outline corner radius,4.0,mm,null (HOLD),CANDIDATE,matches Stage B B-002
LB-003,bridge thickness (x span),10.75,mm,null (HOLD),CANDIDATE,196.0 - 185.25 station derivation; spans M4/M5 exposed minimum gap
LB-004,bus-side mate face station x_S,185.25,mm,station frozen,FROZEN_STATION,M3R_TSM_PHYSICAL_STACK.yaml accepted_urdf_base_frame
LB-005,M3R-side mate face station x_S,196.0,mm,station derived,DERIVED_STATION,208.0 installation face minus Stage B thickness 12.0
LB-006,M6 clearance hole diameter (4x),6.6,mm,ISO 286-2 H11 CANDIDATE_FIT (+0.090/0),CANDIDATE,matches Stage B B-015
LB-007,hole pattern square spacing,140.0,mm,position tolerance null (HOLD_M6_PATTERN_POSITION_TOLERANCE),CANDIDATE,matches Stage B B-016 centres +/-70,+/-70
LB-008,nominal hole-edge ligament,6.7,mm,nominal only, not worst case,DERIVED,160/2 - 70 - 6.6/2
LB-009,central through passage diameter,40.0,mm,null (HOLD),CANDIDATE,aligned with Stage A/B central passage
LB-010,pattern clocking about +X_S,25.000014,deg,as-built datum,FROZEN_AS_BUILT,M3R_TSM_PHYSICAL_STACK.yaml pattern_clocking_about_x_deg
LB-011,pattern centre YZ offset,0.015994151;-0.086366070,mm,as-built datum,FROZEN_AS_BUILT,M3R_TSM_PHYSICAL_STACK.yaml pattern_center_yz_mm
LB-012,bridge volume,260072.391934085,mm3,B-rep measured,DERIVED,LOAD_BRIDGE_BUILD_RUN_V1.json
LB-013,material-derived mass candidate,702.195458,g,MATERIAL_DERIVED only,CANDIDATE_INACTIVE,volume x 2700 kg/m3 PMAT-AL6061-T6-SHEET-PLATE
LB-014,M6 fastener shaft candidate,6.0,mm,ISO 286-2 h9 CANDIDATE_FIT (0/-0.036),CANDIDATE_FIT,reference only, fastener selection HOLD
LB-015,hole-shaft clearance,0.600..0.726,mm,CANDIDATE_FIT,CANDIDATE_FIT,6.6 H11 vs 6.0 h9 arithmetic, unverified
LB-016,bridge YZ bbox half width (clocked),104.998388689,mm,B-rep measured,DERIVED,support of clocked rounded square
