hold_id,subject,status,basis
H-001,NATIVE_TOP_ASSEMBLY,HOLD,Loop1E bounded attempts exhausted; no validated final native top.
H-002,LIGHTWEIGHT_SLDASM,HOLD,Byte-identical staging derivative exists but native/lightweight cold validation did not close.
H-003,NEUTRAL_PACKAGE_ASSET_COMPLETENESS,CLOSED,All required neutral package inputs present and non-zero.
H-004,GRIPPER_R1_CONTINUOUS_SWEEP,CLOSED,GRIPPER_GEOMETRY_CORRECTION_PASS_NEUTRAL_ONLY
H-005,GRIPPER_MANUFACTURING_CLEARANCE,HOLD,PROVISIONAL_CLEARANCE_HOLD
H-006,GRIPPER_STRUCTURAL_STRENGTH,HOLD,HOLD
H-007,M3R_MASS_RECONCILIATION,HOLD,Owner/legacy 761.904197 g conflicts with V5 CAD-density 782.327248 g.
H-008,M3R_FASTENER_MOS_AND_PRELOAD,HOLD,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED
H-009,M3R_LOCATING_DOWEL_FIT,HOLD,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED
H-010,CONFIGURATION_NATIVE_READBACK,HOLD,Neutral B-rep is a single geometry; configuration enum is semantic for sim13.
H-011,PER_CONFIGURATION_BOUNDING_BOX,HOLD,No source-backed parametric readback for ten semantic configurations.
H-012,PACKAGE_ADDENDA_EXTERNAL_INTERFERENCE,HOLD,"Hash-identical main neutral retains its historical zero; V4/R1 addenda are not monolithically placed or narrow-phase validated, so composite scope is UNKNOWN and must fail closed."
H-013,LAUNCH_STOWED_CONFIGURATION,HOLD,Historical envelope exceedance 132.72 mm; not repaired or qualified here.
H-014,PARASOLID_EXPORT,HOLD,Not produced by fallback B neutral-copy route.
H-015,CAMERA_SELECTION_AND_CALIBRATION,HOLD,Keep-out only; camera product/optical/hand-eye authority absent.
H-016,HARNESS_MOVING_SWEEP,HOLD,Static OD9 keep-out exists; moving sweep not closed.
H-017,HDRM_RELIABILITY,HOLD,No product selection or physical release reliability test.
H-018,FLIGHT_STRUCTURE_QUALIFICATION,HOLD,No launch/vibration/thermal-vac qualification.
H-019,REAL_ROBOTIC_EXECUTION,HOLD,sim13 authorization is scene bootstrap only.
H-020,MONOLITHIC_NEUTRAL_INTEGRATION,HOLD,"Main neutral STEP, 23 V4 delta STEP files, and gripper R1 are package-level composite assets, not a single updated assembly B-rep."
