item,urdf_mass_kg,cad_mass_kg,delta_kg,authority,cad_comparison_status,notes
base_link,0.8366,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
link1,0.1613,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
link2,1.3266,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
link3,0.8353,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
link4,0.52,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
link5,0.383,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
link6,0.3663,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
gripper_link,0.181800159145243,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
gripper_left,0.0423278952416158,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
gripper_right,0.0423278949561274,,,ACCEPTED_URDF,HOLD_NATIVE_CAD_MASS_NOT_READ_BACK,Do not infer mass from visual or collision mesh.
B601_TOTAL_10_LINKS,4.695555949342986,,,ACCEPTED_URDF,URDF_AUTHORITY_CAD_COMPARISON_HOLD,10 links; 9 joints (6R + 1 fixed + 2P).
