frame,parent,source,translation_xyz,rpy,units,status,notes
spacecraft_assembly_frame,,F3R2_FRAME_MAPPING_V1,0 0 0,0 0 0,"mm,rad",NEUTRAL_ROOT_FRAME,Neutral interface root; not a native CAD screenshot assertion.
arm_base_frame,spacecraft_assembly_frame,F3R2_FRAME_MAPPING_V1 arm_mount_transform_mm,208 0 0,MATRIX_DEFINED_IN_SYSTEM_FRAME_TREE,"mm,rad",FROZEN_MAPPING,Equals accepted URDF base_link nominal frame.
link1_frame,arm_base_frame,accepted arm_b601_v1.urdf,-8.416E-05 0 0.08465,0 0 0,"m,rad",URDF_AUTHORITY,joint1 axis=0 0 1 type=revolute
link2_frame,link1_frame,accepted arm_b601_v1.urdf,0.020084 0.031625 0.05555,-1.5708 0 0,"m,rad",URDF_AUTHORITY,joint2 axis=0 0 -1 type=revolute
link3_frame,link2_frame,accepted arm_b601_v1.urdf,-0.264 0 0,0 0 0,"m,rad",URDF_AUTHORITY,joint3 axis=0 0 1 type=revolute
link4_frame,link3_frame,accepted arm_b601_v1.urdf,0.2426 -0.054 -0.001625,0 0 0,"m,rad",URDF_AUTHORITY,joint4 axis=0 0 1 type=revolute
link5_frame,link4_frame,accepted arm_b601_v1.urdf,0.078308 -0.0375 -0.03,-1.5708 0 0,"m,rad",URDF_AUTHORITY,joint5 axis=0 0 1 type=revolute
link6_frame,link5_frame,accepted arm_b601_v1.urdf,0.023692 0 0.04,0 1.5708 0,"m,rad",URDF_AUTHORITY,joint6 axis=0 0 1 type=revolute
gripper_link_frame,link6_frame,accepted arm_b601_v1.urdf,0 0 0.15971,0 -1.5708 0,"m,rad",URDF_AUTHORITY,gripper_joint axis=0 0 0 type=fixed
gripper_left_frame,gripper_link_frame,accepted arm_b601_v1.urdf,-0.042091 2.7531E-05 -1.3031E-05,0 0 -1.5708,"m,rad",URDF_AUTHORITY,gripper_joint1 axis=1 0 0 type=prismatic
gripper_right_frame,gripper_link_frame,accepted arm_b601_v1.urdf,-0.042091 -2.7531E-05 1.3031E-05,0 0 1.5708,"m,rad",URDF_AUTHORITY,gripper_joint2 axis=1 0 0 type=prismatic
gripper_contact_left,gripper_left_frame,F3R2_FRAME_MAPPING_V1 / interface semantics,SEE_SYSTEM_FRAME_TREE,SEE_SYSTEM_FRAME_TREE,"mm,rad",PROVISIONAL_HOLD,Contact frame is semantic; calibration/normal authority HOLD.
gripper_contact_right,gripper_right_frame,F3R2_FRAME_MAPPING_V1 / interface semantics,SEE_SYSTEM_FRAME_TREE,SEE_SYSTEM_FRAME_TREE,"mm,rad",PROVISIONAL_HOLD,Contact frame is semantic; calibration/normal authority HOLD.
camera_optical_frame,link6_frame,F3R2_FRAME_MAPPING_V1 / interface semantics,SEE_SYSTEM_FRAME_TREE,SEE_SYSTEM_FRAME_TREE,"mm,rad",PROVISIONAL_HOLD,Proposed only; camera selection and hand-eye calibration HOLD.
left_wing_hinge_axis,spacecraft_assembly_frame,F3R2_FRAME_MAPPING_V1 / interface semantics,SEE_SYSTEM_FRAME_TREE,SEE_SYSTEM_FRAME_TREE,"mm,rad",FROZEN_MAPPING,"Axis +X through (-61,143.15,0) mm from B-rep probe."
right_wing_hinge_axis,spacecraft_assembly_frame,F3R2_FRAME_MAPPING_V1 / interface semantics,SEE_SYSTEM_FRAME_TREE,SEE_SYSTEM_FRAME_TREE,"mm,rad",FROZEN_MAPPING,"Axis +X through (-61,-143.15,0) mm from B-rep probe."
