path,file_count,size_estimate,has_git,classification,evidence,project_relation,recommended_entry,notes
"F:\China Graduate Future Flight Vehicle Innovation Competition",29655,"9,173,802,039 B / 8.543769 GiB (2026-08-08 19:36 +08:00 final PL1 snapshot)",yes,A_PROJECT_ACTIVE,"git HEAD=5c5addea00dd branch=publication/stage3-integrity-closure; PROJECT_START_HERE.md; 20_engineering/30_simulation/40_evidence present; register L0","ROOT A: unique engineering truth (SEI Space Embodied Robot / B601)",A,"Working tree default porcelain=26; -uall=1,242 (2 tracked modified + 1,240 untracked files). Final snapshot taken after PL1 parallel writers stopped."
"F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering",n/m (subset of parent),subset,yes (in parent),A_PROJECT_ACTIVE,"cad/ config/ F3R1/F3R2 present; F3R1=363 files and F3R2=482 files; freecad_authoritative=36; HAGA_HIFI_FREECAD=21","engineering domain of ROOT A",A,"PL1-G copy-only salvage completed 2026-08-08 18:12-18:13; F3R1/F3R2 and verified extras are now present in ROOT A, hash-identical to the untouched governance source and still git-untracked."
"F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\freecad_authoritative",36,subset,yes (in parent),A_PROJECT_ACTIVE,"count verified 2026-08-08; START_HERE sec.3; matrix C1_A row","C1-A FreeCAD authoritative CAD (imported truth)",A,"matches SSOT count 36"
"F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\reference_donors\HAGA_HIFI_FREECAD",21,subset,yes (in parent),D_PROJECT_DONOR,"count verified 2026-08-08; matrix C1_B row: LINEAGE_DONOR NOT_CURRENT_TOP","C1-B HiFi visual donor (imported into main repo)",A,"donor already ingested; retained as lineage"
"F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1",n/m (3 entries: README/urdf/meshes_b601_gripper),subset,yes (in parent),A_PROJECT_ACTIVE,"arm_b601_v1.urdf sha256 raw=1bc2b7483cd8... norm=408147ddc9cc... BOTH MATCH accepted hashes (verified 2026-08-08); matrix MASS_LEDGER row","ACTUAL main-repo location of accepted URDF content + mass ledger (4.695555949342986 kg)",A,"PROJECT_START_HERE now points here. PROJECT_LIBRARY_INDEX and ASSET_AUTHORITY_MATRIX still retain the dangling B5_1R1 path; see contradiction C4."
"F:\China Graduate Future Flight Vehicle Innovation Competition\30_simulation",n/m (17 subdirs),subset,yes (in parent),A_PROJECT_ACTIVE,"listing: control_01/02, sim_01..sim_12, safety_00, e15_ancf_certification, e15_core_coverage, e16_sync_capture, asm_00_interface_preflight, common","simulation mainline of ROOT A",A,"matches START_HERE sec.6 (control_01~02, sim_01~12, safety_00) plus e15/e16/asm_00 extras"
"F:\China Graduate Future Flight Vehicle Innovation Competition\80_third_party\vendor\reBot-DevArm",177,"182,150,495 B / 0.169641 GiB",no (gitignored),D_PROJECT_DONOR,"count and logical bytes measured 2026-08-08; lib-index gripper_subsystem.hardware_vendor","gripper hardware vendor source (reBot B601 DM with gripper); disk dependency, needs backup",EXTERNAL,"gitignored per policy - exists only on disk; backup gap (DR P0)"
"F:\China Graduate Future Flight Vehicle Innovation Competition\40_evidence",n/m,subset,yes (in parent),C_PROJECT_HISTORY,"matrix C1_C row (Wave3 110 items + 25 pyc, TRACKED_IN_GIT)","evidence archived inside active repo",A,"tracked historical evidence; do not treat as current design input"
"F:\China Graduate Future Flight Vehicle Innovation Competition\B51R1_PHASE1_START_PACKAGE",3 entries (+ zip sibling),subset,yes (in parent),A_PROJECT_ACTIVE,"listing: B51R1_PHASE1_AUTHORIZATION.yaml, CODEX_B51R1_PHASE1_EXECUTION_PROMPT.md, README.md","B5.1R1 phase-1 start package (governance/authorization docs)",A,"top-level package + B51R1_PHASE1_START_PACKAGE.zip"
"F:\SPACE_ROBOTICS_REFERENCE_LIBRARY",17527,"3,745,466,618 B / 3.488238 GiB (2026-08-08 19:36 +08:00 final PL1 snapshot)",no,B_PROJECT_REFERENCE,"17,523 reconciled union artifacts + 4 PL1 root indexes (REFERENCE_LIBRARY_START_HERE.md and 3 CSV registers); health check REFERENCE_LIBRARY files=17,527 PASS","ROOT B: unique open-source/sim reference library (REFLIB1+REFLIB2 union)",B,"17,523 remains the union-artifact baseline; 17,527 is the current physical total."
"F:\SEI_PROJECT_ARCHIVE",514,"2,291,409,325 B / 2.134041 GiB (2026-08-08 19:36 +08:00 final PL1 snapshot)",no,C_PROJECT_HISTORY,"GIT_LINEAGE 3 + RECOVERY 200 + MIGRATION 142 + DESIGN_LINEAGE 100 + INTEGRATION 34 + CONFIGURATION_MANAGEMENT 34 + manifest 1 = 514","L3 historical evidence + CM SSOT home (20260807_CONSOLIDATION)",ARCHIVE,"CM3A six-file ruling/diff/receipt set was copied into archive and SHA-256 matched to the temp source; not current design truth."
"F:\SEI_PROJECT_ARCHIVE\CONFIGURATION_MANAGEMENT\20260807_CONSOLIDATION",34 (subtree of archive),subset,no,C_PROJECT_HISTORY,"PROJECT_LIBRARY_INDEX.yaml, CANONICAL_ROOT_REGISTER.yaml, ASSET_AUTHORITY_MATRIX.csv, PROJECT_STORAGE_ARCHITECTURE.md, PROJECT_ROOT_HEALTH_CHECK.py, CM2/CM3/CM3A, WAVE_REPORTS","CM SSOT directory (single source of truth set for storage/gates)",ARCHIVE,"CM3/CM3A now contains six byte-identical archived rulings/diffs/receipts; several older SSOT fields remain stale, see report."
"F:\_SEI_PROJECT_CONSOLIDATION_20260807",22035,"22,718,018,719 B / 21.157804 GiB (2026-08-08 19:36 +08:00 final PL1 snapshot)",no,C_PROJECT_HISTORY,"16 governance dirs 00_MANIFEST..15_CM3; register L5 TEMPORARY; WT contains 7,115 files","Wave1-4 governance temp area (manifests/receipts/bundles/worktree reconciliation)",RETIRE,"18:12 salvage removed the F3R1/F3R2 single-copy risk, but retirement remains blocked: WT 20_engineering/cad still has 3,432 files / 4,217,117,467 B pending lineage audit, and stage3_p1_p2_p3_closure has 880 files / 92,536,924 B pending uniqueness reconciliation."
"F:\_SEI_PROJECT_CONSOLIDATION_20260807\12_WAVE4\WORKTREE_RECONCILIATION",7115,"6,192,979,739 B / 5.767662 GiB",no,C_PROJECT_HISTORY,"F3R1 363 + F3R2 482 + 364 verified extras were copied to ROOT A at 18:12-18:13 with identical SHA manifests; source retained untouched","preserved pre-Wave4 worktree and remaining lineage/history candidates",RETIRE,"No longer the sole F3R1/F3R2 host. It remains a temporary compatibility root until the 3,432-file CAD lineage and other unchecked WT deltas receive explicit disposition."
"F:\_SEI_PROJECT_CONSOLIDATION_20260807\12_WAVE4\ARCHIVE",477,subset,no,C_PROJECT_HISTORY,"historical Wave4 archive; reconciliation doc explains original 462 physical = 521 copy ops deduped","original L3 evidence archive (Wave4)",RETIRE,"superseded by F:\SEI_PROJECT_ARCHIVE (514, including CM3A); CANONICAL_ROOT_REGISTER still points here and is stale, but the updated health check now points to F:\SEI_PROJECT_ARCHIVE."
"F:\_SEI_PROJECT_CONSOLIDATION_20260807\13_CM_CLOSURE",n/m (11 entries),subset,no,C_PROJECT_HISTORY,"updated PROJECT_ROOT_HEALTH_CHECK.py is byte-identical to archive copy (SHA256 464EF311...); expects HEAD 5c5adde, checks ROOT A F3R1/F3R2, Archive=514, GHMIG .git=0","CM-closure health-check mirror (START_HERE sec.11 path)",RETIRE,"current health result is FAIL 1 only: PRIMARY_CLEAN porcelain_entries=26; all storage/lineage predicates pass."
"F:\_SEI_PROJECT_CONSOLIDATION_20260807\15_CM3",n/m,subset,no,C_PROJECT_HISTORY,"AGENTS/CM3A ruling/diff/receipts remain as the source; six-file set copied to F:\SEI_PROJECT_ARCHIVE\CONFIGURATION_MANAGEMENT\20260807_CONSOLIDATION\CM3\CM3A and SHA-256 verified identical","CM3 governance source mirrored into project archive",RETIRE,"C7 is closed; preserve source until broader governance-root disposition."
"F:\Space_Embodied_Robot_GITHUB_MIGRATION",339,"5,411,587 B / 0.005040 GiB","no (0 .git dirs, verified)",C_PROJECT_HISTORY,"zero .git dirs; MIGRATION_ROOT skeleton; CM3 GHMIG_FINAL_RETIREMENT_RECEIPT.md proves authorized deletion of all 23 .git (~3.4 GB) + bundle archival; updated health check passes GHMIG_GIT_RETIREMENT","retired GHMIG (superseded snapshot); residual skeleton",RETIRE,"Register/architecture still model the old 23-.git HOLD and are stale; the health check is corrected; only final skeleton disposition awaits authorization."
"F:\Robotic arm",3575,"3,172,529,957 B / 2.954649 GiB",yes (12 .git dirs full-depth),D_PROJECT_DONOR,"High_performance_robotics_arm=2,600 files; zero-robotic-arm=974; zip=1; archived CM3A ROBOTIC_ARM_ASSET_CLASSIFICATION.csv accounts for 100%","CAD donor (runtime dependency already 0)",RETIRE,"HOLD per SSOT: do not delete or create new dependencies; donor classification is archived, but final retirement still requires authorization."
"F:\Mechanical structure modeling and simulation",642,"130,787,610,910 B / 121.805455 GiB logical file sum",no,B_PROJECT_REFERENCE,"Ansys_CAE, SolidWorks_Design, training/videos and generic robot/arm examples; register L4 INDEPENDENT_KNOWLEDGE_LIBRARY; no filename hit for SEI/B601/F3/SAFE","NON_SEI_GENERAL_CAE_LIBRARY; explicitly not competition truth",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED from SEI truth; do not merge wholesale. PL1-F may index only explicitly reusable generic CAE candidates."
