link_set,margin_deg,mode,L_mm,W_mm,H_mm,minimax_excess_mm,cross_section_cm2,fits_length_340p5,min_margin_to_hard_limit_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg
CORRIDOR_links1_6,0.0,FIT,333.457,219.257,219.257,-3.521,480.74,True,3.686,-139.180,-113.389,-3.686,-102.452,10.689,-60.215
CORRIDOR_links1_6,0.0,CORRIDOR,321.204,228.280,80.442,0.990,183.63,True,0.000,-0.154,-0.017,-0.000,-107.142,77.227,-0.164
CORRIDOR_links1_6,2.0,FIT,334.559,220.359,220.359,-2.970,485.58,True,3.223,16.974,-114.215,-3.241,-103.920,-66.605,-118.270
CORRIDOR_links1_6,2.0,CORRIDOR,320.840,238.669,80.250,6.185,191.53,True,2.000,-0.032,-2.013,-2.000,-93.805,0.091,0.008
CORRIDOR_links1_6,3.0,FIT,343.802,229.602,229.602,1.651,527.17,False,3.002,-2.341,-26.470,-3.002,86.473,-66.341,1.741
CORRIDOR_links1_6,3.0,CORRIDOR,320.679,243.272,80.279,8.486,195.30,True,3.000,-0.039,-3.000,-3.000,-93.779,0.152,-0.023
CORRIDOR_links1_6,5.0,FIT,346.866,232.664,232.567,3.183,541.10,False,5.000,-0.714,-27.489,-5.000,84.723,7.551,0.726
CORRIDOR_links1_6,5.0,CORRIDOR,320.021,252.479,80.257,13.090,202.63,True,5.001,-0.118,-5.001,-5.003,-93.761,0.056,-0.009
FULL_ARM,0.0,FIT,359.326,245.124,245.098,9.413,600.80,False,0.011,-0.125,-1.272,-0.199,89.944,-52.488,-0.746
FULL_ARM,0.0,CORRIDOR,352.110,340.500,200.042,62.905,681.14,False,0.002,0.982,-0.575,-0.394,89.952,-4.131,-1.551
FULL_ARM,2.0,FIT,361.238,247.038,247.003,10.369,610.19,False,2.000,0.022,-4.288,-2.438,87.954,53.282,0.053
FULL_ARM,2.0,CORRIDOR,367.109,340.500,200.002,70.404,681.01,False,2.000,0.118,-25.496,-2.122,87.954,-0.037,-0.022
FULL_ARM,3.0,FIT,362.526,248.326,248.326,11.013,616.66,False,3.000,0.053,-5.330,-3.037,86.954,-54.531,-1.250
FULL_ARM,3.0,CORRIDOR,363.233,315.922,200.165,68.467,632.37,False,3.000,1.976,-3.000,-3.491,85.111,-3.882,-1.209
FULL_ARM,5.0,FIT,365.942,251.742,250.246,12.721,629.97,False,5.000,-0.112,-7.750,-5.000,84.954,-54.932,-0.135
FULL_ARM,5.0,CORRIDOR,427.518,340.500,140.001,100.609,476.70,False,17.116,-89.159,-161.288,-17.116,47.884,21.060,81.147
