sha256,bytes,path,role
144E09124CE293E8A6598346331DF21886861D1A74B770CB9CCF251644BA6E5C,11419,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/sim13_post_terminal_handoff_addendum_v1/SIM13_POST_TERMINAL_HANDOFF_ADDENDUM_GATE_V1.json","append-only post-terminal handoff addendum gate"
14D30FD40AC60253C0716A71BA46950E1DF6B8E69DCE3F12690319B970A48674,5166,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json","immutable terminal parent gate"
42792057BD9FE08FDEABADEC23B5F2CFA06095A33D5A8F363633CE90BC6BE982,818,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/17_MECH_TO_EMBODIED_HANDOFF_GATE.json","immutable terminal handoff wrapper"
AF24635327DC96D0DAAABA6A074C9440C0BD0F984E1418AF6C6677C3D4CF77DE,875,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/18_SIM13_PREEXECUTION_GATE.json","immutable terminal Sim13 snapshot"
F37A4FD12DC95F5311333B552FBF4993361597503B969CF77309D19F8A80A792,2077,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/22_RELEASE_SHA256.csv","immutable terminal release manifest"
19822080E540DE1E46A383B49C60CD0FB4F40DB9DD4FD5EDDDD4F9C31DDD1E3A,9001,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/15_UNIFIED_R2_SYSTEM_INTERFACE.yaml","terminal interface lineage; not an Owner token"
DCE40C1DB8A318A077F0DD92A47F236BE55EAF2FD32B4E514D2BB67C9B19B4A2,26528,"20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/03_mass_properties/CONFIGURATION_LIBRARY_V1.yaml","M4 nine-configuration identity contract"
0C0994E3E59EDBB5FD43B1D75FC048C8414A735D28CA4FC36E8FC23E03692577,5440,"20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/12_release/MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_GATE_V1.json","M4 scoped release ceiling and 0/9 released properties"
3FD2557318E98748A37927977FA2925C18803668FE16391D824C184F646486BB,223714,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml","M7 R2 nine-configuration design properties"
5CD4EAF4C670477CC3BF86C83B2632BC4D61D844B2C2577DBFEDA25ECB23D368,4750,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/WP2_V3_R2_RECEIPT.json","current whole-file mass receipt hash"
34FD641D56B97A785A4D358574669EEA75A302BEF8419C4542CA5144097034B4,23619,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_effective_frontier_v2/C01_C09_M4_M7_CONFIGURATION_IDENTITY_BINDING_V1.yaml","append-only 9/9 M4-M7 identity binding"
D84AA23CE98A2A9C697B1F32E433C01C3F0AE3BD0B5C56EF9A218DD88911CBDA,17191,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/unified_r2_c01_no_route_c_sim_candidate_v2.urdf","Unified R2 C01 simulation-candidate URDF"
957CA67D7BCC2CB591DF2442F24532CA3DAE24F358FC69BF390AC1A20F6F021E,2891,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/UNIFIED_R2_URDF_EXECUTION_RECEIPT_V2.json","URDF execution receipt; no release credit"
13722965D5C558D3439A7CB1E77ABBF3C2094B88E9D62F80D664D0C4C90D4E21,54345,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json","historical full handoff 11/12 gate"
F3B444222E87509B66F712E623A4903748C7309C6396708EC02A0C1A54CDAA5C,7324,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_HARNESS_MISSION_COVERAGE_GATE.json","G12 harness mission-coverage source gate"
4D169444C0462B8E29B38FF620880351EBB85DABE12848E9D3D4C379F70B3643,4305,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/SIM13_BACKEND_WORK_ORDERS_V1.json","NC15 NC16 NC18 NC19 NC20 work-order baseline"
DBFFF803A656F4AD74934F0C886BC258E219CDC6904647D2855F15D2C3916906,2282,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/results/SIM13_V2_PREBIND_SOURCE_GATE_V1.json","frozen 15/20 prebind gate"
C9DAEC35A677B945C09C1BD8D4EEB6401E04EB92D11473BBC68F4D0DFE4E243F,40970,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/evidence/SIM13_V2_NEGATIVE_CONTROLS_PREBIND_V1.json","frozen 15/20 prebind evidence"
B105766EC1F19EEC25D4A40F4D4AFAEAB3955AE9E0EDFFCD691754E5A3DBB8E8,6716,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/interfaces/MECH_RL_SYSTEM_INTERFACE_V2.yaml","current C01 MECH-RL interface instance"
98370844B23F84E4E4E2F2930DEECF6B92788BBAEF2846469EF548E32BC93AD9,1186,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/evidence/SIM13_V2_INTERFACE_EMISSION_RECEIPT_V1.json","interface emission receipt and false authority flags"
E1FC5BEBCFF1437748EEF511D110D4FB70F4A503604E42C388CF70BC16860C3A,567,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_RUNTIME_FAIL_CLOSED_GATE_V2.json","NC15 NC16 NC20 future gate"
BC02C02B75C0BF7E36C8629C57509D38084F028BB6E586256D3506501684B61E,442,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_DYNAMICS_BACKEND_GATE_V2.json","NC18 future gate"
F13B755EA0B3A9BB34FBF1BCF90343347A53C28B04EF59A3A207ADABA624A81A,452,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_CONTACT_GRASP_GATE_V2.json","NC19 future gate"
F2A4E2ADD3F2CDC8948D60577EC022E541E8B28055D8B87675A04309E70AD871,16170,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/evidence/SIM13_V2_BACKENDS_NEGATIVE_CONTROLS_V2.json","5/5 executed backend work-order evidence"
4A813F2EE3B0585D63FA591415AB3B256F112D056BA89C879E02D7BCD068B6E4,1913,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json","post-terminal 20/20 negative-control gate"
A38F82538BF7776B0F7DC7319C851BA0FEE3805C5AB59606B5CBE4776306C5C6,26341,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/evidence/SIM13_V2_FULL_REGISTRY_20_OF_20_V2.json","full 20/20 registry and preserved historical lineage"
2C2FFC7A55244A33F03D905814AE101C1BD29E5600E70F1AB120FDB0357F64AF,3525,"30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_V2_BACKENDS_PACKAGE_VALIDATION_V1.json","10/10 package validation and 61-test evidence"
