state,instance_id,T_S_step_m,transform_equation,source_frame,target_frame,translation_unit,source_translation_unit,rotation_valid,same_geometry_as_873,same_transform_as_873,native_whole_plan_current,source_hash_verified
service,RB_longeron_-1_-1,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,-0.10715000000000001],[0.0,0.0,1.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_longeron_-1_-1,S,m,mm,True,True,True,False,True
service,RB_longeron_-1_1,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,-0.10715000000000001],[0.0,0.0,1.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_longeron_-1_1,S,m,mm,True,True,True,False,True
service,RB_longeron_1_-1,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.10715000000000001],[0.0,0.0,1.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_longeron_1_-1,S,m,mm,True,True,True,False,True
service,RB_longeron_1_1,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.10715000000000001],[0.0,0.0,1.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_longeron_1_1,S,m,mm,True,True,True,False,True
service,RB_end_frame_-1,"[[1.0,0.0,0.0,-0.18],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_frame_-1,S,m,mm,True,True,True,False,True
service,RB_end_plug_-1_-1_-1,"[[1.0,0.0,0.0,-0.167],[0.0,1.0,0.0,-0.10715000000000001],[0.0,0.0,1.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_plug_-1_-1_-1,S,m,mm,True,True,True,False,True
service,RB_end_screw_-1_-1_-1,"[[0.0,0.0,-1.0,-0.19],[0.0,-1.0,0.0,-0.10715000000000001],[-1.0,0.0,0.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_screw_-1_-1_-1,S,m,mm,True,True,True,False,True
service,RB_end_plug_-1_-1_1,"[[1.0,0.0,0.0,-0.167],[0.0,1.0,0.0,-0.10715000000000001],[0.0,0.0,1.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_plug_-1_-1_1,S,m,mm,True,True,True,False,True
service,RB_end_screw_-1_-1_1,"[[0.0,0.0,-1.0,-0.19],[0.0,-1.0,0.0,-0.10715000000000001],[-1.0,0.0,0.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_screw_-1_-1_1,S,m,mm,True,True,True,False,True
service,RB_end_plug_-1_1_-1,"[[1.0,0.0,0.0,-0.167],[0.0,1.0,0.0,0.10715000000000001],[0.0,0.0,1.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_plug_-1_1_-1,S,m,mm,True,True,True,False,True
