claim_id,requirement_id,claim_text,status,scope,gate_json,scenario_or_config_binding,result_csv,figure,git_commit,confidence,allowed_wording,forbidden_wording,open_reason,next_action
W1-SAFE-01,R7_物理安全决策,"冻结案例集下的运行时安全门可阻断已测试绕过并为可执行授权提供完整provenance",SUPPORTED_IN_SCOPE,"SAFE-00 16个预注册案例；非生产测试向量；冻结占位参数域",30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json,"A_low|S1_passive；omega=0.5 deg/s；mu=22/24；Gate/CSV行/YAML/时间/HMAC共同绑定",NA,NA,dae3a7839c50cb635c473ada2881d39e1de09da2,HIGH,"在冻结16案例和合同范围内，UNKNOWN未被授权且已测试绕过全部fail-closed；integrator-R复跑Gate原始SHA-256逐位一致","系统绝对安全；覆盖所有攻击；生产密钥管理已认证","模块PASS且CP2已记录APPROVED，但生产密钥运维未资格化","开展生产密钥管理和超出预注册面的独立安全测试"
W1-CTRL01-01,R2_末端轨迹精度控制,"冻结开环柔性与刚性锚可复现，C0与C1在T2上机器可区分",SUPPORTED,"CTRL-01-R配置；18工况；PROVISIONAL帆板参数",30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,"config bfacf8d1...；matrix 278dc59f...；T2=3 deg/s",30_simulation/control_01_end_effector_tracking/results/control_01_summary.csv,30_simulation/control_01_end_effector_tracking/results/control_01_comparison.png,3c74c2c1e8fbe61241ba20b369cca1da964b46b6,HIGH,"开环柔性锚偏差3.51e-11 deg、刚性锚3.61e-10 deg；C0/C1 T2位置p95比值1238.42；映射恒等式误差3.47e-18","CTRL-01整体通过；C1达到全部精度和约束要求","闭环C1-T1锚偏差0.1550 deg>0.05 deg，经C2-T1诊断(0.00645 deg)归因为冻结增益纯反馈滞后=真实负结果","保留负结果；若需消除须在新预注册中解析式重设计增益（禁止在本植物上调参）"
W1-CTRL01-02,R2_末端轨迹精度控制,"18个CTRL-01-R工况同时满足动量与能量机器审计",SUPPORTED,"FOH+逐区间DOP853账本；PROVISIONAL参数域",30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,"动量参考点=基座原点；能量账本与状态同积分器",30_simulation/control_01_end_effector_tracking/results/control_01_summary.csv,30_simulation/control_01_end_effector_tracking/results/control_01_comparison.png,3c74c2c1e8fbe61241ba20b369cca1da964b46b6,HIGH,"动量残差最大7.22e-16<1e-12；能量审计最大5.63e-12<1e-9（v0缺陷7.90e-2确诊为记账/离散化缺陷并修复，阈值未动）；integrator-R独立重生成全矩阵逐位复现","CTRL-01物理审计从未失败过；能量修复放宽了阈值","无",""
W1-CTRL01-03,R2_末端轨迹精度控制,"C2在T2上相对C1提高末端位置精度至少30%",NOT_SUPPORTED_NEGATIVE_RESULT,"冻结CTRL-01-R矩阵",30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,"C2与C1同一冻结场景与增益规则；T2位置参考为站位保持",30_simulation/control_01_end_effector_tracking/results/control_01_summary.csv,30_simulation/control_01_end_effector_tracking/results/control_01_comparison.png,3c74c2c1e8fbe61241ba20b369cca1da964b46b6,HIGH,"本轮C2位置指标变化-38.26%（v0为-51.91%，逐字保留）；姿态指标改善+99.85%仅作上下文；冻结假设钉在位置上未获支持","C2优于C1；删除负结果或改阈值变PASS","GC1_D为REPEAT=真实负结果（前馈在站位保持参考上新增关节运动）","如实入论文；任何新位置假设须重新预注册"
W1-CTRL01-04,R2_末端轨迹精度控制,"C3零空间项可独立降低基座反作用",NULL_RESULT_WITH_FAIR_COMPARATOR,"C3仅approach_5d；pose_6d机器拒绝TASK_NULLITY_ZERO",30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,"预注册C2_MATCH5（同任务同前馈，仅差零空间项）为隔离比较器",30_simulation/control_01_end_effector_tracking/results/control_01_summary.csv,30_simulation/control_01_end_effector_tracking/results/control_01_comparison.png,3c74c2c1e8fbe61241ba20b369cca1da964b46b6,HIGH,"C3相对C2_MATCH5的隔离基座速率效应+1.84e-5%（阈值>=5%），command reduction 9.98e-6%，跟踪退化-1.5e-5%：冻结增益下零空间效应为零结果；旧C1_MATCH5对比(-7.95%)仅整体方案上下文","该比较证明零空间控制有效；C3普遍优于其他方法","真实零结果（比较器缺陷已按R-3修复后确立）","保留零结果或在新预注册中解析式重设计C3目标/增益"
W1-CTRL01-05,R2_末端轨迹精度控制,"T3撤离全程满足服务星、目标与组合碰撞裕度",SUPPORTED_IN_SCOPE,"6个T3场景×501固定0.01 s节点=3006行；冻结触发合同",30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,"各方法冻结T2@15 s全状态触发；目标相位=omega*(15+t)连续传播；sim09冻结几何",30_simulation/control_01_end_effector_tracking/results/control_01_collision_timeseries.csv,NA,3c74c2c1e8fbe61241ba20b369cca1da964b46b6,HIGH,"静态/目标/组合最小裕度+0.01462/+0.11476/+0.01462 m全节点为正；v0的-0.02537 m归因于合同失配的v0触发设置","已证明节点间连续无碰撞；目标可视为静止","无（节点覆盖不主张节点间连续性）","保持全节点口径；硬件几何更新后重跑"
W1-CTRL01-06,R2_末端轨迹精度控制,"冻结T1/T3基准在PROVISIONAL级飞行约束下可操作",NOT_SUPPORTED_NEGATIVE_RESULT,"冻结场景与PROVISIONAL级约束限值",30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,"T1锚保留预注册q2=+60deg越URDF上限冲突；T1起点为奇异伸展位形；T3撤离0.5 m/3 s",30_simulation/control_01_end_effector_tracking/results/control_01_summary.csv,NA,3c74c2c1e8fbe61241ba20b369cca1da964b46b6,HIGH,"关节裕度-1.473 rad、sigma_min 6.64e-5、速度1.84 rad/s、加速度9.11 rad/s2、C1-T3位置p95 0.1902 m>0.11 m界=冻结基准与假设的结构性冲突（0.3125 m/s参考峰速>0.12 m/s扰动界），均为真实负结果","这些超限是实现缺陷；可通过放宽阈值消除","GC1_E/GC1_F为REPEAT=对冻结基准的诚实刻画","操作性T1锚拆分与速率可行T3属新预注册范畴，由PI决定是否开启"
W1-CTRL02-01,R3_姿态反冲稳定控制,"任务有效轨迹上A2轮组协调在逐轴轮箱内把动量级基座姿态峰值降为数值零",SUPPORTED_IN_SCOPE_MOMENTUM_LEVEL,"R-4预注册M2内点起点与两段式A1；理想轮组协调（无轮力矩限）",30_simulation/control_02_base_attitude/results/control_02_gate_check.json,"M2起点[0,-15,-15,0,0,0]deg裕度0.2618 rad>5×0.05门；A1终点恒等按构造成立；已撤回-5deg探针未复用",30_simulation/control_02_base_attitude/results/control_results.csv,30_simulation/control_02_base_attitude/results/control_02_overview.png,13a0c9692acdedcb39bc45f1a824f761715202f2,MEDIUM,"A2峰值降为数值零且轮箱占用80.2%/45.6%；诚实负结果：M2上A1(9.24 deg)劣于A0(8.73 deg)","A2已达成任务有效或飞行有效抑制；A2在轮力矩受限下仍为零峰值","Stage-A隐含轮力矩峰值0.033/0.021 N·m超过R-5 PROVISIONAL轮力矩0.01 N·m（3.3×/2.1×），跨层参数不一致（新审查发现W1-R12）","硬件轮力矩冻结后在同一力矩限下重评A2峰值"
W1-CTRL02-02,R3_姿态反冲稳定控制,"轮组存储与推力器外部角动量移除可按数值账本分开",SUPPORTED_IN_SCOPE,"Stage B四案×四控制器；L0动量级+GC7瞬态层",30_simulation/control_02_base_attitude/results/control_02_gate_check.json,"完整H向量逐轴轮箱；外部角冲量向量独立复算推进剂；0.3 Nms标量仅交叉检查",30_simulation/control_02_base_attitude/results/control_results.csv,30_simulation/control_02_base_attitude/results/control_02_overview.png,13a0c9692acdedcb39bc45f1a824f761715202f2,HIGH,"A_low轮组可行，C_transition需推力器，B_anchor/D_extreme速率不可行；推进剂独立审计16行差为0；+0.001 g篡改被正确拒绝","反作用轮移除了总角动量；CTRL-02扩大了冻结可行域","无","保持账本口径"
W1-CTRL02-03,R3_姿态反冲稳定控制,"捕获后组合体可在冻结时间窗判据内完成消旋稳定",PARTIALLY_SUPPORTED_PROVISIONAL,"R-5 PROVISIONAL执行器（轮0.01 N·m、脉宽20 ms、300 s窗/60 s保持/0.05 dps）；L1动量级执行器保真度",30_simulation/control_02_base_attitude/results/control_02_gate_check.json,"16行全部产出裁决：7稳/9不稳；域内8行中5稳且与sim_10/sim_12区域标签逐案一致；B_anchor两行为域外反事实",30_simulation/control_02_base_attitude/results/stage_b_transient_timeseries.csv,NA,13a0c9692acdedcb39bc45f1a824f761715202f2,MEDIUM,"PROVISIONAL执行器下A_low轮组即可稳、C_transition仅推力器方案可稳、D_extreme窗内不可稳；脉冲量子3.4e-4 Nms界住终端残差且代数预测与推进逐行一致","已验证硬件闭环稳定或瞬态控制性能；7/16可外推到真实执行器","最坏实现残差0.0108 dps为0.05 dps门槛的21.5%，硬件脉冲量子若增大约4.6×则A_low推力器行翻转（W1-R13）","硬件执行器参数冻结后整层重跑并重出稳定表"
W1-OVERALL,Partner_Requirement_Closure_Wave1,"Wave 1已满足进入下一Wave的全部条件",REPEAT,"SAFE-00、CTRL-01-R、CTRL-02-R和唯一集成R轮",10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json,"integration branch codex/wave1-integrator；模块源提交3c74c2c/13a0c96经合并可达",10_research/partner_requirement_closure/wave1_results/wave1_claim_evidence_matrix.csv,NA,"merges 08010df+00f9b8a, prereg 5eb418d",HIGH,"Wave 1整改轮已按预注册完成：全部实现缺陷修复，余项均为已归因真实负结果；按冻结裁决规则仍为REPEAT","Wave 1通过；可自动进入Wave 2","CTRL-01四子门REPEAT但全部分类为genuine_negative_result_preserved；两案分析见执行报告§8供PI终裁","PI在'继续Repeat'与'以文档化负结果收口'两案间终裁（CP6）"
