conflict_id,domain,left_claim,left_source,right_claim,right_source,adjudication,next_action,authority_effect
"CR2D-C047","c9_pre_repair_gate_quality","The first C9 package self-reported 18/18 local PASS","superseded Gate SHA 17C087BD1CB0016E08AE1DD0A55A16FB34662869C1693DBBE8B10FF4B6958628","Independent review found raw-radius under-envelope J4 qmin under-subdivision and contract-self-certified system state","C9_PRE_REPAIR_NOT_CLEAN_PASS_V1.json","Retain the first result only as SUPERSEDED_PRE_AUTHORITY_NOT_CLEAN_PASS with zero credit; accept only repaired Gate SHA 6046847D...1073","Never erase the negative history and preserve NC19 NC20 NC21 in future consumers","No historical or system credit from the superseded Gate"
"CR2D-C048","c9_effective_query_radius","Each analytic cable has 5.0 mm design radius including the declared 0.5 mm nominal-to-design margin","C9_ANALYTIC_CAPSULE_CONTRACT_V1.json","Polyline discretization adds a nonzero per-capsule Hausdorff error up to 0.005112823031626079 mm","C9_CAPSULE_INDEX_V1.json","Require every narrowphase query to consume effective_radius_mm=design_radius_mm+hausdorff_bound_mm exactly once; raw 5 mm and double debit both fail closed","Future M01 consumer must bind the named field and preserve NC19/NC20","Local conservative representation quality only; zero pair result"
"CR2D-C049","c9_j4_dynamic_discretization","The old 71-chord J4 section-5 topology met the q4=0 step target","C9_PRE_REPAIR_NOT_CLEAN_PASS_V1.json","At q4=-1.87 the old topology produced 2.935191855942784 mm maximum step above the 1.5 mm contract","independent pre-repair audit","Replace it with a fixed 139-capsule topology selected from the full accepted q4 domain; independently verify all 139 segments at q4=-1.87 0 and 1.57","Carry the 139 topology and NC21 into any production adapter","Closes local discretization defect only; no continuous path or hardware credit"
"CR2D-C050","c9_current_system_state_evidence","The C9 contract declares system state 1/150 0/11166 0/3 TMG4 HOLD G12 FAIL","C9_ANALYTIC_CAPSULE_CONTRACT_V1.json","A contract declaration cannot prove current external machine truth","Phase0 authority rule and pre-repair review","Validator and finalizer now hash-pin and read registry prebind release and G12 terminal handoff Gates; contract state is declaration-only and must match reconstructed external fields","Repeat these four current Gate reads on every replay and fail on drift","Proves unchanged state only; grants no registry or interface binding"
"CR2D-C051","c9_local_promotion","Nine C9 analytic capsule candidates pass the repaired 21/21 local Gate","LOCAL_CANDIDATE_GATE_V1.json","Current M01 registry still contains only 1/150 operational geometry authority rows and zero production pair queries","M01 registry and prebind Gates","Count nine items as local pending candidates only and advance local accounting 38 to 47 without editing the current registry","Complete R95 then request append-only Owner/system registry scene and policy revision","No pair SAFE edge path TMG4 G12 next-stage or release credit"
"CR2D-C052","c9_j3_dual_host","J3 produces 169 capsules on primary and alternate host representations","POSE_ADAPTER_SELF_CHECK_V1.json","Continuous J3 deformation law and production union acceptance remain UNKNOWN","C9 contract and local Gate holds","Preserve both host representations as diagnostic candidates and forbid automatic union or single-host selection","Owner must accept a production union law before system admission","J3 remains fail-closed and contributes zero system credit"
"CR2D-C053","c9_hardware_lineage","Analytic C9 centerlines radius and J4 follower kinematics pass bounded local checks","LOCAL_CANDIDATE_GATE_V1.json","P11 centerline/radius lineage as-built measurements and full J4 hardware coverage are not closed","C9 Gate holds and TMG-4 release row","Classify these as provisional design representations; null measurement fields remain null and zero fill is forbidden","Obtain Owner P11 decision and hardware/as-built evidence before production admission","No hardware qualification contact strength manufacturing or release credit"
"CR2D-C054","c9_vs_fixed_probe_history","The new C9 package validates analytic moving cable representations locally","LOCAL_CANDIDATE_GATE_V1.json","Historical fixed outer-harness probes remain 0/75 SAFE and 11/11 forced states UNSAFE","terminal mechanical release evidence","Keep the two evidence lines distinct; local C9 geometry neither erases the fixed-probe negative nor constitutes a current M01 pair evaluation","Bind current geometry and run the production pair oracle after Owner registry revision","TMG4 remains HOLD and G12 remains FAIL"
"CR2D-C055","c9_gate_state_vs_interface_binding","C9 directly pins four machine Gates including the terminal G12 handoff Gate","SOURCE_AUTHORITY_LOCK_V1.json","The C9 package does not directly bind 15_UNIFIED_R2_SYSTEM_INTERFACE.yaml","independent second-review scope note","Accept the four pins as current-state proof only; explicitly deny Unified R2 interface binding credit in V7","Bind the interface SSOT only in the future system registry and M01 scene package","Prevents state validation from being misrepresented as interface integration"
"CR2D-C056","route_c_remaining_work","C9 local work closes nine analytic cable candidate representations","LOCAL_CANDIDATE_GATE_V1.json","R95 ordinary and special-motion solid objects remain outside current system authority","CURRENT_R2_GAP_AND_CRITICAL_PATH_V6.md","Keep R95 count unchanged at 95 until each isolated host batch passes its own Gate; do not inherit C9 PASS","Finish Link2-B12 3x3 q1-q2 pose validation then continue R83","Only local pending accounting changes; system remains fail closed"
