conflict_id,domain,classification,claim_a,evidence_a,claim_b,evidence_b,current_adjudication,required_action,gate_effect
CR2-C001,governance,UNKNOWN_CONFLICT,"Goal says eight legal status classes","Codex Goal attachment","Goal enumerates only seven classes","CURRENT_R2_AUTHORITY_INDEX.json status_contract","Use only the seven explicitly enumerated values; do not invent an eighth","Owner may correct the contract wording in a future version","No scientific or release upgrade"
CR2-C002,CAD_authorization,UNKNOWN_CONFLICT,"Historical navigation says V2 CAD not authorized","10_research/knowledge_base/spacecraft_mechanical_design/README.md lineage","B3 records HUMAN_APPROVAL=GRANTED for a bounded V2 prototype","20_engineering/cad/Space_Embodied_Robot_CAD_V2_0/evidence/b3_00/HUMAN_APPROVAL_RECORD.yaml","Limited historical B3 authorization existed; it did not authorize flight release FEA URDF mutation dynamics control SAFE RL manufacturing or general new native CAD","Keep authorization statements time-scoped and capability-scoped","Current neutral STEP entry remains authoritative"
CR2-C003,memory_policy,UNKNOWN_CONFLICT,"Legacy joint system Gate requires runtime memory admission and records no low-memory override","30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json","Current Goal says memory is monitoring-only unless a real allocation failure OOM or severe paging occurs","Codex Goal attachment","Apply monitoring-only policy to new isolated research runs; preserve all legacy Gate fields and never call this a legacy Gate PASS","Reissue only through a new append-only execution contract if memory semantics must become machine authority","Legacy system Gate stays HOLD"
CR2-C004,mechanical_geometry,SUPERSEDED,"Native SolidWorks is the required current system geometry lane","Historical M7 native lineage","ODR-03 moves native SolidWorks out of the critical path and selects FreeCAD/neutral STEP","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml","Neutral STEP/FreeCAD is the current engineering entry; native assets are historical or local references","Do not require SolidWorks reintegration for current M01 work","No release upgrade"
CR2-C005,gripper_geometry,SUPERSEDED,"Thirty-six native-pose gripper interference findings block the current design","Legacy native gripper findings","Neutral R1 stroke validation reports 0 positive rail/palm overlaps over 144 samples from 0 to 71.5 mm","M7 ODR-04 and GRIPPER_ENGINEERING_PACK_V1.yaml","The 36 findings are superseded only for rail/palm digital geometry; physical contact actuator target and lifetime remain open","Retain hardware and contact holds","TMG4 remains HOLD"
CR2-C006,route_c_inputs,SUPERSEDED,"Route-C P01-P13 are 0/13 and CAD cannot start","Older navigation prose","Current physical input Gate passes 13/13 in bounded candidate scope","route_c/ROUTE_C_PHYSICAL_INPUT_GATE_V1.json","Use the current 13/13 candidate input record but do not treat it as as-built or release evidence","Bind full operational environment and hardware inputs later","TMG4 remains HOLD"
CR2-C007,odr60_selection,SUPERSEDED,"Owner has not selected ODR-60 Option A","ODR-60_DECISION_REQUEST.json","Owner selected AUTHORIZE_OPTION_A_FIXED_ENDPOINT_M01_TRAJECTORY_SEARCH","ODR60_OPTION_A_EXECUTION_CLOSURE_V1/OWNER_SELECTION_RECORD_V1.json","Option A selection is current but it does not itself authorize pair queries or path execution","Complete scene collision oracle and continuous-edge bindings","Path search remains false"
CR2-C008,route_c_negative,HISTORICAL_NEGATIVE,"V9F penetrates on the old M01 straight path with gated clearance -17.313396996697108 mm","ROUTE_C_TERMINAL_CURRENT_FRONTIER_V3.json","Option A permits searching a different bounded path/domain","OWNER_SELECTION_RECORD_V1.json","The V9F plus old path combination is falsified; the result does not prove every 6-DOF path or routing architecture impossible","Preserve the negative and search only after authority closure","TMG4 remains HOLD"
CR2-C009,flex_lineage,HISTORICAL_NEGATIVE,"Legacy e15 ANCF cross-solver difference 5.64 percent exceeds 5 percent","e15 certification Gate","Current seven-mode V3 plus E23 passes 17/17 and 18/18 with Radau/BDF 1.81365e-05","R2_FULL_FLEX_HF_ROM_GATE_V3.json and E23_R2_FULL_FLEX_COUPLED_GATE_V1.json","Both are valid on different lineages; e15 remains an immutable negative while E23 is the current provisional coupled line","Never overwrite e15 or inherit E23 into untested full-system hardware","Flex remains provisional"
CR2-C010,sim13_scope,UNKNOWN_CONFLICT,"Terminal mechanical release text records Sim13 15/20","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json lineage","A later backend package reports 20/20 negative controls","SIM13_20_OF_20_GATE_V1.json","The later result closes an ABORT_ONLY backend sub-scope; the terminal parent was not reissued and non-abort/system binding remain blocked","Bind current mechanical evidence and satisfy all system gates before non-abort","TMG6 and system release remain HOLD"
CR2-C011,mujoco_scope,UNKNOWN_CONFLICT,"MuJoCo V1 says research_execution_go=true","R2_MUJOCO_FREE_FLOATING_PRECONTACT_GATE_V1.json","The same Gate sets every parent collision contact flex hardware target attachment next-stage and release authority false","R2_MUJOCO_FREE_FLOATING_PRECONTACT_GATE_V1.json authority_boundaries","Research execution go means diagnostic reuse only; it is not system authorization","Keep V1 immutable and create V2 as a separate append-only package","No parent Gate credit"
CR2-C012,competition_scope,UNKNOWN_CONFLICT,"Competition demo Gate is 17/17 DEMO_READY","10_research/competition_convergence/competition_gate_check.json","R2 joint system Gate is 4/13 and not ready","30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json","Competition claim is limited to the offline media/demo chain and cannot substitute for engineering qualification","Use both claims with their explicit scopes","System remains HOLD"
CR2-C013,append_only_gate,UNKNOWN_CONFLICT,"Increment V3 gate_pass=true","CURRENT_R2_MECHANICAL_DYNAMICS_CONTROL_INCREMENT_GATE_V3.json","Original time-domain control candidate remains 19/20 REPEAT_REQUIRED and parent gates remain HOLD","Same V3 Gate maximum claim and authority boundaries","V3 passes append-only evidence integrity/rebinding only; it explicitly grants no control release","Do not collapse local evidence PASS into parent PASS","Control remains HOLD"
CR2-C014,collision_asset_count,UNKNOWN_CONFLICT,"Six new link proxy candidates pass local geometry 6/6","B601_RIGID_LINK_OPERATIONAL_PROXY_LOCAL_GATE_V1.json","M01 system registry still has only 1/150 operational-authority asset","M01_SCENE_AND_COLLISION_PREBIND_GATE_V1.json","Candidate count is 6 and system operational count remains 1 until Owner review and registry reissue","Owner-bind approved candidates through an append-only registry revision","No pair or path authority"
CR2-C015,r5_execution_scope,UNKNOWN_CONFLICT,"R5 preexecution Gate says PASS_EXECUTION_ADMITTED","R5_RUN6 verification/R5_PREEXECUTION_GATE.json","R5 Gate candidate says R5_REPEAT_REQUIRED and threshold authority HOLD","R5_RUN6 verification/R5_GATE_CANDIDATE.json","Execution lifecycle admission passed; scientific/control/contact release did not","Resolve threshold authority and rerun the registered science Gate","No control or contact release"
CR2-C016,master_geometry_scope,UNKNOWN_CONFLICT,"Master FCStd/STEP is the current geometry entry","00_RELEASE_GATE and ODR-03","The same geometry uses a frame-axis witness arm and envelope proxies rather than complete operational narrowphase shapes","CAD authority records and collision manifest","Current engineering entry does not equal flight geometry manufacturing authority or continuous collision authority","Promote each operational asset with units frames hashes and validation","TMG4 remains HOLD"
CR2-C017,time_domain_tracking,UNKNOWN_CONFLICT,"External audit passes for time-domain diagnostic integrity","CTRL_R2_TIME_DOMAIN_PRECONTACT_TRACKING_EXTERNAL_AUDIT_GATE_V1.json","Original time-domain candidate is 19/20 with G04 parent fingerprint mismatch","CTRL_R2_TIME_DOMAIN_PRECONTACT_TRACKING_CANDIDATE_GATE_V1.json","The audit validates the diagnostic evidence and scope; it does not repair or reissue the original Gate","Rebuild against the frozen parent fingerprint and rerun the original criterion","Precontact tracking remains not validated"
