id,group,object,status,completed_evidence_scope,remaining_design,closure_responsibility,required_input,next_concrete_operation,closure_evidence,evidence_paths,execution_root_cause,next_source_edit,acceptance_action,execution_state,new_evidence
A01,A,705 三态固定姿态增量,COMPLETE_SCOPED_SUBITEM,705 组件身份及原生变换已验；1086 实体口径=5 新实读+1081 继承,此子项关闭；不代表承载连接或连续机构完成,整机 CAD,无需重建未变对象,保持父本哈希，新增变化另走 H02,已存三态真实冷读、父子身份一致,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\DELIVERY_STATUS.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\FINAL_INTEGRITY.json,,,,UNCHANGED_PARENT_SCOPE,
A02,A,R01 32 套连接的 128 标准件选型与材料模型,COMPLETE_SCOPED_SUBITEM,4 类具体件已选；16 M3x10、16 M3x12、64 ISO7092 垫圈、32 ISO4032 螺母；128 分配模型,材料/标准选择子项完成；几何集成在 H02，连接承载在 A03,结构连接工程,现有 4 类标准件及源模型,保存料号与材料选择，不重复选型,820 项选择/源绑定/解析检查；模型质量不是目录精确质量,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\R01_FASTENER_SELECTION.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\R01_FASTENER_CHECK_RESULTS.json,,,,UNCHANGED_PARENT_SCOPE,
A03,A,R01 与其余必需连接的有效啮合、防松、工具及承载,INTERNAL_DESIGN_OPEN,R01 名义夹层和突出量有计算；其余件有实例责任归属,实际工具尚未选，夹层公差/不完整螺纹、预紧/防松和载荷验算未闭合；其余连接件不能继承 R01 选择,机械连接工程,当前孔系/材料/夹层公差；允许载荷；工具外形,按现有连接组逐组绑定标准件与公差链，形成预紧/抗滑移/剪拉/承压计算及工具扫掠,每组真实连接图、BOM、防松与同载荷算例通过,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\R01_FASTENER_SELECTION.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\OPEN_MASS_INPUTS.csv,,,,UNCHANGED_PARENT_SCOPE,
A04,A,六片太阳翼基板与边框实际固定,INTERNAL_DESIGN_OPEN,4.5 mm 轴距及 8 边框改型源已定义,基板仍无孔、EDGE_INSERTS_TBD；板材/铺层、嵌件、紧固及粘接载荷路径未定,太阳翼结构工程,基板材料/厚度公差/嵌件许用，CIC 成形图,完成叶板—边框实体接口与公差图，绑定弯曲/剥离/保持载荷，再更新相关几何,真实连接可装配；基板/胶/嵌件承载及热胀失配有界,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\solar\SOLAR_DESIGN.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\SOLAR_HINGE_DELTA.json,,,,UNCHANGED_PARENT_SCOPE,
A05,A,电池、高功率支路、推进及状态传感器安装,INTERNAL_DESIGN_OPEN,原 705 设备/支撑身份可追溯；新增候选器件有名义外形需求,新增电池及功率级安装未实现；推进受控安装面/端口未绑定；保持与状态检测的真实件未闭合,设备安装工程,B03 最终器件、D02 机械 ICD、E06 状态设备,在现有外壳净空间内核对已有设备，必要局部替换支架与保持件，完成拔插/维护路径,每个必需设备被保持且孔面/工具/线缆/热界面一致,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\power\HIGH_POWER_CANDIDATE.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\propulsion\PROPULSION_SELECTION_REVIEW.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\DELIVERY_STATUS.json,"Existing high-power battery/converter candidate requires parallel current sharing and has incomplete charge/interfaces; select a documented single high-current protected pack and single converter, integrate without claiming unknown margins.",按893源表重做8主干支撑、4段释放分支及其停车态入口冲突；完成实际电池/PMM/设备保持、护套、强度热质量及端接。,按实际子项证据复核；不升级整项状态,CHB_CORE_NATIVE38__RRC_BATTERY_RELAYOUT_OPEN,55件电池舱局部STEP：38实例迁移、甲板四孔、导航四支座、驱动载板避让、桥板穿孔/M3RB开边槽及OD6/R21主线；源SHA/实体检查/8快照已绑定。厂家最大电池包络不是OEM实体。 | results/BATTERY_BAY_REVIEW.json | V9：推进两线/双孔夹具/支柱/拉杆/8复用紧固件及甲板17实例已集成到三态各893行源表；85件局部STEP已验证，12件未闭环线束仍在完整表中。
A06,A,责任件工程图、公差、处理及装配顺序,INTERNAL_DESIGN_OPEN,现有参数源与原生装配、端口局部说明已存在,最终变化责任件同源工程图和全系统装配工艺未完成,机械制图/装配工程,A03/A04/A05 已校核的设计源,从最终源生成材料/处理/基准/公差图与 BOM；按真实装入路径定顺序,图号修订与实际件/实例一一对应、关键尺寸可检验,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\README.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\functional_closure\docs\PORT_INSTALLATION_AND_CONTROL_ZH.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\solar\SOLAR_DESIGN.md,,,,UNCHANGED_PARENT_SCOPE,
B01,B,低功率 EPS 配置与负载限制合同,COMPLETE_SCOPED_SUBITEM,P60 ACU X1/PDU X2、8S BPX；Dock4 A/BPX6 A；360 W 原工况保留,子项仅配置和限制定义，不证明全部能源链,电源工程,已锁定合同,继承限流与配置事实，禁止绕保护接臂,限制同时进入新电路和预算,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\power\POWER_CONTRACT.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\POWER_CLOSURE_STATUS.json,,,,UNCHANGED_PARENT_SCOPE,
B02,B,P60/BPX 同修订线束、断路与充电保护,EXTERNAL_INTERFACE_UNBOUND,旧 BPX pin14=NC 与 Dock kill 表冲突已明确记录,同配置针表/母板选件、保护回流/平衡/充电配套未绑定；仅按 NC 不等于整个组合兼容,EPS 接口工程；Owner 提供可访问原厂受控资料,实际组合的配置/配对面针表、保护及中断曲线,确认唯一组合后修订原生电气与 MASTER_FROM_TO，校核断路/充电/保护协同,必要能源链端点无猜测且故障路径有界,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\power\POWER_ENDPOINT_CONTRACT.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\ecad\EXCLUDED_REQUIREMENTS_AND_NC.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\POWER_CLOSURE_STATUS.json,,,,UNCHANGED_PARENT_SCOPE,
B03,B,独立星上 360 W 机械臂完整受保护电源,INTERNAL_DESIGN_OPEN,单电池与原 Dock 已被功率下界排除；两 MB2590+两 i7C PC3 进入计算候选,电池充电/连接视向、全范围均流/BMS配合、瞬态、单故障、原理图/PCB/安装与热路径尚未完成,功率电子与电池工程,同版本电池充电/保护/连接 ICD；DM 允许母线；器件保证界,对选定候选完成充电与两路功率级/保护电路，核算最坏均流/瞬态并设计导热安装,完整可接线电路与料号、上下界计算和相关 CAD；不依赖 RSP/USB,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\power\HIGH_POWER_CANDIDATE.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\power\POWER_DESIGN_UPDATE.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\POWER_COMPLETION_ANALYSIS.json,"Existing high-power battery/converter candidate requires parallel current sharing and has incomplete charge/interfaces; select a documented single high-current protected pack and single converter, integrate without claiming unknown margins.",电池端接口、保险电容、热SOA和充电源,核验真实增量；整项状态保持,ACTUAL_SOURCE_INTEGRATION__WHOLE_ROW_STILL_OPEN,受保护电池独立主辅支路；PMM20A主路停用；360W保持 | power/LOAD_SIDE_BRAKE_CALCULATIONS.json; results/BRAKE_CONTACT_GEOMETRY.json
B04,B,84 CIC 的完整机电连接和温度电压,EXTERNAL_INTERFACE_UNBOUND,84 玻璃投影层 7x2 布局、层厚、正负翼朝向已算；0.3024 kg 为整个 CIC 名义质量,完整成形焊片外形、串接/阻断/绝缘/应变释放、胶材料及冷温 Voc 保证尚未关闭,太阳阵列机电工程；AZUR 图纸接口,同版 ZP0004289 成形 STEP/公差与允许再成形；电气极性/焊接条件,按真实 tab 做单板 7x2 互连布局与 12 串阻断/走线；超包络则改布局并重算,全 CIC/互连均可装、7S2P 端点与 MPPT 匹配、全温电压/遮挡有界,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\solar\TAB_INTERFACE_REVIEW.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\solar\SOLAR_LAYOUT.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\power\POWER_CONTRACT.json,,,,UNCHANGED_PARENT_SCOPE,
