evidence_no,title,file,classification,source,status,sha256
1,TOTAL ASSEMBLY — ISOMETRIC,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E01_ASSEMBLY_ISO_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Fallback-B neutral baseline,EVIDENCE_ONLY,8648E4F6422DCAD50D3DF60F5911B35E2D2AEE7972921CD01FB9C878D775AC61
2,TOTAL ASSEMBLY — FRONT,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E02_ASSEMBLY_FRONT_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Fallback-B neutral baseline,EVIDENCE_ONLY,2DC0A5E7E9EBA44A0D1CE80B240ACF40663B9CF1DB26D0A16B941EE27080E360
3,TOTAL ASSEMBLY — SIDE,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E03_ASSEMBLY_SIDE_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Fallback-B neutral baseline,EVIDENCE_ONLY,E94E38DD8A2B804705F3CA1B5B4DE3D08E17A7ADEBE36AEE5A91D0D3CCEA1D08
4,TOTAL ASSEMBLY — TOP,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E04_ASSEMBLY_TOP_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Fallback-B neutral baseline,EVIDENCE_ONLY,115EB8BB397BCCAA931879D6278BCDEECB39A83E07193844EBA37AFF13B4E65A
5,B601 INSTALLATION INTERFACE,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E05_M3R_INSTALL_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,M3R authority / frame mapping,EVIDENCE_ONLY,7D78F904945BBF4049D780FF415E0B7B412CF8435C02D877642E1078DA32D8F5
6,M3R STAGE A,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E06_STAGE_A_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,V4/V5 Rev-B2 delta,EVIDENCE_ONLY,47ED77D80925CBD658BC6D41F4CEE10506A34C017D9D785040B5A69522BA423C
7,M3R STAGE B,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E07_STAGE_B_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,V4/V5 Rev-B2 delta,EVIDENCE_ONLY,7B431201A49727D5760254E1202A14F90EBFCBD6F9C6AD718CEB32DF09876A29
8,M3R TOOL ACCESS,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E08_TOOL_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Interface schematic; physical fit-up HOLD,EVIDENCE_ONLY,5B666B67C7376D58A04CA3182C4EAC742F5A9737EA6391D207E4B357EFC0D1F2
9,M3R CABLE CHANNEL,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E09_CABLE_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,V4/V5 envelope authority,EVIDENCE_ONLY,E8EFAD86ACB0D7B000C1C93FA2CAAC00A2A2C576A3E9DB3841DAD9FDE01B2063
10,DEPLOYED_NOMINAL,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E10_CONFIG_DEPLOYED_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Neutral semantic configuration,EVIDENCE_ONLY,D0BE01F699FBD78DD5CDD03B79D892A62ADD5ABC961CB1220DC2F408B0486FCD
11,LEFT_PANEL_FAIL,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E11_CONFIG_LEFT_FAIL_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Neutral semantic configuration,EVIDENCE_ONLY,E0B056BDA811D425C0E3A9BCD6542B0D758D7081B1BE9AD1BF8BE2EE1603088E
12,RIGHT_PANEL_FAIL,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E12_CONFIG_RIGHT_FAIL_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Neutral semantic configuration,EVIDENCE_ONLY,3960B0FA55F800BD2F120857F561F06D252B39AAE3B2D84E5EE48C794D046027
13,BOTH_PANEL_FAIL,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E13_CONFIG_BOTH_FAIL_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Neutral semantic configuration,EVIDENCE_ONLY,418363467A8EA33CE7FD21C9C6C4B8C386A8D1C944B0AA900CB49528B28CDC7B
14,ARM_STOWED_ONORBIT,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E14_ARM_STOWED_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,F3R2 frozen stow pose semantics,EVIDENCE_ONLY,BAAAC1F1DE93BF7F2D150B6BCF86BE8A7BE9532A14D61A64484DF5D0A9CA4B1D
15,ARM_TASK_READY,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E15_ARM_TASK_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Accepted URDF q=0 semantic anchor,EVIDENCE_ONLY,683FB4F5ED95140EE817F6270A73AA46A7240DF385387C0B680E80C63F726169
16,GRIPPER_CLOSED,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E16_GRIPPER_CLOSED_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,URDF prismatic=0 m,EVIDENCE_ONLY,508159647B9998A3306517F167D6014C985557D9EFB6422F17CD9652183D763E
17,GRIPPER_PREGRASP,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E17_GRIPPER_PREGRASP_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Semantic position 0.047667 m,EVIDENCE_ONLY,17973BBC037EB39510699B6F1F930AB7C7C201F97A661F7C8311642DF721D720
18,GRIPPER_OPEN,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E18_GRIPPER_OPEN_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,URDF prismatic=0.0715 m,EVIDENCE_ONLY,49BDB15F0D37D3521369199135C7875C428BB9CD78E191CBD5AF452E3275FFE5
19,GRIPPER FULL-STROKE SWEPT VOLUME,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E19_GRIPPER_SWEEP_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json,GRIPPER_GEOMETRY_CORRECTION_PASS_NEUTRAL_ONLY,3B870EF142F3FE5CB7E2258353DA14BD81BA39C4A230CF1D81D57E9F90C8BD68
20,EXTERNAL INTERFERENCE CLASSIFICATION,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E20_INTERFERENCE_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Main neutral historical class-3=0; composite addenda UNKNOWN/fail closed,EVIDENCE_ONLY,224BF3D18D736542869452B58570F73D11822B3014E7ABFDD3EE83B4882ECDA0
21,ENGINEERING DRAWINGS AND BOM,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E21_DOCUMENTS_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,Generated neutral interface evidence,EVIDENCE_ONLY,7A620A27987059159FE9780985C1E6D00EAD4EF460D396461B6FB8DEBB82D9A3
22,NEUTRAL PACKAGE INDEPENDENT REOPEN,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/05_visualization/E22_PACKAGE_NEUTRAL_EVIDENCE.png,NEUTRAL_INTERFACE_EVIDENCE_NOT_NATIVE_CAD_SCREENSHOT,PASS,PASS,5F0B2F1C4631BCDFA2A752C76CF793AB49E6A8FBD8CB846EA5869F6C8F2D9E37
