action_id,priority,work_package,blocking_requirement,action,required_authority_or_evidence,exit_metric,current_status
M3-ACT-001,P0,M3R_INTERFACE,M3-INT-001,"Measure and approve the live spacecraft load-bridge mating geometry and root-to-M-frame relation","controlled metrology; interface owner approval","mating axes datums and transform complete with uncertainty",OPEN
M3-ACT-002,P0,M3R_INTERFACE,M3-BOM-001,"Select exact M4 M5 M6 fastener stacks locator and installation process","fastener standards; lengths; grades; engagement; locking; preload scatter; tool access fit-up","BOM specification HOLD count=0 for load-path hardware",OPEN
M3-ACT-003,P0,GRIPPER_R1,M3-GRP-002,"Establish palm/rail datums minimum wall and functional clearance through controlled metrology","drawing datum scheme; calibrated measurements; process capability; uncertainty budget","C_min evaluable and minimum wall accepted",OPEN
M3-ACT-004,P0,GRIPPER_R1,M3-GRP-002,"Select gripper materials finishes lubricant and target contact pair; characterize vacuum friction and wear","approved material/process specs and representative contact tests","force/friction/contact-pressure fields released with uncertainty",OPEN
M3-ACT-005,P0,MASS_PROPERTIES,M3-MAS-002,"Close bus and both solar-array mass CoM inertia and deployed/failed transforms","traceable weighing; CoM/inertia identification; calibrated fixtures; uncertainty budget","required component authority complete",OPEN
M3-ACT-006,P0,MASS_PROPERTIES,M3-MAS-002,"Release nine B601 joint vectors target capture transforms and system root frame","configuration owner records; frame ICD; target mass-property authority","9 of 9 configuration rows numerically evaluable",OPEN
M3-ACT-007,P0,MATERIALS,M3-MAT-001,"Approve exact material forms conditions processes finishes and allowables","procurement specifications; certificates; environment screening; approved allowable basis","released-item material/process completeness=100 percent",OPEN
M3-ACT-008,P0,TOLERANCE,M3-TOL-001,"Populate B601-M3R gripper and hinge chains with signed tolerances thermal ranges and correlations","released drawings; CTE authority; measurement uncertainty; conformity rules","all mandatory chains evaluable against functional limits",OPEN
M3-ACT-009,P0,LOADS_AND_FEA,M3-FEA-001,"Authorize capture load envelope boundary/contact definitions and analysis acceptance criteria","Owner load authority; approved materials; fasteners; mass; mesh/convergence plan","FEA entry criteria 9 of 9 PASS",OPEN
M3-ACT-010,P1,VALIDATION,M3-PAR-003,"Conduct representative M3R/B601 physical fit-up including cable and tool envelopes","representative hardware; tooling; harness definition; fit-up report","forced-fit count=0 and required access clearances accepted",OPEN
M3-ACT-011,P1,NATIVE_INTEGRATION,M3-GRP-001,"Reintegrate R1 into a controlled assembly and remeasure the 36 native V5 interference rows","approved configurable assembly and independent readback","native remaining prohibited interference count=0",OPEN
M3-ACT-012,P1,SIM13,M3-RL-001,"Release V2 only after contact mass frame collision and flexible-body authorities close and regression passes","formal change approval; all hashes; Sim13 regression evidence","runtime release approved and unsafe_unknown_allow_count=0",OPEN
M3-ACT-013,P2,DOE,M3-RL-001,"Run the seeded 18-cell categorical pilot only after its execution gate closes; estimate variance before setting replication","contact-physics gate; success/stability criteria; uncertainty model","pilot complete with independent seeds and no pseudoreplication",HOLD_NOT_EXECUTABLE
