path,sha256,bytes
__pycache__/win_job.cpython-313.pyc,d92de16d6cf3778f4b8a91923ae61ff9be5d781035784477abee8c9cebccf440,5864
CAD_BRIEF.md,4893253125ec5af4c34f97fb9349590e8fb7066ae712017aca6b81a1115973e6,2689
candidate/__cadgen__/models/.a3200_carrier.step.py.generation.lock,40704397074ef0e7e6420ae35f6195a29c6fadef3531460bec78394a67f81336,32
candidate/__cadgen__/models/.a3200_carrier.step.py.generation.lock.mutex,36a9e7f1c95b82ffb99743e0c5c4ce95d83c9a430aac59f84ef3cbfab6145068,1
candidate/__cadgen__/models/.a3200_carrier.step.py.generation.progress.json,c071491a4b5bccd1c1e8a662ae2b39ad973b3dbe7a2e327c244d133c548e6070,422
candidate/__cadgen__/models/.battery_mount.step.py.generation.lock,4de987b5da2e89c3a46ecef4d33e189f165ba1cdcf8adb3ae534568b7235f41e,32
candidate/__cadgen__/models/.battery_mount.step.py.generation.lock.mutex,36a9e7f1c95b82ffb99743e0c5c4ce95d83c9a430aac59f84ef3cbfab6145068,1
candidate/__cadgen__/models/.battery_mount.step.py.generation.progress.json,a36dfb69d318eed6c7e8a338eed47b52c00714594db3b2b7c988ce4838919c98,422
candidate/__cadgen__/models/.battery_mount_v2.step.py.generation.lock,f6013067f740b8c4ebdb8cac701a4740b688d9f131a42d4b16fbd6e41e0c5cf5,32
candidate/__cadgen__/models/.battery_mount_v2.step.py.generation.lock.mutex,36a9e7f1c95b82ffb99743e0c5c4ce95d83c9a430aac59f84ef3cbfab6145068,1
candidate/__cadgen__/models/.battery_mount_v2.step.py.generation.progress.json,18767bd7a1ef77e99c74a078e8d9f229a88dc10023edf62ff5a70af5388665e5,422
candidate/__cadgen__/models/.mips_carrier.step.py.generation.lock,dfee8cafc6fe23a2c23650f7320d0bf93b5b6c7e964da3f2a816149b745a175b,32
candidate/__cadgen__/models/.mips_carrier.step.py.generation.lock.mutex,36a9e7f1c95b82ffb99743e0c5c4ce95d83c9a430aac59f84ef3cbfab6145068,1
candidate/__cadgen__/models/.mips_carrier.step.py.generation.progress.json,96f4f2e922a82457f92fc29aa7a1220d1a5896341573d0525c20ed3e1a69d563,420
candidate/__cadgen__/models/a3200_carrier.step.py/assembly.json,fc95f06e485fa39948434b54e3b04b493d5cd051854a518ef1d31cdbacbffbd2,12558
candidate/__cadgen__/models/a3200_carrier.step.py/components/0af3803f6a637125.glb,919a57889cbcdbce50b72588f308606e565f822b471a6c8f7b90eba6b30b0547,276436
candidate/__cadgen__/models/a3200_carrier.step.py/components/0d68b09f6cba3199.glb,6c492a66e35c42e20efdde1ef81007519d981fb3f909f14971d0822da41a6a73,81416
candidate/__cadgen__/models/a3200_carrier.step.py/components/16bd409753a4afb9.glb,0c98842f2b74642fa1f23bdd8907b919a7038114dc3dcc869ea303ddacb1e459,218048
candidate/__cadgen__/models/a3200_carrier.step.py/components/1acf703b224974a1.glb,727c2f661cf90b2e64c5150d3bb32bc471e8e994553fa78cd043473b1c4a04ba,212000
candidate/__cadgen__/models/a3200_carrier.step.py/components/1c9651146ded87e2.glb,c9f979f7742773bf4019798dd10e60d305440527b9be1d213025fefa0763694d,86104
candidate/__cadgen__/models/a3200_carrier.step.py/components/2f0e09d38ef4b2dd.glb,7d3cf412a98e028508b242ebea01391a2503b3d82724b0c9d5e81a7d3a46f1c2,86104
candidate/__cadgen__/models/a3200_carrier.step.py/components/3b62e331e0df30c5.glb,c5ae644cebf74c71c40025421236cf5c35a12f6633ae60f7da6c8424be43352e,218044
candidate/__cadgen__/models/a3200_carrier.step.py/components/4538e6709c210da7.glb,dfc59bd9122f8e5b7445bce779f28dc6d12bf109058fd2a6ac77b9ec5d43ce74,81468
candidate/__cadgen__/models/a3200_carrier.step.py/components/53f792e258c32fc1.glb,37487bf4172e7b338b247e6f49527a1feaec6097e3ddaa44da7f7e2f48d3186b,86104
candidate/__cadgen__/models/a3200_carrier.step.py/components/588cf4ef6c99c17a.glb,ad700a17ae5bdbfcddc8780d9dc861d9ebc30c6da9b67e2106cbd417573ba8bf,86104
candidate/__cadgen__/models/a3200_carrier.step.py/components/5943e21651ae93ec.glb,c8a91cbd87e516fa218239c8c49756abd216ce658c874c27cd369a10916c00b0,81516
candidate/__cadgen__/models/a3200_carrier.step.py/components/619dd0eaaa95cfff.glb,0c0c26fefa059b18c3f2ddb7b36c40f9539e55fba82d8f02b0744ec04adfc811,86104
candidate/__cadgen__/models/a3200_carrier.step.py/components/79361f995f8f3958.glb,51f93c987218d4416b077f64682b9bb4db0bfca467b25047f679807aedacdd2b,218048
candidate/__cadgen__/models/a3200_carrier.step.py/components/7fd046f87d35b5a1.glb,e5e803be24d53d31a5b870afad5e2d8de1946529480dab62577068111babf561,212000
candidate/__cadgen__/models/a3200_carrier.step.py/components/970c119d423e3dfd.glb,74ba6c6df715655912874cb899c0c91b8afa9602087c94031b69dac913dec162,86104
candidate/__cadgen__/models/a3200_carrier.step.py/components/a67c1fa8590e144b.glb,00d9a1f95f62e0934d2f2390d0a9b744ea32bf81fca3181f3501d282cf40cae0,81472
candidate/__cadgen__/models/a3200_carrier.step.py/components/b6f71e184adbb126.glb,581d16495d2fc9c0cbb0de6222bc2ebaffd596ca1b16f8310ceab96402cfffca,212000
candidate/__cadgen__/models/a3200_carrier.step.py/components/b7227db3d19530dd.glb,4ee40888b2934f5f9fbbd8b4ffa36f85f5f026202bf20134e15b8d61e1eef240,86104
candidate/__cadgen__/models/a3200_carrier.step.py/components/d669e356b96e7cec.glb,b77925f9a1f16cbfb5e0c0ad8012e887a52025bf5ab7b3fb79a7b4362e347185,142924
