path,sha256,bytes,role
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_SYSTEM_COLLISION_REGISTRY_V1.json,AC975D11CC4715277E34FCFF7ABF049BC57334FD8F03AAB223BBED0877B1694F,247325,hash-pinned external metadata/raw-URDF input
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_PAIR_COVERAGE_V1.csv,C1F64FB26D4E563EEF6BF798EE163645FE16766CC3C510552769DB7FDF97306C,1416771,hash-pinned external metadata/raw-URDF input
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_LOCAL_CONTACT_WINDOWS_SOURCE_V1.json,6B48C382D10E2C89EE56544707248B4D37DB55CB3BDABF5BAE39AF8AC470E47C,6036,hash-pinned external metadata/raw-URDF input
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/M01_COLLISION_SEMANTICS_DRAFT_V1.yaml,595900AE2EC33708F81D0154FE094E1C86F0334D226726CC43D0F62DD04B38C9,13604,hash-pinned external metadata/raw-URDF input
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/SYSTEM_PAIR_ORACLE_CONTRACT_V1.json,D8B9CEE66BBD1793732F08F8E52C070B91CC5A6FCAAE56820E09E3C13BC81417,13175,hash-pinned external metadata/raw-URDF input
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/OBJECT_MOTION_BOUND_CONTRACT_V1.json,CA1A741576A90301D77FD684DFA07882FB1AB88A00E927C1381D8709C715A5CD,15414,hash-pinned external metadata/raw-URDF input
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/SYSTEM_BINDING_READINESS_GATE_V1.json,D93D9710EB1177417565B303138956CC70A41B0373A7148863CDEC6CF9877223,24533,hash-pinned external metadata/raw-URDF input
20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,11321,hash-pinned external metadata/raw-URDF input
20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/11_validation/URDF_LINE_ENDING_HASH_EQUIVALENCE_RECEIPT.json,DF8D4624B2E33E7DDC93613DE86C663AC230C7F76A06D875ED08037FFE37E7AF,950,hash-pinned external metadata/raw-URDF input
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/04_configurations/F3R2_ARM_INITIAL_POSE.yaml,D6E33CB5993BA056E1368F72487B4972E4316E83655FB5AF33035FCC1761AAE2,10277,hash-pinned external metadata/raw-URDF input
