case_id,target_type,tumble_rate_deg_s,approach_velocity_m_s,arm_speed_scale,pose_error_deg,inertia_scale,reaction_aware,visibility_ratio,capture_window_s,reach_time_s,base_peak_deg,v_max_m_s,post_capture_rate_dps,clearance_min_m,result,failure_reason
C0001,target_satellite_v0,0.5,0.005,0.5,1.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0002,target_satellite_v0,0.5,0.005,0.5,1.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,SAFE,SAFE
C0003,target_satellite_v0,0.5,0.005,0.5,1.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0004,target_satellite_v0,0.5,0.005,0.5,1.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,SAFE,SAFE
C0005,target_satellite_v0,0.5,0.005,0.5,1.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0006,target_satellite_v0,0.5,0.005,0.5,1.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,SAFE,SAFE
C0007,target_satellite_v0,0.5,0.005,0.5,2.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0008,target_satellite_v0,0.5,0.005,0.5,2.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,SAFE,SAFE
C0009,target_satellite_v0,0.5,0.005,0.5,2.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0010,target_satellite_v0,0.5,0.005,0.5,2.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,SAFE,SAFE
C0011,target_satellite_v0,0.5,0.005,0.5,2.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0012,target_satellite_v0,0.5,0.005,0.5,2.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,SAFE,SAFE
C0013,target_satellite_v0,0.5,0.005,0.5,3.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0014,target_satellite_v0,0.5,0.005,0.5,3.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0015,target_satellite_v0,0.5,0.005,0.5,3.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0016,target_satellite_v0,0.5,0.005,0.5,3.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0017,target_satellite_v0,0.5,0.005,0.5,3.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0018,target_satellite_v0,0.5,0.005,0.5,3.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0019,target_satellite_v0,0.5,0.005,1.0,1.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
