relative_path,bytes,sha256,role
".codex/agents/structural-review-agent.md",5056,a631acf9046b51c76399cd07a0c4b9883764907b95d8408579e469c3053137fd,structural_review_agent
"10_research/knowledge_base/spacecraft_mechanical_design/07_CAD_reference_patterns/cubesat_bus_patterns/README.md",1099,db6b9e2add44de054848e5902565561e7517370d3d7176e424d6b62a821fe57d,cad_reference_pattern
"10_research/knowledge_base/spacecraft_mechanical_design/07_CAD_reference_patterns/pattern_register.yaml",3952,f246d3b5f506be90f0e92a6e1c6d7e43793d21b4f5f7376a5ea48ee1d259893d,cad_reference_pattern
"10_research/knowledge_base/spacecraft_mechanical_design/07_CAD_reference_patterns/payload_mount_patterns/README.md",1029,8d0422e169a65a7263b31637f07382af1046144340883de81369671f22fcba76,cad_reference_pattern
"10_research/knowledge_base/spacecraft_mechanical_design/07_CAD_reference_patterns/README.md",1742,dafb01bc6640bfcb17a782c913eea770cff136270d80cb6b0fc97a04f50708f5,cad_reference_pattern
"10_research/knowledge_base/spacecraft_mechanical_design/07_CAD_reference_patterns/robot_mount_patterns/README.md",1324,604a912586056de01a71a6ef5636c8733d87a4df81bea4d269967268be124a80,cad_reference_pattern
"10_research/knowledge_base/spacecraft_mechanical_design/07_CAD_reference_patterns/service_vehicle_architecture/README.md",1321,fac8bc06d00bffa6a0e601c2786048c4a308fddb1f0e460ff8f6651c75938fd1,cad_reference_pattern
"10_research/knowledge_base/spacecraft_mechanical_design/07_CAD_reference_patterns/smallsat_panel_patterns/README.md",978,d5688316355ad615b619d15e8960dd3bb4dc0b801c6c6389828fd35df8dea1f3,cad_reference_pattern
"10_research/knowledge_base/spacecraft_mechanical_design/07_CAD_reference_patterns/solar_array_patterns/README.md",986,979449139b22522904f1cf571a45da02347198a3d9c6a2abda0f87667f4dfc0b,cad_reference_pattern
"20_engineering/design_inputs/v2_system_mechanical/00_governance/design_input_scope_and_status.md",2342,8a6929e5abd85931eac9119851cf87714dd2c419627f91c1ca28994fba93ff7f,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/01_mission_requirements/V2_system_requirements_baseline.md",4437,2ee7ff52c2d7f22d0bbe18fe0c67c095a93551bfbb393b7090af05f925847800,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/01_mission_requirements/V2_system_requirements_baseline.yaml",2349,80c7083854863bb9527a0b172fedf769d25f606ffa5bf9b059f6cd76b6fe529b,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/02_spacecraft_configuration/V2_configuration_baseline.yaml",2466,4799b23c4920a0c460fdc16f40f5f43356e43221ebcf313e564b711ef34d15d1,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/03_mechanical_interfaces/V2_interface_register.yaml",3744,3bf778fb23843976889efa0909941ebe8ebcde90ba142492ca37ad757082225e,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/03_mechanical_interfaces/V2_mechanical_ICD.md",5686,ac71c75cbc1f2265b25c9a594b169e704dd8d3127a08eafe88510d49b3d2bd59,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/04_subsystem_layout/V2_serviceability_and_keepout_plan.md",2841,824c315a4d0aad68eedc7a4fa71f8225933797e60cecebf68c46918a23c69506,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/04_subsystem_layout/V2_subsystem_volume_owner_register.yaml",3707,4e6b405cb65a6886a594e9c1edcf78589f9c440e108d3df442239e5627381d95,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/05_mass_budget/V2_mass_ownership_notes.md",2272,9c7a8cdbac375c46df480fa3ea78c22cbd089c8c5c2254e2c6f6f38a1c8cff8c,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/05_mass_budget/V2_mass_ownership_table.csv",3105,096144350b1585a96b6981b14c7b94f0d1d483b98f09cf3b5596a26e8cf96880,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/06_unknown_register/V2_unknown_register.yaml",4272,51df9c5607877270fd4920b77000c746ca568218e9146e5d367d0fd3d0987295,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/07_cad_preparation/V2_B3_CAD_construction_plan.md",4618,c165a4e3817ff23fecc748715423e5222f342dbb2597b50d3794f6d8d5b053b9,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/07_cad_preparation/V2_master_skeleton_parameter_contract.yaml",4853,b1b3ef85300a92ed0abe4e2769ef889405d26916ddcc6ab9e21678f38e1cc121,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/07_cad_preparation/V2_review_view_plan.yaml",2802,cc066e1a0ecb062af61f87c5c5a6b6bf8338b31c3a674eb49f53a94bf5b5bb00,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/08_review/B2_5_exit_gate.yaml",3500,06cbda917ddf10c4e888d7c2eb6a32fda0b228f9978203c551cc329ad8eb7880,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/08_review/pre_cad_structural_review_report.md",6343,d7734ec85104f83a52b86f6e24367f20af6657eb1f0046dbdca61797c85abed1,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/08_review/verification_report.md",3529,83933ae27a7ac6c784945a6a449f9cf214174eb81e44484374e3dd7f7bd3036d,v2_system_mechanical_input
"20_engineering/design_inputs/v2_system_mechanical/README.md",2975,43f4963ab1f99cf7fea6d17c0e734cd071a352c234913168655b563faa3d8935,v2_system_mechanical_input
