owner,instance_count,unresolved_mass_instance_ids,minimum_missing_input
COMMUNICATIONS_ANTENNA,1,['communications_antenna'],Antenna SKU including feed/pigtail mass and explicit harness ownership.
EQUIPMENT_ADCS_PROPULSION_ALLOCATION,3,"['equipment_adcs_propulsion_allocation', 'connector_adcs_propulsion_allocation', 'MIPS_OEM_MAX_ENVELOPE']","Disaggregate3kg planning budget into reaction wheels/ADCS/propulsion actual chosen packages and masses. Old MiPS0.542kg reference is nested, not additional; actual propulsion selection unresolved."
EQUIPMENT_ARM_DRIVE,2,"['equipment_arm_drive', 'connector_arm_drive']","Define only external distribution/USB-CAN/terminal electronics and obtain assembled mass. Six DM joint drivers already belong to B601 and must not be added here; old0.8kg is a budget, not measured external hardware."
EQUIPMENT_BATTERY,2,"['equipment_battery', 'connector_battery']","Actual battery package incl enclosure/connector/thermal scope; BPX0.5kg reference is nested within old1.6kg budget, not an extra device."
EQUIPMENT_COMPUTE_COMMUNICATIONS,2,"['equipment_compute_communications', 'connector_compute_communications']",Exact OBC/radio/compute board configuration and assembled mass; A3200 reference24g is nested and never a second OBC.
EQUIPMENT_NAVIGATION_ELECTRONICS,2,"['equipment_navigation_electronics', 'connector_navigation_electronics']",Selected sensor processing/receiver/connector hardware BOM and assembled mass replacing0.3kg budget.
GSE_POWER_GLAND_AND_NUT,2,"['WP09F_PWR_GLAND', 'WP09F_PWR_NUT']",Exact selected gland+locknut complete-kit manufacturer mass and delivered material; four-mm nut geometry is only a nominal assumption.
GSE_RS422_GLAND_AND_NUT,2,"['WP09F_RS422_GLAND', 'WP09F_RS422_NUT']",Exact selected gland+locknut complete-kit manufacturer mass and delivered material; do not add a nut twice if vendor kit mass includes it.
HARNESS_RESTRAINT_HARDWARE,38,"['GROMMET_0', 'GROMMET_1', 'CLAMP_PWR_BASE', 'CLAMP_PWR_LID', 'TIEROD_PWR_0', 'CLAMP_PWR_0_TW', 'CLAMP_PWR_0_TN', 'CLAMP_PWR_0_BW', 'CLAMP_PWR_0_BN', 'TIEROD_PWR_1', 'CLAMP_PWR_1_TW', 'CLAMP_PWR_1_TN', 'CLAMP_PWR_1_BW', 'CLAMP_PWR_1_BN', 'CLAMP_DUAL_BASE', 'CLAMP_DUAL_LID', 'TIEROD_DUAL_0', 'CLAMP_DUAL_0_TW', 'CLAMP_DUAL_0_TN', 'CLAMP_DUAL_0_BW', 'CLAMP_DUAL_0_BN', 'TIEROD_DUAL_1', 'CLAMP_DUAL_1_TW', 'CLAMP_DUAL_1_TN', 'CLAMP_DUAL_1_BW', 'CLAMP_DUAL_1_BN']","Grommet and clamp polymer grades/finished volumes, rod/fastener kit masses; listed metal posts/clips already counted."
INTERNAL_AND_ARM_EXTERNAL_HARNESS,11,"['internal_harness_proxy_0', 'internal_harness_proxy_1', 'internal_harness_proxy_2', 'release_power_data_route_0_0', 'release_power_data_route_0_1', 'release_power_data_route_1_0', 'release_power_data_route_1_1', 'arm_service_loop_root_service_loop', 'arm_service_loop_joint2_loop', 'PROP_PWR_ROUTE', 'PROP_DATA_ROUTE']","Unique wire/cable BOM, installed cut lengths, linear masses, terminals/shields/sleeves; reconcile overlapping route depictions instead of summing route volumes. External arm loops excluded from B601 whole-arm nominal."
NAVIGATION_CAMERA_ASSEMBLY,2,"['navigation_camera', 'camera_lens']",Actual camera+lens SKU and assembled mass; clarify whether legacy0.15kg budget includes lens/connector.
P60_MODULE_STACK,1,['P60_REFERENCE_B'],Bind P60_REFERENCE_B to exact Dock+ACU+PDU configuration; 191g catalogue reference remains excluded until instance/configuration and included shields are fixed.
P60_MOUNTING_KIT,25,"['P60_HOST_0_ROD', 'P60_HOST_0_TW', 'P60_HOST_0_TN', 'P60_HOST_0_BW', 'P60_HOST_0_BN', 'P60_HOST_1_ROD', 'P60_HOST_1_TW', 'P60_HOST_1_TN', 'P60_HOST_1_BW', 'P60_HOST_1_BN', 'P60_HOST_2_ROD', 'P60_HOST_2_TW', 'P60_HOST_2_TN', 'P60_HOST_2_BW', 'P60_HOST_2_BN', 'P60_HOST_3_ROD', 'P60_HOST_3_TW', 'P60_HOST_3_TN', 'P60_HOST_3_BW', 'P60_HOST_3_BN']",20 host rods/washers/nuts SKUs/material/unit masses; four posts and tray already have source-bound candidate masses.
