owner,instance_count,candidate_material_subtotal_kg,catalogue_nominal_whole_module_kg,legacy_planning_allocation_kg,numeric_estimate_complete_in_owner,as_built_numeric_complete,minimum_missing_input
B601_DM_COMPLETE,10,0,4.5,0,True,False,Source-bound nominal material model exists; for as-built bound provide material certification/tolerance and manufactured geometry or weighing. Exact B601 DM shipment configuration and measured whole-arm mass required.
COMMUNICATIONS_ANTENNA,1,0,,0,False,False,Antenna SKU including feed/pigtail mass and explicit harness ownership.
COVERS_AND_GSE_FRONT_PANEL,16,0.949942232840096,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
EQUIPMENT_ADCS_PROPULSION_ALLOCATION,3,0,,3.0,False,False,"Disaggregate3kg planning budget into reaction wheels/ADCS/propulsion actual chosen packages and masses. Old MiPS0.542kg reference is nested, not additional; actual propulsion selection unresolved."
EQUIPMENT_ARM_DRIVE,2,0,,0.8,False,False,"Define only external distribution/USB-CAN/terminal electronics and obtain assembled mass. Six DM joint drivers already belong to B601 and must not be added here; old0.8kg is a budget, not measured external hardware."
EQUIPMENT_BATTERY,2,0,,1.6,False,False,"Actual battery package incl enclosure/connector/thermal scope; BPX0.5kg reference is nested within old1.6kg budget, not an extra device."
EQUIPMENT_COMPUTE_COMMUNICATIONS,2,0,,0.5,False,False,Exact OBC/radio/compute board configuration and assembled mass; A3200 reference24g is nested and never a second OBC.
EQUIPMENT_DECKS_AND_ADAPTERS,15,1.6004880655595985,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
EQUIPMENT_NAVIGATION_ELECTRONICS,2,0,,0.3,False,False,Selected sensor processing/receiver/connector hardware BOM and assembled mass replacing0.3kg budget.
EXTERNAL_EQUIPMENT_BRACKETS,2,0.03435223383028846,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
GSE_POWER_GLAND_AND_NUT,2,0,,0,False,False,Exact selected gland+locknut complete-kit manufacturer mass and delivered material; four-mm nut geometry is only a nominal assumption.
GSE_RS422_GLAND_AND_NUT,2,0,,0,False,False,Exact selected gland+locknut complete-kit manufacturer mass and delivered material; do not add a nut twice if vendor kit mass includes it.
HARNESS_RESTRAINT_HARDWARE,38,0.13941394805262614,,0,False,False,"Grommet and clamp polymer grades/finished volumes, rod/fastener kit masses; listed metal posts/clips already counted."
INTERNAL_AND_ARM_EXTERNAL_HARNESS,11,0,,0,False,False,"Unique wire/cable BOM, installed cut lengths, linear masses, terminals/shields/sleeves; reconcile overlapping route depictions instead of summing route volumes. External arm loops excluded from B601 whole-arm nominal."
LAUNCH_RESERVED_SPACE,1,0,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
NAVIGATION_CAMERA_ASSEMBLY,2,0,,0.15,False,False,Actual camera+lens SKU and assembled mass; clarify whether legacy0.15kg budget includes lens/connector.
P60_MODULE_STACK,1,0,,0,False,False,Bind P60_REFERENCE_B to exact Dock+ACU+PDU configuration; 191g catalogue reference remains excluded until instance/configuration and included shields are fixed.
P60_MOUNTING_KIT,25,0.0954914161893353,,0,False,False,20 host rods/washers/nuts SKUs/material/unit masses; four posts and tray already have source-bound candidate masses.
PRIMARY_STRUCTURE_FASTENER_KIT,60,0,,0,False,False,44 inherited web/rail fasteners plus16 WP06 side joint items: selected catalogue SKU/material/unit mass; STEP geometry alone does not set density.
PRIMARY_STRUCTURE_METAL,31,1.4439303432320583,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
PROPULSION_MOUNTING_KIT,21,0.0990993652014152,,0,False,False,16 foot screw/washer/nut SKUs/material/unit masses; bracket and four shims already have source-bound candidate masses.
R01_EQUIPMENT_FASTENER_KIT,128,0,,0,False,False,128 R01 screws/washers/nuts: actual size-length-grade SKU list or one measured complete kit mass with contents list.
R07_ROOT_AND_RETENTION_FASTENER_KIT,92,0,,0,False,False,92 R07 rail/hold fasteners and sleeves: final SKU/material or complete kit mass and contents list.
R07_ROOT_METAL_CAPS,4,0.010244600529989836,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
RETENTION_ACTUATION_AND_SENSORS_0,8,0,,0,False,False,Station0 actual puller/release/spring/sensor bill of hardware and assembly mass; distinguish alternate/overlapping actuator proxies before summing.
RETENTION_ACTUATION_AND_SENSORS_1,8,0,,0,False,False,Station1 actual puller/release/spring/sensor bill of hardware and assembly mass; distinguish alternate/overlapping actuator proxies before summing.
RETENTION_CONTACT_PADS,6,0,,0,False,False,"Six contact/upper pads: elastomer grade, finished dimensions/density or mass including adhesive."
RETENTION_GUIDE_FASTENER_KIT,8,0,,0,False,False,"Eight M2 screw/washer proxies: selected SKUs, unit/kit masses; threadless proxies are not certified material."
RETENTION_GUIDE_RODS,4,0,,0,False,False,Four guide rods: selected material/grade and current shape volume or measured masses; do not apply aluminum by shape name.
RETENTION_LOWER_COLLARS,4,0,,0,False,False,Four changed collars: explicit candidate material/grade and current part volume receipt or measured finished masses.
RETENTION_LOWER_FASTENER_KIT,16,0,,0,False,False,16 catalogue M3 screw/washer/nut solids: procurement material/grade and unit mass or supplier exact complete kit mass.
RETENTION_ORIGINAL_METAL,22,0.8118603732871096,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
RETENTION_REVISED_MASTS,2,0,,0,False,False,Two changed masts: current source-bound volumes and explicit retained/changed material; old geometry mass cannot be copied after cuts/additions.
ROOT_FRAME_FASTENER_KIT,72,0,,0,False,False,"72 installed screws/tie rods/washers/nuts: final SKU, material grade and unit/kit mass; station BOM quantity mapping."
ROOT_FRAME_METAL,37,2.455722243106461,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
SOLAR_CURRENT_FRAMES_AND_HINGES,28,0.13233728913979334,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
SOLAR_CURRENT_LEAF_LAMINATES,6,0,,1.08,False,False,Six current leaf laminate/CIC/adhesive finished masses or source-bound layup;0.18kg/leaf is only a budget and does not include the unintegrated84-CIC delta.
SOLAR_RELEASE_KITS,2,0,,0.16,False,False,Actual selected two release kits with unit masses replacing0.08kg/wing budgets; do not include frame/hinge masses twice.
SOLAR_WIRING_KITS,2,0,,0.1,False,False,Unique wing harness BOM/cut-length/linear mass/terminations replacing0.05kg/wing budgets; separate body harness boundary.
THERMAL_INTERFACE_KIT,6,0,,0,False,False,Five interface pads and battery thermal link: installed dimensions/material/density (including bondlines) or finished kit mass.
THERMAL_SPREADER,1,0.04732388922019231,,0,True,False,As-built tolerance/material verification only; candidate numerical material subtotal is complete.
