file,feature,type
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,收藏,FavoriteFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,历史记录,HistoryFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,选择集,SelectionSetFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,传感器,SensorFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,设计活页夹,DocsFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,注解,DetailCabinet
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,标注,InkMarkupFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,光源与相机,EnvFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,实体,SolidBodyFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,曲面实体,SurfaceBodyFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,备注,CommentsFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,方程式,EqnFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,材质 <未指定>,MaterialFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,前视基准面,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,上视基准面,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,右视基准面,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,原点,OriginProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,Tables,ConfigTableFolder
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PLANE_REAR_BODY_FACE,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PLANE_REAR_MID_BOUNDARY,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PLANE_MID_FRONT_BOUNDARY,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PLANE_TASK_FACE,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PLANE_MOUNT_M,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PLANE_SOLAR_ROOT_L,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PLANE_SOLAR_ROOT_R,RefPlane
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK3D_BODY_ENVELOPE,3DProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK_REAR_BODY_FACE,ProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK_TASK_FACE,ProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK_BAY_BOUNDARY_REAR_MID,ProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK_BAY_BOUNDARY_MID_FRONT,ProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK_MOUNT_INTERFACE_IF-RM-001,ProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK_SOLAR_ROOT_L_IF-SA-L,ProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK_SOLAR_ROOT_R_IF-SA-R,ProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK3D_CS_S_REF,3DProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,CS_S,CoordSys
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK3D_CS_M_REF,3DProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,CS_M,CoordSys
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SK3D_CS_A0_REF,3DProfileFeature
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,CS_A0,CoordSys
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,收藏,FavoriteFolder
