file,object_id,system_owner,evidence_state,claim_limit
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,V2-SKEL-000,system_architecture,EVIDENCE_BOUND,geometry_reference_only_profile_COMPETITION_DISPLAY_V0
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,V2-STR-010,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;deck_class_TBD
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,V2-STR-009,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;deck_class_TBD
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,V2-STR-001,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,V2-STR-008,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;radial_outer_inset_to_panel_inner_110.15_D-V2-04
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,V2-STR-002,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,V2-STR-007,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;radial_outer_inset_to_panel_inner_110.15_D-V2-04
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,V2-STR-006,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,V2-STR-005,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,V2-STR-004,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,V2-STR-003,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,V2-STR-012,secondary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;removable_panel;may_close_primary_path=false
01_Primary_Structure/parts/PNL_LEFT.SLDPRT,V2-STR-013,secondary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;removable_panel;may_close_primary_path=false
01_Primary_Structure/parts/PNL_RIGHT.SLDPRT,V2-STR-014,secondary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;removable_panel;may_close_primary_path=false
01_Primary_Structure/parts/PNL_TOP.SLDPRT,V2-STR-011,secondary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;removable_panel;may_close_primary_path=false
02_Front_Mission_Module/parts/PNL_FRONT_MISSION_ACCESS.SLDPRT,V2-FM-PNL,secondary_structure,DESIGN_PROPOSAL,removable_panel_display;may_close_primary_path=false;no_fastening_method;NO_STRENGTH_CLAIM
02_Front_Mission_Module/parts/VOL_FM_ROBOT.SLDPRT,VOL-FM-ROBOT,ROBOT_SPACECRAFT_INTERFACE,EVIDENCE_BOUND_INTERFACE,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal
02_Front_Mission_Module/parts/VOL_FM_SENSOR.SLDPRT,VOL-FM-SENSOR,PERCEPTION_HARDWARE_OWNER,UNKNOWN_BLOCKED,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal;ZERO_SOLID_REQUIRED
